KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Cracovia,6,2,3,1,5,0,1,4
Górnik Zabrze,5,4,0,1,7,0,1,6
Jagiellonia,6,4,1,1,9,0,1,8
Lech Poznań,8,4,1,3,7,1,2,4
Lechia Gdańsk,5,5,0,0,10,1,3,6
Legia Warszawa,9,9,0,0,3,1,1,1
Piast Gliwice,6,4,2,0,6,1,1,4
Podbeskidzie,5,0,3,2,10,0,0,10
Pogoń Szczecin,11,7,1,3,3,0,0,3
Raków Częstochowa,6,4,2,0,7,4,1,2
Stal Mielec,6,1,2,3,8,1,3,4
Śląsk Wrocław,5,3,0,2,9,1,2,6
Warta Poznań,9,7,1,1,6,0,1,5
Wisła Kraków,7,3,2,2,5,1,2,2
Wisła Płock,6,4,2,0,8,0,2,6
Zagłębie Lubin,3,3,0,0,10,1,1,8
