ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,G - xG NON-PEN,KP,AST,xAST,KP-xAST
Jakub Świerczok,Piast Gliwice,80,15,"9,266","0,116","5,734","6,266","0,082","5,734",20,3,"2,767","0,233"
Kamil Biliński,Podbeskidzie,37,11,"6,410","0,173","4,590","5,660","0,157","5,340",16,1,"1,218","-0,218"
Erik Exposito,Śląsk Wrocław,57,9,"4,056","0,071","4,944","4,056","0,071","4,944",17,3,"1,853","1,147"
Jesus Imaz,Jagiellonia,56,11,"6,537","0,117","4,463","5,787","0,105","4,213",45,5,"4,042","0,958"
Tomas Pekhart,Legia Warszawa,78,22,"16,146","0,207","5,854","10,896","0,153","4,104",15,0,"1,573","-1,573"
Makana Baku,Warta Poznań,19,6,"2,023","0,106","3,977","2,023","0,106","3,977",14,2,"1,053","0,947"
Marcin Cebula,Raków Częstochowa,20,6,"2,305","0,115","3,695","2,305","0,115","3,695",33,7,"4,087","2,913"
Jakub Błaszczykowski,Wisła Kraków,8,4,"0,398","0,050","3,602","0,398","0,050","3,602",12,0,"0,607","-0,607"
Alan Uryga,Wisła Płock,25,5,"1,786","0,071","3,214","1,786","0,071","3,214",11,4,"2,088","1,912"
Ivi Lopez,Raków Częstochowa,79,9,"5,839","0,074","3,161","4,339","0,056","2,661",17,2,"3,999","-1,999"
Filip Mladenović,Legia Warszawa,55,7,"4,259","0,077","2,741","3,509","0,065","2,491",55,5,"5,995","-0,995"
Mateusz Kuzimski,Warta Poznań,48,7,"5,261","0,110","1,739","4,511","0,096","2,489",16,4,"2,434","1,566"
Lorenco Simić,Zagłębie Lubin,19,4,"1,529","0,080","2,471","1,529","0,080","2,471",9,0,"0,678","-0,678"
Dusan Lagator,Wisła Płock,11,3,"0,651","0,059","2,349","0,651","0,059","2,349",7,0,"0,298","-0,298"
Dawid Kocyła,Wisła Płock,23,4,"1,868","0,081","2,132","1,868","0,081","2,132",13,1,"1,087","-0,087"
Jakov Puljić,Jagiellonia,61,11,"8,373","0,137","2,627","6,873","0,116","2,127",16,1,"0,849","0,151"
Alasana Manneh,Górnik Zabrze,28,3,"0,914","0,033","2,086","0,914","0,033","2,086",11,1,"0,651","0,349"
Fabian Piasecki,Śląsk Wrocław,18,4,"1,955","0,109","2,045","1,955","0,109","2,045",6,0,"1,228","-1,228"
Patryk Szysz,Zagłębie Lubin,58,8,"6,177","0,107","1,823","6,177","0,107","1,823",33,1,"3,512","-2,512"
Adam Frączczak,Pogoń Szczecin,12,3,"1,234","0,103","1,766","1,234","0,103","1,766",4,0,"0,723","-0,723"
Rafał Boguski,Wisła Kraków,6,2,"0,241","0,040","1,759","0,241","0,040","1,759",3,0,"0,205","-0,205"
Jonathan De Amo,Stal Mielec,3,2,"0,247","0,082","1,753","0,247","0,082","1,753",8,1,"0,437","0,563"
Piotr Malarczyk,Piast Gliwice,7,2,"0,272","0,039","1,728","0,272","0,039","1,728",2,0,"0,042","-0,042"
David Tijanić,Raków Częstochowa,33,6,"4,287","0,130","1,713","4,287","0,130","1,713",21,3,"2,176","0,824"
Tiago Alves,Piast Gliwice,25,5,"3,318","0,133","1,682","3,318","0,133","1,682",11,1,"1,081","-0,081"
Alexander Gorgon,Pogoń Szczecin,37,5,"3,339","0,090","1,661","3,339","0,090","1,661",26,1,"1,767","-0,767"
Dominik Steczyk,Piast Gliwice,33,4,"2,340","0,071","1,660","2,340","0,071","1,660",17,0,"1,148","-1,148"
Krzysztof Mączyński,Śląsk Wrocław,13,2,"0,377","0,029","1,623","0,377","0,029","1,623",26,4,"2,440","1,560"
Lubomir Guldan,Zagłębie Lubin,9,2,"0,396","0,044","1,604","0,396","0,044","1,604",2,1,"0,196","0,804"
Mateusz Mak,Stal Mielec,17,4,"2,411","0,142","1,589","2,411","0,142","1,589",14,1,"1,480","-0,480"
Maciej Makuszewski,Jagiellonia,17,3,"1,428","0,084","1,572","1,428","0,084","1,572",30,4,"3,230","0,770"
Michał Nalepa II,Lechia Gdańsk,17,3,"1,602","0,094","1,398","1,602","0,094","1,398",3,2,"0,383","1,617"
Bartłomiej Pawłowski,Śląsk Wrocław,32,3,"1,632","0,051","1,368","1,632","0,051","1,368",15,0,"1,262","-1,262"
Chuca,Wisła Kraków,17,3,"1,640","0,096","1,360","1,640","0,096","1,360",13,1,"0,866","0,134"
Marcin Flis,Stal Mielec,25,3,"1,688","0,068","1,312","1,688","0,068","1,312",9,1,"1,604","-0,604"
Patryk Tuszyński,Wisła Płock,29,6,"4,442","0,153","1,558","3,692","0,132","1,308",12,3,"2,388","0,612"
Bogdan Tiru,Jagiellonia,10,2,"0,750","0,075","1,250","0,750","0,075","1,250",3,0,"0,046","-0,046"
Rafał Janicki,Podbeskidzie,7,3,"1,772","0,253","1,228","1,772","0,253","1,228",2,0,"0,176","-0,176"
Łukasz Trałka,Warta Poznań,24,3,"2,523","0,105","0,477","1,773","0,077","1,227",38,7,"4,235","2,765"
Damian Rasak,Wisła Płock,27,3,"1,777","0,066","1,223","1,777","0,066","1,223",7,0,"0,539","-0,539"
Rok Sirk,Zagłębie Lubin,10,2,"0,823","0,082","1,177","0,823","0,082","1,177",1,0,"0,027","-0,027"
Tomas Vestenicky,Cracovia,10,2,"0,918","0,092","1,082","0,918","0,092","1,082",3,0,"0,064","-0,064"
Rafał Wolski,Wisła Płock,6,2,"0,936","0,156","1,064","0,936","0,156","1,064",4,1,"0,528","0,472"
Sasa Balić,Zagłębie Lubin,14,2,"0,972","0,069","1,028","0,972","0,069","1,028",14,5,"1,852","3,148"
Thomas Rogne,Lech Poznań,8,2,"0,987","0,123","1,013","0,987","0,123","1,013",3,0,"0,322","-0,322"
Sergiu Hanca,Cracovia,30,4,"4,302","0,143","-0,302","2,052","0,076","0,948",30,2,"2,912","-0,912"
Mateusz Kupczak,Warta Poznań,22,3,"2,554","0,116","0,446","1,054","0,053","0,946",11,0,"0,462","-0,462"
Konrad Poprawa,Śląsk Wrocław,1,1,"0,076","0,076","0,924","0,076","0,076","0,924",0,0,"0,000","0,000"
Maciej Sadlok,Wisła Kraków,26,2,"1,087","0,042","0,913","1,087","0,042","0,913",27,2,"2,199","-0,199"
Paweł Bochniewicz,Górnik Zabrze,1,1,"0,100","0,100","0,900","0,100","0,100","0,900",0,0,"0,000","0,000"
Bartosz Nowak,Górnik Zabrze,63,5,"4,123","0,065","0,877","4,123","0,065","0,877",71,3,"6,058","-3,058"
Żarko Udovicić,Lechia Gdańsk,5,2,"1,132","0,226","0,868","1,132","0,226","0,868",16,0,"2,032","-2,032"
Jan Grzesik,Warta Poznań,26,4,"3,133","0,121","0,867","3,133","0,121","0,867",16,2,"2,423","-0,423"
Mathieu Scalet,Śląsk Wrocław,7,2,"1,171","0,167","0,829","1,171","0,167","0,829",11,0,"0,673","-0,673"
Kamil Kruk,Zagłębie Lubin,6,2,"1,188","0,198","0,812","1,188","0,198","0,812",1,0,"0,010","-0,010"
Wojciech Golla,Śląsk Wrocław,3,1,"0,194","0,065","0,806","0,194","0,065","0,806",2,1,"0,633","0,367"
Tomasz Nowak,Podbeskidzie,7,1,"0,198","0,028","0,802","0,198","0,028","0,802",15,1,"1,106","-0,106"
Piotr Celeban,Śląsk Wrocław,10,2,"1,212","0,121","0,788","1,212","0,121","0,788",8,0,"0,541","-0,541"
Michał Kucharczyk,Pogoń Szczecin,64,6,"5,009","0,078","0,991","4,259","0,068","0,741",54,5,"4,638","0,362"
Jakub Kiełb,Warta Poznań,10,1,"0,274","0,027","0,726","0,274","0,027","0,726",17,1,"1,241","-0,241"
David Niepsuj,Wisła Kraków,4,1,"0,293","0,073","0,707","0,293","0,073","0,707",4,0,"0,133","-0,133"
Rafał Pietrzak,Lechia Gdańsk,13,1,"0,308","0,024","0,692","0,308","0,024","0,692",48,6,"3,664","2,336"
Damian Michalski,Wisła Płock,13,2,"1,310","0,101","0,690","1,310","0,101","0,690",2,0,"0,294","-0,294"
Uros Radaković,Wisła Kraków,2,1,"0,318","0,159","0,682","0,318","0,159","0,682",1,0,"0,048","-0,048"
Damian Oko,Zagłębie Lubin,4,1,"0,330","0,083","0,670","0,330","0,083","0,670",1,0,"0,604","-0,604"
Felicio Brown Forbes,Raków/Wisła K,52,7,"6,832","0,131","0,168","5,332","0,107","0,668",20,2,"1,489","0,511"
Kacper Skibicki,Legia Warszawa,6,1,"0,340","0,057","0,660","0,340","0,057","0,660",4,0,"0,344","-0,344"
Daniel Szelągowski,Raków Częstochowa,4,1,"0,355","0,089","0,645","0,355","0,089","0,645",4,1,"0,432","0,568"
Mario Rodriguez,Warta Poznań,3,1,"0,357","0,119","0,643","0,357","0,119","0,643",7,0,"0,214","-0,214"
Filip Piszczek,Cracovia,15,2,"1,368","0,091","0,632","1,368","0,091","0,632",5,0,"0,480","-0,480"
Adi Mehremić,Wisła Kraków,10,1,"0,397","0,040","0,603","0,397","0,040","0,603",4,0,"0,579","-0,579"
Bartłomiej Wdowik,Jagiellonia,14,2,"1,412","0,101","0,588","1,412","0,101","0,588",19,1,"1,665","-0,665"
Tomas Prikryl,Jagiellonia,17,2,"1,415","0,083","0,585","1,415","0,083","0,585",23,7,"2,756","4,244"
Kacper Chodyna,Zagłębie Lubin,20,2,"1,422","0,071","0,578","1,422","0,071","0,578",20,1,"1,978","-0,978"
Mateusz Wieteska,Legia Warszawa,6,1,"0,426","0,071","0,574","0,426","0,071","0,574",5,0,"0,488","-0,488"
Jakub Hora,Podbeskidzie,22,2,"1,429","0,065","0,571","1,429","0,065","0,571",15,1,"0,794","0,206"
Łukasz Zwoliński,Lechia Gdańsk,45,6,"5,448","0,121","0,552","5,448","0,121","0,552",5,0,"0,191","-0,191"
Dawid Szymonowicz,Cracovia,8,1,"0,451","0,056","0,549","0,451","0,056","0,549",6,0,"0,194","-0,194"
Patryk Plewka,Wisła Kraków,5,1,"0,455","0,091","0,545","0,455","0,091","0,545",16,2,"0,881","1,119"
Israel Puerto,Śląsk Wrocław,8,1,"0,460","0,057","0,540","0,460","0,057","0,540",7,0,"0,252","-0,252"
Zoran Arsenić,Jagiellonia/Raków,5,1,"0,462","0,092","0,538","0,462","0,092","0,538",2,0,"0,386","-0,386"
