KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Legia Warszawa,15,34,10,4,1,19,5,14,"2,27","1,27","0,33"
Raków Częstochowa,15,29,8,5,2,27,16,11,"1,93","1,80","1,07"
Pogoń Szczecin,15,23,7,2,6,19,15,4,"1,53","1,27","1,00"
Warta Poznań,15,23,7,2,6,19,17,2,"1,53","1,27","1,13"
Lechia Gdańsk,15,21,6,3,6,17,19,-2,"1,40","1,13","1,27"
Piast Gliwice,15,21,5,6,4,21,17,4,"1,40","1,40","1,13"
Wisła Kraków,15,19,4,7,4,20,18,2,"1,27","1,33","1,20"
Lech Poznań,15,18,5,3,7,20,21,-1,"1,20","1,33","1,40"
Wisła Płock,15,17,4,5,6,19,25,-6,"1,13","1,27","1,67"
Górnik Zabrze,15,16,4,4,7,9,13,-4,"1,07","0,60","0,87"
Śląsk Wrocław,15,15,4,3,8,15,19,-4,"1,00","1,00","1,27"
Zagłębie Lubin,15,15,4,3,8,14,21,-7,"1,00","0,93","1,40"
Cracovia,15,14,2,8,5,10,14,-4,"0,93","0,67","0,93"
Jagiellonia,15,14,4,2,9,16,29,-13,"0,93","1,07","1,93"
Stal Mielec,15,12,2,6,7,19,27,-8,"0,80","1,27","1,80"
Podbeskidzie,15,3,0,3,12,12,37,-25,"0,20","0,80","2,47"
