KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"0,93","0,67",53%,"12,87","4,47","4,60","3,80","34,72%","7,25%","5,47","1,53","2,73","15,13","3,00","0,13",CRA
Górnik Zabrze,"0,87","0,60",50%,"11,67","4,00","4,67","3,00","34,29%","6,29%","6,33","2,87","3,67","14,20","2,13","0,00",GÓR
Jagiellonia,"1,93","1,07",52%,"16,80","5,60","6,67","4,53","33,33%","11,11%","7,67","1,60","2,87","13,40","1,87","0,07",JAG
Lech Poznań,"1,40","1,33",43%,"11,20","4,07","4,67","2,47","36,31%","12,50%","5,67","1,67","3,27","13,33","1,73","0,07",LPO
Lechia Gdańsk,"1,27","1,13",52%,"14,73","5,73","5,60","3,40","38,91%","8,60%","5,53","1,53","2,67","15,07","2,67","0,20",LGD
Legia Warszawa,"0,33","1,27",43%,"8,73","2,53","4,20","2,00","29,01%","3,82%","3,20","1,20","3,07","14,40","2,60","0,07",LEG
Piast Gliwice,"1,13","1,40",51%,"10,87","4,33","4,07","2,47","39,88%","10,43%","5,13","1,47","3,20","13,87","2,07","0,07",PIA
Podbeskidzie,"2,47","0,80",56%,"14,53","5,47","5,47","3,60","37,61%","16,51%","5,87","2,00","2,27","12,47","1,27","0,13",POD
Pogoń Szczecin,"1,00","1,27",48%,"12,07","3,93","4,33","3,80","32,60%","7,73%","5,47","1,73","3,40","13,20","3,07","0,13",POG
Raków Częstochowa,"1,07","1,80",54%,"11,13","4,27","4,07","2,80","38,32%","9,58%","3,87","0,60","3,40","16,60","1,93","0,07",RCZ
Stal Mielec,"1,80","1,27",57%,"17,27","5,13","6,67","5,47","29,73%","10,42%","6,67","1,40","3,27","14,27","1,67","0,00",STM
Śląsk Wrocław,"1,27","1,00",53%,"14,73","4,73","6,60","3,40","32,13%","8,14%","6,87","1,47","2,67","15,60","2,53","0,13",ŚLĄ
Warta Poznań,"1,13","1,27",58%,"14,67","4,13","6,33","4,20","28,18%","7,27%","6,27","2,27","1,93","14,93","1,67","0,00",WAR
Wisła Kraków,"1,20","1,33",52%,"14,73","4,80","6,13","3,80","32,58%","7,69%","5,67","1,47","2,87","16,13","1,80","0,07",WIS
Wisła Płock,"1,67","1,27",52%,"12,20","4,80","4,47","2,93","39,34%","13,66%","4,73","1,80","2,20","14,53","1,67","0,07",WPŁ
Zagłębie Lubin,"1,40","0,93",51%,"15,40","4,67","6,20","4,53","30,30%","8,66%","5,47","1,40","2,73","14,40","2,00","0,13",ZAG
