KLUB,BTS,CK,BG
Cracovia,15,9,10
Górnik Zabrze,13,9,12
Jagiellonia,17,4,10
Lech Poznań,17,9,7
Lechia Gdańsk,13,7,10
Legia Warszawa,14,15,6
Piast Gliwice,11,12,11
Podbeskidzie,16,4,10
Pogoń Szczecin,11,17,5
Raków Częstochowa,14,12,9
Stal Mielec,17,5,12
Śląsk Wrocław,15,9,10
Warta Poznań,12,11,9
Wisła Kraków,17,9,9
Wisła Płock,13,9,10
Zagłębie Lubin,17,7,8
