KLUB,śr./mecz,celne,ncel,zabl,% zabl,Celne/gol bez sam,% celn,G BEZ SAM/DLA
Cracovia,"12,03","3,63","4,67","3,73","31,02%","4,04","30,19%","7,48%"
Górnik,"14,10","4,80","5,27","4,03","28,61%","4,65","34,04%","7,33%"
Jagiellonia,"11,53","4,20","4,57","2,77","23,99%","3,23","36,42%","11,27%"
Lech,"15,60","4,97","5,83","4,80","30,77%","4,03","31,84%","7,91%"
Lechia,"13,07","4,03","5,30","3,73","28,57%","3,18","30,87%","9,69%"
Legia,"15,33","5,23","6,00","4,10","26,74%","3,27","34,13%","10,43%"
Piast,"13,13","4,37","5,57","3,20","24,37%","3,45","33,25%","9,64%"
Podbeskidzie,"11,40","3,50","4,33","3,57","31,29%","3,75","30,70%","8,19%"
Pogoń,"12,93","4,50","5,20","3,23","25,00%","4,09","34,79%","8,51%"
Raków,"13,10","5,03","5,03","3,03","23,16%","3,43","38,42%","11,20%"
Stal,"11,90","4,53","4,57","2,80","23,53%","4,53","38,10%","8,40%"
Śląsk,"12,07","4,13","5,20","2,73","22,65%","3,44","34,25%","9,94%"
Warta,"10,07","3,13","4,37","2,57","25,50%","2,85","31,13%","10,93%"
Wisła K,"12,80","4,20","5,20","3,40","26,56%","3,60","32,81%","9,11%"
Wisła P,"10,50","4,07","4,20","2,23","21,27%","3,39","38,73%","11,43%"
Zagłębie,"11,87","3,97","5,03","2,87","24,16%","3,22","33,43%","10,39%"
