KLUB,ŻK/mecz,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Cracovia,"3,23",97,1,5,84,1,2,3,5,1,2,0,0,0,0,0,0
Górnik Zabrze,"2,00",60,1,1,49,0,1,5,2,2,1,0,0,1,0,0,0
Jagiellonia,"2,13",64,0,2,51,0,1,3,4,3,0,0,2,0,0,0,0
Lech Poznań,"1,97",59,0,2,50,0,2,1,4,1,1,0,0,0,0,0,0
Lechia Gdańsk,"2,20",66,0,3,55,0,2,4,2,1,2,0,0,0,0,0,0
Legia Warszawa,"2,30",69,1,3,55,1,2,3,6,1,1,0,1,0,0,0,0
Piast Gliwice,"1,90",57,0,1,51,0,1,1,2,2,0,0,0,0,0,0,0
Podbeskidzie,"1,67",50,1,2,46,1,0,2,0,0,2,0,0,0,0,0,0
Pogoń Szczecin,"2,67",80,0,3,74,0,1,4,1,0,0,0,0,0,0,0,0
Raków Częstochowa,"2,10",63,2,2,53,2,1,3,4,1,0,0,1,0,0,0,0
Stal Mielec,"1,63",49,1,1,45,1,0,1,2,1,0,0,0,0,0,0,0
Śląsk Wrocław,"2,07",62,0,3,56,0,2,0,2,1,1,0,0,0,0,0,0
Warta Poznań,"1,80",54,0,0,52,0,0,0,1,0,1,0,0,0,0,0,0
Wisła Kraków,"2,00",60,1,2,51,1,1,2,2,1,3,0,0,0,0,0,0
Wisła Płock,"1,90",57,2,4,51,2,1,2,0,1,2,0,0,0,0,0,0
Zagłębie Lubin,"1,90",57,0,2,49,0,2,2,1,1,0,2,0,0,0,0,0
