DRUŻYNA,MNP,Z,%
Cracovia,13,8,"61,54%"
Górnik Zabrze,14,10,"71,43%"
Jagiellonia Białystok,15,10,"66,67%"
Lech Poznań,18,9,"50,00%"
Lechia Gdańsk,15,12,"80,00%"
Legia Warszawa,21,19,"90,48%"
Piast Gliwice,16,11,"68,75%"
Podbeskidzie,17,6,"35,29%"
Pogoń Szczecin,19,15,"78,95%"
Raków Częstochowa,19,17,"89,47%"
Stal Mielec,13,6,"46,15%"
Śląsk Wrocław,17,11,"64,71%"
Warta Poznań,17,13,"76,47%"
Wisła Kraków,16,8,"50,00%"
Wisła Płock,13,8,"61,54%"
Zagłębie Lubin,15,11,"73,33%"
