ZAWODNIK,KLUB,GOLE,LN,PN,G,Inne
Tomas Pekhart,Legia Warszawa,22,3,11,8,0
Jakub Świerczok,Piast Gliwice,15,2,11,2,0
Jesus Jimenez,Górnik Zabrze,12,1,11,0,0
Mikael Ishak,Lech Poznań,12,2,8,2,0
Flavio Paixao,Lechia Gdańsk,12,1,7,4,0
Jakov Puljić,Jagiellonia,11,3,6,2,0
Jesus Imaz,Jagiellonia,11,4,7,0,0
Kamil Biliński,Podbeskidzie,11,2,8,1,0
Erik Exposito,Śląsk Wrocław,9,7,1,1,0
Ivi Lopez,Raków Częstochowa,9,0,9,0,0
Patryk Szysz,Zagłębie Lubin,8,7,1,0,0
Filip Mladenović,Legia Warszawa,7,5,1,1,0
Robert Pich,Śląsk Wrocław,7,0,7,0,0
Vladislavs Gutkovskis,Raków Częstochowa,7,1,4,2,0
Filip Starzyński,Zagłębie Lubin,7,1,6,0,0
Felicio Brown Forbes,Wisła Kraków,7,2,5,0,0
Mateusz Kuzimski,Warta Poznań,7,3,4,0,0
Dani Ramirez,Lech Poznań,6,4,2,0,0
David Tijanić,Raków Częstochowa,6,3,2,1,0
Łukasz Zwoliński,Lechia Gdańsk,6,3,2,1,0
Maciej Domański,Stal Mielec,6,0,6,0,0
Marcin Cebula,Raków Częstochowa,6,1,5,0,0
Mateusz Szwoch,Wisła Płock,6,0,5,1,0
Michał Kucharczyk,Pogoń Szczecin,6,2,4,0,0
Patryk Tuszyński,Wisła Płock,6,0,3,3,0
Pelle van Amersfoort,Cracovia,6,0,4,2,0
Makana Baku,Warta Poznań,6,4,2,0,0
Alan Uryga,Wisła Płock,5,0,1,4,0
Alexander Gorgon,Pogoń Szczecin,5,1,3,1,0
Bartosz Nowak,Górnik Zabrze,5,1,3,1,0
Tiago Alves,Piast Gliwice,5,1,4,0,0
Fabian Piasecki,Śląsk Wrocław,4,1,3,0,0
Jakub Błaszczykowski,Wisła Kraków,4,1,3,0,0
Jakub Moder,Lech Poznań,4,1,3,0,0
Petr Schwarz,Raków Częstochowa,4,0,4,0,0
Piotr Krawczyk,Górnik Zabrze,4,2,1,1,0
Sergiu Hanca,Cracovia,4,1,3,0,0
Yaw Yeboah,Wisła Kraków,4,3,1,0,0
Mateusz Mak,Stal Mielec,4,0,2,2,0
Lorenco Simić,Zagłębie Lubin,4,0,0,4,0
Dawid Kocyła,Wisła Płock,4,0,3,0,1
Jan Grzesik,Warta Poznań,4,1,3,0,0
Dominik Steczyk,Piast Gliwice,4,1,3,0,0
Michał Żyro,Piast Gliwice,4,2,0,2,0
Rafael Lopes,Legia Warszawa,4,0,1,3,0
Adam Frączczak,Pogoń Szczecin,3,0,0,3,0
Alasana Manneh,Górnik Zabrze,3,2,1,0,0
Alex Sobczyk,Górnik Zabrze,3,2,0,1,0
Bartosz Kapustka,Legia Warszawa,3,2,1,0,0
Chuca,Wisła Kraków,3,2,1,0,0
Damian Rasak,Wisła Płock,3,0,3,0,0
Jean Carlos Silva,Wisła Kraków,3,0,3,0,0
Kamil Drygas,Pogoń Szczecin,3,3,0,0,0
Luquinhas,Legia Warszawa,3,1,1,1,0
Maciej Makuszewski,Jagiellonia,3,1,2,0,0
Michał Nalepa II,Lechia Gdańsk,3,0,0,3,0
Pedro Tiba,Lech Poznań,3,1,2,0,0
Conrado,Lechia Gdańsk,3,3,0,0,0
Paweł Wszołek,Legia Warszawa,3,0,3,0,0
Łukasz Trałka,Warta Poznań,3,1,2,0,0
Michal Frydrych,Wisła Kraków,3,0,3,0,0
Mateusz Kupczak,Warta Poznań,3,2,1,0,0
Sebastian Kowalczyk,Pogoń Szczecin,3,0,3,0,0
Adrian Benedyczak,Pogoń Szczecin,3,0,2,1,0
Bartłomiej Pawłowski,Śląsk Wrocław,3,0,3,0,0
Grzegorz Tomasiewicz,Stal Mielec,3,1,1,1,0
Marcin Flis,Stal Mielec,3,2,0,1,0
Dusan Lagator,Wisła Płock,3,0,2,1,0
Rafał Janicki,Podbeskidzie,3,1,0,2,0
Andreja Prokić,Stal Mielec,2,1,0,1,0
Desley Ubbink,Podbeskidzie,2,0,2,0,0
Florian Loshaj,Cracovia,2,0,1,1,0
Kacper Chodyna,Zagłębie Lubin,2,0,2,0,0
Lubomir Guldan,Zagłębie Lubin,2,0,0,2,0
Maciej Gajos,Lechia Gdańsk,2,0,1,1,0
Maciej Sadlok,Wisła Kraków,2,1,1,0,0
Marcos Alvarez,Cracovia,2,0,1,1,0
Mathieu Scalet,Śląsk Wrocław,2,1,1,0,0
Michał Skóraś,Lech Poznań,2,0,2,0,0
Piotr Celeban,Śląsk Wrocław,2,0,1,1,0
Rok Sirk,Zagłębie Lubin,2,0,2,0,0
Sasa Balić,Zagłębie Lubin,2,0,0,2,0
Stefan Savić,Wisła Kraków,2,0,2,0,0
