ZAWODNIK,KLUB,POZYCJA,MECZE w ESA,GOLE w ESA,gole/mecz,MECZE w KLUBIE,GOLE w KLUBIE,gole/mecz w klubie
Andreja Prokić,Stal,Pomocnik,49,3,"0,061",29,2,"0,069"
Kacper Sadłocha,Stal,Pomocnik,2,0,"0,000",2,0,"0,000"
Szymon Stasik,Stal,Pomocnik,4,0,"0,000",4,0,"0,000"
Grzegorz Tomasiewicz,Stal,Pomocnik,29,3,"0,103",29,3,"0,103"
Maciej Urbańczyk,Stal,Pomocnik,57,1,"0,018",11,0,"0,000"
Maciej Jankowski,Stal,Napastnik,290,62,"0,214",11,2,"0,182"
Aleksandyr Kolew,Stal,Napastnik,72,10,"0,139",15,2,"0,133"
Łukasz Zjawiński,Stal,Napastnik,24,1,"0,042",24,1,"0,042"
Matus Putnocky,Śląsk,Bramkarz,175,0,"0,000",56,0,"0,000"
Michał Szromnik,Śląsk,Bramkarz,11,0,"0,000",11,0,"0,000"
Łukasz Bejger,Śląsk,Obrońca,11,0,"0,000",11,0,"0,000"
Piotr Celeban,Śląsk,Obrońca,358,35,"0,098",312,31,"0,099"
Guillermo Cotugno,Śląsk,Obrońca,12,0,"0,000",12,0,"0,000"
Wojciech Golla,Śląsk,Obrońca,146,5,"0,034",62,3,"0,048"
Lubambo Musonda,Śląsk,Obrońca,54,0,"0,000",54,0,"0,000"
Mariusz Pawelec,Śląsk,Obrońca,319,2,"0,006",247,2,"0,008"
Konrad Poprawa,Śląsk,Obrońca,9,1,"0,111",9,1,"0,111"
Israel Puerto,Śląsk,Obrońca,49,3,"0,061",49,3,"0,061"
Dino Stiglec,Śląsk,Obrońca,59,4,"0,068",59,4,"0,068"
Mark Tamas,Śląsk,Obrońca,37,1,"0,027",37,1,"0,027"
Maciej Wilusz,Śląsk,Obrońca,90,0,"0,000",0,0,-
Przemysław Bargiel,Śląsk,Pomocnik,8,0,"0,000",3,0,"0,000"
Patryk Janasik,Śląsk,Pomocnik,17,1,"0,059",17,1,"0,059"
Szymon Lewkot,Śląsk,Pomocnik,7,0,"0,000",7,0,"0,000"
Adrian Łyszczarz,Śląsk,Pomocnik,18,0,"0,000",18,0,"0,000"
Rafał Makowski,Śląsk,Pomocnik,18,0,"0,000",11,0,"0,000"
Krzysztof Mączyński,Śląsk,Pomocnik,228,13,"0,057",62,6,"0,097"
Maciej Pałaszewski,Śląsk,Pomocnik,36,0,"0,000",36,0,"0,000"
Bartłomiej Pawłowski,Śląsk,Pomocnik,171,23,"0,135",22,3,"0,136"
Robert Pich,Śląsk,Pomocnik,221,46,"0,208",221,46,"0,208"
Mateusz Praszelik,Śląsk,Pomocnik,31,1,"0,032",26,1,"0,038"
Mathieu Scalet,Śląsk,Pomocnik,16,2,"0,125",16,2,"0,125"
Waldemar Sobota,Śląsk,Pomocnik,117,10,"0,085",117,10,"0,085"
Marcel Zylla,Śląsk,Pomocnik,20,1,"0,050",20,1,"0,050"
Sebastian Bergier,Śląsk,Napastnik,22,0,"0,000",22,0,"0,000"
Erik Exposito,Śląsk,Napastnik,62,17,"0,274",62,17,"0,274"
Fabian Piasecki,Śląsk,Napastnik,59,5,"0,085",26,4,"0,154"
Daniel Bielica,Warta,Bramkarz,6,0,"0,000",5,0,"0,000"
Adrian Lis,Warta,Bramkarz,25,0,"0,000",25,0,"0,000"
Jan Grzesik,Warta,Obrońca,57,5,"0,088",27,4,"0,148"
Robert Ivanov,Warta,Obrońca,22,0,"0,000",22,0,"0,000"
Bartosz Kieliba,Warta,Obrońca,14,1,"0,071",14,1,"0,071"
Jakub Kiełb,Warta,Obrońca,23,1,"0,043",23,1,"0,043"
Jakub Kuzdra,Warta,Obrońca,24,1,"0,042",23,1,"0,043"
Aleks Ławniczak,Warta,Obrońca,23,1,"0,043",23,1,"0,043"
Maik Nawrocki,Warta,Obrońca,3,1,"0,333",3,1,"0,333"
Mateusz Spychała,Warta,Obrońca,31,0,"0,000",7,0,"0,000"
Makana Baku,Warta,Pomocnik,13,6,"0,462",13,6,"0,462"
Bartłomiej Burman,Warta,Pomocnik,4,0,"0,000",4,0,"0,000"
Mateusz Czyżycki,Warta,Pomocnik,22,0,"0,000",22,0,"0,000"
Konrad Handzlik,Warta,Pomocnik,4,0,"0,000",3,0,"0,000"
Michał Jakóbowski,Warta,Pomocnik,26,2,"0,077",23,2,"0,087"
Robert Janicki,Warta,Pomocnik,19,1,"0,053",19,1,"0,053"
Michał Kopczyński,Warta,Pomocnik,71,0,"0,000",7,0,"0,000"
Mateusz Kupczak,Warta,Pomocnik,138,5,"0,036",25,3,"0,120"
Mario Rodriguez,Warta,Pomocnik,13,1,"0,077",13,1,"0,077"
Mariusz Rybicki,Warta,Pomocnik,74,8,"0,108",13,1,"0,077"
Mateusz Sopoćko,Warta,Pomocnik,11,0,"0,000",2,0,"0,000"
Łukasz Trałka,Warta,Pomocnik,400,27,"0,068",29,3,"0,103"
Maciej Żurawski,Warta,Pomocnik,32,1,"0,031",15,0,"0,000"
Gracjan Jaroch,Warta,Napastnik,14,0,"0,000",14,0,"0,000"
Mateusz Kuzimski,Warta,Napastnik,29,7,"0,241",29,7,"0,241"
Adam Zrelak,Warta,Napastnik,8,0,"0,000",8,0,"0,000"
Michał Buchalik,Wisła K.,Bramkarz,149,0,"0,000",92,0,"0,000"
Mateusz Lis,Wisła K.,Bramkarz,68,0,"0,000",68,0,"0,000"
Łukasz Burliga,Wisła K.,Obrońca,247,15,"0,061",157,13,"0,083"
Michal Frydrych,Wisła K.,Obrońca,24,3,"0,125",24,3,"0,125"
Konrad Gruszkowski,Wisła K.,Obrońca,7,0,"0,000",7,0,"0,000"
Daniel Hoyo-Kowalski,Wisła K.,Obrońca,6,0,"0,000",6,0,"0,000"
Souleymane Kone,Wisła K.,Obrońca,7,0,"0,000",7,0,"0,000"
Adi Mehremić,Wisła K.,Obrońca,11,1,"0,091",11,1,"0,091"
Uros Radaković,Wisła K.,Obrońca,6,1,"0,167",6,1,"0,167"
Maciej Sadlok,Wisła K.,Obrońca,320,7,"0,022",212,6,"0,028"
Dawid Szot,Wisła K.,Obrońca,27,0,"0,000",27,0,"0,000"
Serafin Szota,Wisła K.,Obrońca,8,0,"0,000",8,0,"0,000"
Krystian Wachowiak,Wisła K.,Obrońca,1,0,"0,000",1,0,"0,000"
