KOL,GOSP,GOŚĆ,ST GOSP,ST GOŚĆ,ST C GOSP,ST C GOŚĆ,G GOSP,G GOŚĆ,xG GOSP,xG GOŚĆ,xG/s gosp,xG/s gość,% GOSP,% REMIS,% GOŚĆ
1,Zagłębie,Lech,9,24,4,7,2,1,"0,58","1,58","0,06","0,07",13%,25%,62%
1,Cracovia,Pogoń,16,11,4,4,2,1,"1,50","0,77","0,09","0,07",55%,26%,19%
1,Śląsk,Piast,12,11,4,2,2,0,"1,24","0,70","0,10","0,06",50%,30%,20%
1,Raków,Legia,12,15,3,4,1,2,"0,88","1,93","0,07","0,13",15%,21%,63%
1,Wisła P,Stal,7,14,1,5,1,1,"0,83","1,56","0,12","0,11",19%,26%,55%
1,Warta,Lechia,11,4,4,1,0,1,"0,59","0,16","0,05","0,04",40%,51%,8%
1,Górnik,Podbeskidzie,12,11,6,5,4,2,"2,45","0,70","0,20","0,06",78%,14%,7%
1,Jagiellonia,Wisła K,21,12,4,4,1,1,"1,02","0,46","0,05","0,04",49%,35%,16%
2,Zagłębie,Warta,21,4,5,0,1,0,"1,14","0,08","0,05","0,02",66%,32%,2%
2,Stal,Górnik,7,16,1,8,0,2,"0,94","0,90","0,13","0,06",35%,33%,32%
2,Lechia,Raków,6,17,2,7,1,3,"0,30","2,74","0,05","0,16",2%,8%,90%
2,Wisła K,Śląsk,10,14,3,5,0,3,"0,22","2,37","0,02","0,17",2%,10%,88%
2,Legia,Jagiellonia,26,6,6,2,1,2,"1,63","1,01","0,06","0,17",51%,25%,23%
2,Piast,Pogoń,15,8,4,1,0,1,"0,97","0,79","0,06","0,10",38%,33%,28%
2,Podbeskidzie,Cracovia,6,15,2,5,2,2,"0,62","1,68","0,10","0,11",12%,23%,64%
2,Lech,Wisła P,20,15,4,5,2,2,"1,55","2,59","0,08","0,17",20%,18%,61%
3,Jagiellonia,Podbeskidzie,17,12,3,5,2,2,"3,25","1,20","0,19","0,10",79%,12%,9%
3,Wisła P,Legia,12,6,4,2,0,1,"1,03","0,44","0,09","0,07",50%,34%,15%
3,Cracovia,Stal,21,12,4,6,1,1,"1,17","0,64","0,06","0,05",49%,31%,20%
3,Warta,Piast,13,10,2,2,0,0,"0,60","0,56","0,05","0,06",30%,43%,27%
3,Śląsk,Lech,17,19,7,6,3,3,"2,13","2,81","0,13","0,15",28%,19%,53%
3,Pogoń,Wisła K,12,10,4,3,1,2,"1,22","1,09","0,10","0,11",39%,29%,32%
3,Górnik,Lechia,19,7,5,2,3,0,"2,06","0,74","0,11","0,11",69%,19%,11%
3,Raków,Zagłębie,13,13,4,4,2,1,"0,95","1,07","0,07","0,08",31%,31%,38%
4,Podbeskidzie,Raków,9,20,4,7,1,4,"0,63","4,16","0,07","0,21",1%,4%,93%
4,Wisła K,Wisła P,9,13,2,4,0,3,"0,47","1,66","0,05","0,13",9%,22%,68%
4,Lechia,Stal,29,7,10,3,4,2,"2,82","0,63","0,10","0,09",84%,11%,5%
