ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Tomas Pekhart,Legia Warszawa,"52,9%","51,9%","44,1%",78,38,"48,7%",22,"3,55","28,2%",15
Jesus Jimenez,Górnik Zabrze,"42,9%","41,5%","23,1%",92,36,"39,1%",12,"7,67","13,0%",45
Jakub Świerczok,Piast Gliwice,"20,0%","52,6%","25,0%",80,35,"43,8%",15,"5,33","18,8%",20
Ivi Lopez,Raków Częstochowa,"38,1%","43,9%","0,0%",79,33,"41,8%",9,"8,78","11,4%",17
Dani Ramirez,Lech Poznań,"33,8%","25,0%","33,3%",83,27,"32,5%",6,"13,83","7,2%",46
Jesus Imaz,Jagiellonia,"46,2%","51,4%","25,0%",56,26,"46,4%",11,"5,09","19,6%",45
Robert Pich,Śląsk Wrocław,"33,3%","45,1%","25,0%",62,26,"41,9%",7,"8,86","11,3%",30
Bartosz Nowak,Górnik Zabrze,"62,5%","37,7%","50,0%",63,26,"41,3%",5,"12,60","7,9%",71
Felicio Brown Forbes,Raków/Wisła K,"43,8%","57,1%","25,0%",52,25,"48,1%",7,"7,43","13,5%",20
Mikael Ishak,Lech Poznań,"40,0%","39,4%","50,0%",61,25,"41,0%",12,"5,08","19,7%",18
Michał Kucharczyk,Pogoń Szczecin,"57,1%","29,8%","33,3%",64,23,"35,9%",6,"10,67","9,4%",54
Flavio Paixao,Lechia Gdańsk,"28,6%","33,3%","29,2%",75,23,"30,7%",12,"6,25","16,0%",30
Jakov Puljić,Jagiellonia,"33,3%","40,5%","25,0%",61,22,"36,1%",11,"5,55","18,0%",16
Pedro Tiba,Lech Poznań,"40,0%","32,7%","66,7%",60,21,"35,0%",3,"20,00","5,0%",50
Yaw Yeboah,Wisła Kraków,"33,3%","26,7%","100,0%",64,21,"32,8%",4,"16,00","6,3%",36
Mateusz Szwoch,Wisła Płock,"20,0%","45,9%","25,0%",51,20,"39,2%",6,"8,50","11,8%",72
Filip Mladenović,Legia Warszawa,"35,0%","38,5%","50,0%",55,20,"36,4%",7,"7,86","12,7%",55
Erik Exposito,Śląsk Wrocław,"43,6%","50,0%","12,5%",57,20,"35,1%",9,"6,33","15,8%",17
