KLUB,śr./mecz,Zza/mecz,% celn zza,% ogółu zza,GOLE ZZA prz,% GOLI ZZA,% skut. ZZA
Cracovia,"12,47","5,77","31,79%","46,26%",2,"6,25%","1,16%"
Górnik,"11,33","3,77","24,78%","33,24%",0,"0,00%","0,00%"
Jagiellonia,"15,83","6,33","22,63%","40,00%",6,"12,77%","3,16%"
Lech,"10,97","4,53","25,74%","41,34%",3,"8,33%","2,21%"
Lechia,"13,97","5,33","34,38%","38,19%",5,"13,51%","3,13%"
Legia,"8,97","3,97","28,57%","44,24%",2,"8,70%","1,68%"
Piast,"11,27","4,60","23,91%","40,83%",2,"6,45%","1,45%"
Podbeskidzie,"13,43","4,60","24,64%","34,24%",5,"8,47%","3,62%"
Pogoń,"10,23","4,60","23,91%","44,95%",1,"4,55%","0,72%"
Raków,"10,73","4,53","26,47%","42,24%",2,"8,00%","1,47%"
Stal,"15,40","6,73","23,76%","43,72%",6,"12,77%","2,97%"
Śląsk,"14,60","5,93","24,16%","40,64%",5,"16,13%","2,81%"
Warta,"12,37","4,50","18,52%","36,39%",3,"10,00%","2,22%"
Wisła K,"14,07","5,73","23,26%","40,76%",5,"12,82%","2,91%"
Wisła P,"11,57","4,67","23,57%","40,35%",2,"4,65%","1,43%"
Zagłębie,"14,23","6,30","23,81%","44,26%",7,"18,92%","3,70%"
