KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Cracovia,3,3,0,0,9,3,4,2,3,0,1,2
Górnik Zabrze,5,3,2,0,5,2,1,2,5,1,0,4
Jagiellonia,5,4,1,0,6,1,3,2,4,1,1,2
Lech Poznań,3,1,1,1,8,3,3,2,4,0,3,1
Lechia Gdańsk,5,3,1,1,5,2,0,3,5,1,2,2
Legia Warszawa,5,5,0,0,7,3,3,1,3,1,0,2
Piast Gliwice,5,5,0,0,7,0,3,4,3,1,0,2
Podbeskidzie,4,3,1,0,6,2,3,1,5,1,0,4
Pogoń Szczecin,5,5,0,0,7,3,4,0,3,0,1,2
Raków Częstochowa,6,6,0,0,7,3,3,1,2,0,0,2
Stal Mielec,3,2,1,0,6,1,3,2,6,1,1,4
Śląsk Wrocław,5,4,1,0,9,3,5,1,1,0,1,0
Warta Poznań,3,2,0,1,8,3,2,3,4,1,0,3
Wisła Kraków,4,2,0,2,9,2,2,5,2,0,0,2
Wisła Płock,2,2,0,0,8,2,3,3,5,0,1,4
Zagłębie Lubin,4,1,3,0,5,3,1,1,6,3,1,2
