Trener,M,Z,R,P,BZ,BS,ŚR GOLI,ŚR PKT,% zwycięstw
Michał Probierz,453,171,117,165,558,560,"2,47","1,39","37,7%"
Marcin Brosz,255,87,79,89,327,344,"2,63","1,33","34,1%"
Rafał Grzyb,11,4,3,4,16,18,"3,09","1,36","36,4%"
Maciej Skorża,258,131,60,67,396,242,"2,47","1,76","50,8%"
Piotr Stokowiec,270,107,73,90,373,332,"2,61","1,46","39,6%"
Czesław Michniewicz,296,120,82,94,392,363,"2,55","1,49","40,5%"
Waldemar Fornalik,433,171,112,150,529,482,"2,33","1,44","39,5%"
Robert Kasperczyk,54,13,14,27,50,77,"2,35","0,98","24,1%"
Kosta Runjaić,126,53,35,38,164,144,"2,44","1,54","42,1%"
Marek Papszun,67,33,13,21,97,81,"2,66","1,67","49,3%"
Włodzimierz Gąsior,146,34,41,71,118,195,"2,14","0,98","23,3%"
Jacek Magiera,43,26,11,6,82,38,"2,79","2,07","60,5%"
Piotr Tworek,30,13,4,13,33,32,"2,17","1,43","43,3%"
Kazimierz Kmiecik,25,7,8,10,29,32,"2,44","1,16","28,0%"
Maciej Bartoszek,84,28,22,34,101,116,"2,58","1,26","33,3%"
Martin Sevela,59,24,14,21,87,81,"2,85","1,46","40,7%"
