ZAWODNIK,KLUB,słupek,poprzeczka,SUMA
Adriel Ba Loua,Lech Poznań,2,2,4
Mahir Emreli,Legia Warszawa,4,0,4
Felicio Brown Forbes,Wisła Kraków,3,1,4
Krzysztof Kubica,Górnik Zabrze,1,3,4
Maciej Gajos,Lechia Gdańsk,1,2,3
Josue,Legia Warszawa,1,2,3
Petr Schwarz,Śląsk Wrocław,1,2,3
Michał Skóraś,Lech Poznań,1,2,3
Fran Tudor,Raków Częstochowa,1,2,3
Łukasz Zwoliński,Lechia Gdańsk,3,0,3
Joao Amaral,Lech Poznań,1,1,2
Kacper Chodyna,Zagłębie Lubin,2,0,2
Ilkay Durmus,Lechia Gdańsk,1,1,2
Erik Exposito,Śląsk Wrocław,0,2,2
Roman Gergel,Bruk-Bet,1,1,2
Vladislavs Gutkovskis,Raków Częstochowa,2,0,2
Dor Hugi,Wisła Kraków,0,2,2
Mikael Ishak,Lech Poznań,0,2,2
Ivi Lopez,Raków Częstochowa,1,1,2
Jesus Jimenez,Górnik Zabrze,1,1,2
Otar Kakabadze,Cracovia,2,0,2
Dawid Kocyła,Wisła P/Bruk-Bet,2,0,2
Piotr Krawczyk,Górnik Zabrze,2,0,2
Leandro Rossi,Radomiak Radom,2,0,2
Luis Machado,Radomiak Radom,0,2,2
Fabian Piasecki,Śląsk/Stal,2,0,2
Lukas Podolski,Górnik Zabrze,0,2,2
Kristopher Vida,Piast Gliwice,2,0,2
Luka Zahović,Pogoń Szczecin,2,0,2
Sasa Zivec,Zagłębie Lubin,2,0,2
Karol Angielski,Radomiak Radom,1,0,1
Błażej Augustyn,Jagiellonia,0,1,1
Sebastian Bonecki,Bruk-Bet,1,0,1
Caye Quinana,Śląsk Wrocław,1,0,1
Marcin Cebula,Raków Częstochowa,1,0,1
Mateusz Cholewiak,Górnik Zabrze,1,0,1
Radosław Cielemęcki,Wisła Płock,0,1,1
Bassekou Diabate,Lechia Gdańsk,1,0,1
Flavio Paixao,Lechia Gdańsk,1,0,1
Michal Frydrych,Wisła Kraków,0,1,1
Goncalo Silva,Radomiak Radom,1,0,1
Jan Grzesik,Warta Poznań,0,1,1
Michał Jakóbowski,Warta Poznań,1,0,1
Erik Janza,Górnik Zabrze,0,1,1
Jakub Kamiński,Lech Poznań,0,1,1
Dawid Kort,Stal Mielec,0,1,1
Serhij Krykun,Górnik Łęczna,1,0,1
Michał Kucharczyk,Pogoń Szczecin,0,1,1
Nikola Kuveljić,Wisła Kraków,1,0,1
Mateusz Kuzimski,Warta Poznań,1,0,1
Nika Kwekweskiri,Lech Poznań,1,0,1
Aleks Ławniczak,Warta/Zagłębie,1,0,1
Krzysztof Mączyński,Śląsk Wrocław,1,0,1
Mateusz Mak,Stal Mielec,0,1,1
Mariusz Malec,Pogoń Szczecin,0,1,1
Mateusz Żyro,Stal Mielec,0,1,1
Mario Maloca,Lechia Gdańsk,0,1,1
Alasana Manneh,Górnik Zabrze,1,0,1
Andre Martins,Legia Warszawa,0,1,1
Tiago Matos,Radomiak Radom,0,1,1
Maurides,Radomiak Radom,1,0,1
Muris Mesanović,Bruk-Bet,0,1,1
Bojan Nastić,Jagiellonia,1,0,1
Jayson Papeau,Warta Poznań,0,1,1
Tomas Pekhart,Legia Warszawa,0,1,1
Kamil Pestka,Cracovia,1,0,1
Tomas Petrasek,Raków Częstochowa,0,1,1
Robert Pich,Śląsk Wrocław,0,1,1
Rafał Pietrzak,Lechia Gdańsk,1,0,1
Artem Putiwcew,Bruk-Bet,0,1,1
Mateusz Radecki,Radomiak Radom,1,0,1
Adam Radwański,Bruk-Bet,1,0,1
Damian Rasak,Wisła Płock,0,1,1
Mathias Hebo Rasmussen,Cracovia,1,0,1
Rivaldinho,Cracovia,0,1,1
Matej Rodin,Cracovia,0,1,1
Mario Rodriguez,Warta Poznań,1,0,1
Taras Romanczuk,Jagiellonia,0,1,1
Mario Rondon,Radomiak Radom,0,1,1
Maciej Rosołek,Legia Warszawa,1,0,1
Raphael Rossi,Radomiak Radom,1,0,1
Lubomir Satka,Lech Poznań,0,1,1
Lorenco Simić,Zagłębie Lubin,0,1,1
Maksymilian Sitek,Stal Mielec,0,1,1
Waldemar Sobota,Śląsk Wrocław,1,0,1
Patryk Sokołowski,Piast/Legia,0,1,1
Bartosz Śpiączka,Górnik Łęczna,1,0,1
Kacper Śpiewak,Bruk-Bet,1,0,1
Filip Starzyński,Zagłębie Lubin,1,0,1
Dominik Steczyk,Piast/Stal,1,0,1
Daniel Szelągowski,Raków/Warta,0,1,1
Mateusz Szwoch,Wisła Płock,1,0,1
Łukasz Trałka,Warta Poznań,1,0,1
Damian Warchoł,Wisła Płock,1,0,1
Mateusz Wdowiak,Raków Częstochowa,0,1,1
Martin Zeman,Bruk-Bet,0,1,1
Dawid Szymonowicz,Warta Poznań,0,1,1
Jason Lokilo,Górnik Łęczna,0,1,1
Thabo Cele,Radomiak Radom,1,0,1
Albin Granlund,Stal Mielec,0,1,1
Bartłomiej Burman,Warta Poznań,1,0,1
Frank Castaneda,Warta Poznań,1,0,1
Maciej Domański,Stal Mielec,0,1,1
Zdenek Ondrasek,Wisła Kraków,1,0,1
Tomas Poznar,Bruk-Bet,1,0,1
Kamil Wilczek,Piast Gliwice,1,0,1
Virgil Ghita,Cracovia,0,1,1
Elvis Manu,Wisła Kraków,1,0,1
