ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Ivi Lopez,Raków Częstochowa,"58,3%","45,3%","100,0%",123,61,"49,6%",20,"6,15","16,3%",67
Mikael Ishak,Lech Poznań,"41,9%","36,2%","60,0%",99,40,"40,4%",18,"5,50","18,2%",34
Łukasz Zwoliński,Lechia Gdańsk,"57,9%","41,7%","50,0%",77,37,"48,1%",14,"5,50","18,2%",22
Karol Angielski,Radomiak Radom,"55,8%","53,8%","40,0%",66,35,"53,0%",18,"3,67","27,3%",25
Lukas Podolski,Górnik Zabrze,"47,2%","20,0%","0,0%",80,35,"43,8%",9,"8,89","11,3%",41
Jakub Kamiński,Lech Poznań,"38,9%","39,3%","66,7%",80,33,"41,3%",9,"8,89","11,3%",58
Joao Amaral,Lech Poznań,"40,0%","35,7%","66,7%",82,32,"39,0%",14,"5,86","17,1%",53
Robert Pich,Śląsk Wrocław,"41,2%","41,7%","66,7%",71,31,"43,7%",6,"11,83","8,5%",30
Bartosz Nowak,Górnik Zabrze,"28,6%","40,7%","0,0%",74,28,"37,8%",8,"9,25","10,8%",72
Muris Mesanović,Bruk-Bet,"42,9%","48,6%","30,0%",61,27,"44,3%",11,"5,55","18,0%",20
Erik Exposito,Śląsk Wrocław,"39,3%","40,0%","33,3%",67,26,"38,8%",11,"6,09","16,4%",23
Bartosz Śpiączka,Górnik Łęczna,-,"41,4%","42,9%",58,25,"43,1%",11,"5,27","19,0%",18
Mateusz Wdowiak,Raków Częstochowa,"50,0%","48,3%","80,0%",45,24,"53,3%",7,"6,43","15,6%",38
Fabian Piasecki,Śląsk/Stal,"37,5%","50,0%","37,5%",52,24,"46,2%",7,"7,43","13,5%",27
Łukasz Sekulski,Wisła Płock,"25,0%","88,2%","41,7%",41,23,"56,1%",13,"3,15","31,7%",21
Pelle van Amersfoort,Cracovia,"0,0%","45,9%","50,0%",50,23,"46,0%",8,"6,25","16,0%",28
Vladislavs Gutkovskis,Raków Częstochowa,"55,6%","37,5%","21,4%",56,22,"39,3%",10,"5,60","17,9%",11
Luka Zahović,Pogoń Szczecin,"50,0%","59,1%","46,2%",39,21,"53,8%",11,"3,55","28,2%",12
Tomas Pekhart,Legia Warszawa,"50,0%","44,4%","50,0%",44,21,"47,7%",9,"4,89","20,5%",15
Erik Daniel,Zagłębie Lubin,"33,3%","34,2%","33,3%",60,21,"35,0%",3,"20,00","5,0%",33
Ilkay Durmus,Lechia Gdańsk,"29,8%","15,4%","50,0%",74,21,"28,4%",6,"12,33","8,1%",47
Jesus Imaz,Jagiellonia,"23,5%","65,2%","25,0%",44,20,"45,5%",9,"4,89","20,5%",27
Jesus Jimenez,Górnik Zabrze,"55,6%","40,6%","50,0%",45,20,"44,4%",8,"5,63","17,8%",35
Flavio Paixao,Lechia Gdańsk,"50,0%","48,0%","20,0%",47,20,"42,6%",10,"4,70","21,3%",27
Grzegorz Tomasiewicz,Stal Mielec,"16,7%","35,0%","71,4%",53,20,"37,7%",8,"6,63","15,1%",30
Kamil Grosicki,Pogoń Szczecin,"50,0%","36,2%","0,0%",52,19,"36,5%",9,"5,78","17,3%",50
Patryk Szysz,Zagłębie Lubin,"28,8%","33,3%","100,0%",60,19,"31,7%",11,"5,45","18,3%",43
Adam Zrelak,Warta Poznań,"37,5%","57,1%","83,3%",37,18,"48,6%",9,"4,11","24,3%",27
Alberto Toril,Piast Gliwice,"28,6%","52,4%","35,7%",42,18,"42,9%",6,"7,00","14,3%",11
Taras Romanczuk,Jagiellonia,"44,4%","0,0%","40,0%",44,18,"40,9%",3,"14,67","6,8%",22
Sebastian Kowalczyk,Pogoń Szczecin,"57,1%","32,6%","0,0%",51,18,"35,3%",6,"8,50","11,8%",26
Piotr Wlazło,Bruk-Bet,"20,0%","45,5%","25,0%",42,17,"40,5%",9,"4,67","21,4%",26
Yaw Yeboah,Wisła Kraków,"43,2%","20,0%",-,42,17,"40,5%",5,"8,40","11,9%",21
Michał Kucharczyk,Pogoń Szczecin,"44,4%","29,0%","66,7%",46,17,"37,0%",5,"9,20","10,9%",28
Damian Kądzior,Piast Gliwice,"30,0%","11,1%","33,3%",62,17,"27,4%",6,"10,33","9,7%",53
Mateusz Mak,Stal Mielec,"66,7%","37,5%","60,0%",32,16,"50,0%",7,"4,57","21,9%",17
Filip Starzyński,Zagłębie Lubin,"33,3%","46,7%","0,0%",38,16,"42,1%",6,"6,33","15,8%",45
Fedor Cernych,Jagiellonia,"50,0%","33,3%","42,9%",41,16,"39,0%",4,"10,25","9,8%",20
Luis Machado,Radomiak Radom,"42,9%","33,3%","50,0%",45,16,"35,6%",2,"22,50","4,4%",15
Rafał Wolski,Wisła Płock,"27,3%","40,6%","0,0%",45,16,"35,6%",4,"11,25","8,9%",21
