ZAWODNIK,KLUB,MIN,MECZE,OSTATNI GOL,PRZECIW
Michał Pazdan,Jagiellonia Białystok,11137,128,03.10.2014,Wisła K
Bartosz Rymaniak,Górnik Łęczna,8828,111,30.10.2017,Lechia
Artur Jędrzejczyk,Legia Warszawa,7839,90,10.02.2019,Wisła P
Mateusz Cichocki,Radomiak Radom,7471,86,-,-
Benedikt Zech,Pogoń Szczecin,6964,81,-,-
Daniel Dziwniel,Górnik Łęczna,6408,84,10.08.2014,Wisła K
Damian Zbozień,Wisła Płock,6104,74,22.02.2019,Piast
Jakub Wójcicki,Zagłębie Lubin,4409,67,16.02.2019,Wisła P
Mariusz Malec,Pogoń Szczecin,4313,55,15.02.2019,Górnik Z
Przemysław Wiśniewski,Górnik Zabrze,4041,45,15.02.2021,Stal
Jakub Rzeźniczak,Wisła Płock,3812,45,23.10.2020,Piast
Luis Mata,Pogoń Szczecin,3784,48,-,-
Mario Maloca,Lechia Gdańsk,3448,38,05.04.2021,Zagłębie L
Filip Modelski,Bruk-Bet Termalica Nieciecza,3255,41,07.06.2015,Lechia
Aleks Ławniczak,Zagłębie Lubin,3163,38,25.09.2020,Wisła P
Luis Rocha,Cracovia,3156,49,-,-
Wojciech Golla,Śląsk Wrocław,3119,34,02.10.2020,Cracovia
Mark Tamas,Śląsk Wrocław,3015,35,15.07.2020,Jagiellonia
Jakub Kiełb,Warta Poznań,2952,38,30.01.2021,Cracovia
Leandro,Górnik Łęczna,2786,34,16.05.2017,Cracovia
Matej Hanousek,Wisła Kraków,2747,31,-,-
Sasa Balić,Zagłębie Lubin,2686,36,21.11.2020,Stal
Paweł Stolarski,Pogoń Szczecin,2653,41,27.04.2019,Lechia
Robert Ivanov,Warta Poznań,2616,29,01.08.2021,Pogoń
Łukasz Bejger,Śląsk Wrocław,2606,34,-,-
Damian Jakubik,Radomiak Radom,2594,31,-,-
Kristers Tobers,Lechia Gdańsk,2576,38,-,-
Bojan Nastić,Jagiellonia Białystok,2506,33,20.03.2021,Lech
Rafał Pietrzak,Lechia Gdańsk,2494,41,19.12.2020,Cracovia
Bartosz Kopacz,Zagłębie Lubin,2424,31,30.04.2021,Wisła P
Dawid Szot,Wisła Kraków,2396,39,-,-
Paweł Olszewski,Jagiellonia Białystok,2288,32,-,-
Matej Rodin,Cracovia,2250,25,11.09.2021,Górnik Z
Hubert Matynia,Pogoń Szczecin,2232,32,30.11.2019,Arka
David Stec,Lechia Gdańsk,2199,28,08.12.2019,Piast
Bogdan Tiru,Jagiellonia Białystok,2141,28,21.04.2021,Stal
Filip Mladenović,Legia Warszawa,2139,26,03.04.2021,Pogoń
Kryspin Szcześniak,Górnik Łęczna,2043,25,-,-
Tomasz Mokwa,Piast Gliwice,1969,30,15.10.2016,Ruch
Damian Michalski,Wisła Płock,1968,24,18.09.2021,Jagiellonia
Tomasz Midzierski,Górnik Łęczna,1963,27,-,-
Joel Pereira,Lech Poznań,1834,28,-,-
Marcin Flis,Stal Mielec,1830,21,18.10.2021,Zagłębie L
Michal Siplak,Cracovia,1821,26,03.04.2021,Lech
