KLUB,CZAS,MIN ZAGR,% ZAGR,ZAW,ZAGR,G,G ZAGR,% G ZAGR,,604730,271330,"44,87%",579,241,818,384,"46,94%"
Bruk-Bet,33573,16058,"47,83%",38,19,36,17,"47,22%"
Cracovia,33646,24507,"72,84%",32,19,40,26,"65,00%"
Górnik Ł,33526,9137,"27,25%",33,7,29,4,"13,79%"
Górnik Z,33650,10458,"31,08%",30,12,55,25,"45,45%"
Jagiellonia,33572,17177,"51,16%",38,14,39,27,"69,23%"
Lech,33628,22664,"67,40%",29,16,67,46,"68,66%"
Lechia,33651,17137,"50,93%",31,15,52,22,"42,31%"
Legia,33594,17448,"51,94%",39,19,46,24,"52,17%"
Piast,33660,14865,"44,16%",29,13,45,13,"28,89%"
Pogoń,33621,14176,"42,16%",27,8,63,19,"30,16%"
Radomiak,33585,15817,"47,10%",29,14,42,16,"38,10%"
Raków,33588,21404,"63,73%",36,21,60,43,"71,67%"
Stal,33593,4267,"12,70%",35,5,39,4,"10,26%"
Śląsk,33535,14892,"44,41%",33,12,42,24,"57,14%"
Warta,33579,10618,"31,62%",34,10,35,19,"54,29%"
Wisła K,33509,21852,"65,21%",34,20,37,31,"83,78%"
Wisła P,33607,7689,"22,88%",32,8,48,11,"22,92%"
Zagłębie,33613,11164,"33,21%",39,15,43,13,"30,23%"
