ZAWODNIK,KLUB,POZYCJA,MECZE w ESA,GOLE w ESA,gole/mecz,MECZE w KLUBIE,GOLE w KLUBIE,gole/mecz w klubie
Łukasz Budziłek,Bruk-Bet,Bramkarz,17,0,"0,000",3,0,"0,000"
Tomasz Loska,Bruk-Bet,Bramkarz,77,0,"0,000",22,0,"0,000"
Pawieł Pawluczenko,Bruk-Bet,Bramkarz,9,0,"0,000",9,0,"0,000"
Wiktor Biedrzycki,Bruk-Bet,Obrońca,26,1,"0,038",23,1,"0,043"
David Domgjoni,Bruk-Bet,Obrońca,8,0,"0,000",8,0,"0,000"
Marcin Grabowski,Bruk-Bet,Obrońca,27,0,"0,000",17,0,"0,000"
Mateusz Grzybek,Bruk-Bet,Obrońca,26,2,"0,077",26,2,"0,077"
Matej Hybs,Bruk-Bet,Obrońca,13,0,"0,000",13,0,"0,000"
Bartłomiej Kukułowicz,Bruk-Bet,Obrońca,14,0,"0,000",14,0,"0,000"
Filip Modelski,Bruk-Bet,Obrońca,115,1,"0,009",7,0,"0,000"
Artem Putiwcew,Bruk-Bet,Obrońca,101,4,"0,040",101,4,"0,040"
Nemanja Tekijaski,Bruk-Bet,Obrońca,26,1,"0,038",26,1,"0,038"
Marcin Wasielewski,Bruk-Bet,Obrońca,34,1,"0,029",15,0,"0,000"
Maciej Ambrosiewicz,Bruk-Bet,Pomocnik,79,0,"0,000",10,0,"0,000"
Sebastian Bonecki,Bruk-Bet,Pomocnik,30,0,"0,000",21,0,"0,000"
Andrij Dombrowśkyj,Bruk-Bet,Pomocnik,8,0,"0,000",8,0,"0,000"
Roman Gergel,Bruk-Bet,Pomocnik,134,19,"0,142",63,3,"0,048"
Michal Hubinek,Bruk-Bet,Pomocnik,32,1,"0,031",32,1,"0,031"
Vlastimir Jovanović,Bruk-Bet,Pomocnik,236,13,"0,055",60,6,"0,100"
Dawid Kocyła,Bruk-Bet,Pomocnik,62,7,"0,113",13,0,"0,000"
Zvonimir Kozulj,Bruk-Bet,Pomocnik,52,12,"0,231",0,0,-
Jakub Pek,Bruk-Bet,Pomocnik,3,0,"0,000",3,0,"0,000"
Artem Polarus,Bruk-Bet,Pomocnik,3,0,"0,000",3,0,"0,000"
Adam Radwański,Bruk-Bet,Pomocnik,26,2,"0,077",26,2,"0,077"
Samuel Stefanik,Bruk-Bet,Pomocnik,111,13,"0,117",97,10,"0,103"
Paweł Żyra,Bruk-Bet,Pomocnik,20,0,"0,000",5,0,"0,000"
Muris Mesanović,Bruk-Bet,Napastnik,33,11,"0,333",33,11,"0,333"
Tomas Poznar,Bruk-Bet,Napastnik,11,2,"0,182",11,2,"0,182"
Kacper Śpiewak,Bruk-Bet,Napastnik,28,2,"0,071",28,2,"0,071"
Veton Tusha,Bruk-Bet,Napastnik,3,0,"0,000",3,0,"0,000"
Roland Varga,Bruk-Bet,Napastnik,4,0,"0,000",4,0,"0,000"
Lukas Hrosso,Cracovia,Bramkarz,41,0,"0,000",29,0,"0,000"
Karol Niemczycki,Cracovia,Bramkarz,41,0,"0,000",41,0,"0,000"
Adam Wilk,Cracovia,Bramkarz,11,0,"0,000",11,0,"0,000"
Virgil Ghita,Cracovia,Obrońca,10,0,"0,000",10,0,"0,000"
David Jablonsky,Cracovia,Obrońca,37,2,"0,054",37,2,"0,054"
Jakub Jugas,Cracovia,Obrońca,19,0,"0,000",19,0,"0,000"
Otar Kakabadze,Cracovia,Obrońca,19,3,"0,158",19,3,"0,158"
Kamil Pestka,Cracovia,Obrońca,78,5,"0,064",78,5,"0,064"
Cornel Rapa,Cracovia,Obrońca,186,9,"0,048",131,8,"0,061"
Luis Rocha,Cracovia,Obrońca,49,0,"0,000",23,0,"0,000"
Matej Rodin,Cracovia,Obrońca,55,2,"0,036",55,2,"0,036"
Michal Siplak,Cracovia,Obrońca,105,5,"0,048",105,5,"0,048"
Jakub Gut,Cracovia,Pomocnik,1,0,"0,000",1,0,"0,000"
Sergiu Hanca,Cracovia,Pomocnik,102,18,"0,176",102,18,"0,176"
Mathias Hebo Rasmussen,Cracovia,Pomocnik,28,2,"0,071",28,2,"0,071"
Radosław Kanach,Cracovia,Pomocnik,9,0,"0,000",9,0,"0,000"
Jewhen Konoplanka,Cracovia,Pomocnik,10,0,"0,000",10,0,"0,000"
Karol Knap,Cracovia,Pomocnik,23,0,"0,000",23,0,"0,000"
Florian Loshaj,Cracovia,Pomocnik,56,3,"0,054",56,3,"0,054"
Sylwester Lusiusz,Cracovia,Pomocnik,60,0,"0,000",60,0,"0,000"
Jakub Myszor,Cracovia,Pomocnik,27,3,"0,111",27,3,"0,111"
Kamil Ogorzały,Cracovia,Pomocnik,9,0,"0,000",9,0,"0,000"
Robert Ożóg,Cracovia,Pomocnik,1,0,"0,000",1,0,"0,000"
Daniel Pik,Cracovia,Pomocnik,20,0,"0,000",20,0,"0,000"
Michał Rakoczy,Cracovia,Pomocnik,34,4,"0,118",34,4,"0,118"
Damir Sadiković,Cracovia,Pomocnik,31,0,"0,000",31,0,"0,000"
Mateusz Supryn,Cracovia,Pomocnik,1,0,"0,000",1,0,"0,000"
Thiago,Cracovia,Pomocnik,39,2,"0,051",39,2,"0,051"
Pelle van Amersfoort,Cracovia,Pomocnik,95,22,"0,232",95,22,"0,232"
Michał Wiśniewski,Cracovia,Pomocnik,1,0,"0,000",1,0,"0,000"
Patryk Zaucha,Cracovia,Pomocnik,12,0,"0,000",12,0,"0,000"
Marcos Alvarez,Cracovia,Napastnik,31,3,"0,097",31,3,"0,097"
Filip Balaj,Cracovia,Napastnik,10,1,"0,100",10,1,"0,100"
Tomasz Bała,Cracovia,Napastnik,1,0,"0,000",1,0,"0,000"
Przemysław Kapek,Cracovia,Napastnik,2,0,"0,000",2,0,"0,000"
Rivaldinho,Cracovia,Napastnik,43,2,"0,047",43,2,"0,047"
Vinicius Ferreira,Cracovia,Napastnik,1,0,"0,000",1,0,"0,000"
Maciej Gostomski,Górnik Ł,Bramkarz,107,0,"0,000",32,0,"0,000"
Adrian Kostrzewski,Górnik Ł,Bramkarz,2,0,"0,000",2,0,"0,000"
Jonathan de Amo,Górnik Ł,Obrońca,51,3,"0,059",5,0,"0,000"
Daniel Dziwniel,Górnik Ł,Obrońca,118,2,"0,017",19,0,"0,000"
Gerson,Górnik Ł,Obrońca,69,3,"0,043",34,1,"0,029"
Michał Król,Górnik Ł,Obrońca,2,0,"0,000",2,0,"0,000"
Leandro,Górnik Ł,Obrońca,119,3,"0,025",96,2,"0,021"
Ruben Lobato,Górnik Ł,Obrońca,3,0,"0,000",3,0,"0,000"
Tomasz Midzierski,Górnik Ł,Obrońca,27,0,"0,000",18,0,"0,000"
Kamil Pajnowski,Górnik Ł,Obrońca,12,0,"0,000",12,0,"0,000"
Bartosz Rymaniak,Górnik Ł,Obrońca,305,6,"0,020",24,0,"0,000"
Kryspin Szcześniak,Górnik Ł,Obrońca,25,0,"0,000",25,0,"0,000"
Szymon Drewniak,Górnik Ł,Pomocnik,124,6,"0,048",55,5,"0,091"
Damian Gąska,Górnik Ł,Pomocnik,74,5,"0,068",27,5,"0,185"
Janusz Gol,Górnik Ł,Pomocnik,208,12,"0,058",29,4,"0,138"
Michał Goliński,Górnik Ł,Pomocnik,15,0,"0,000",15,0,"0,000"
Bartłomiej Kalinkowski,Górnik Ł,Pomocnik,32,0,"0,000",16,0,"0,000"
Serhij Krykun,Górnik Ł,Pomocnik,32,0,"0,000",32,0,"0,000"
Jason Lokilo,Górnik Ł,Pomocnik,25,2,"0,080",25,2,"0,080"
Michał Mak,Górnik Ł,Pomocnik,152,14,"0,092",24,0,"0,000"
Alex Serrano,Górnik Ł,Pomocnik,26,0,"0,000",26,0,"0,000"
Łukasz Szramowski,Górnik Ł,Pomocnik,12,0,"0,000",12,0,"0,000"
Dawid Tkacz,Górnik Ł,Pomocnik,2,0,"0,000",2,0,"0,000"
Marcel Wędrychowski,Górnik Ł,Pomocnik,20,1,"0,050",18,1,"0,056"
Przemysław Banaszak,Górnik Ł,Napastnik,28,4,"0,143",28,4,"0,143"
Michał Szałachowski,Górnik Ł,Napastnik,1,0,"0,000",1,0,"0,000"
Bartosz Śpiączka,Górnik Ł,Napastnik,153,37,"0,242",94,30,"0,319"
Daniel Bielica,Górnik Z,Bramkarz,20,0,"0,000",15,0,"0,000"
Grzegorz Sandomierski,Górnik Z,Bramkarz,210,0,"0,000",20,0,"0,000"
Paweł Sokół,Górnik Z,Bramkarz,9,0,"0,000",0,0,-
Adrian Gryszkiewicz,Górnik Z,Obrońca,81,1,"0,012",81,1,"0,012"
Rafał Janicki,Górnik Z,Obrońca,305,10,"0,033",33,2,"0,061"
Erik Janza,Górnik Z,Obrońca,96,1,"0,010",96,1,"0,010"
Jakub Szymański,Górnik Z,Obrońca,11,0,"0,000",11,0,"0,000"
