KOL,STRZELEC,DLA,PRZECIW,BRAMKARZ,T/N/O,FAULOWAŁ,FAULOWANY,SĘDZIA
1,Grzegorz Tomasiewicz,Stal Mielec,Bruk-Bet Termalica,Tomasz Loska,T,Marcin Wasielewski,ręka,Zbigniew Dobrynin
1,Patryk Lipski,Piast Gliwice,Raków Częstochowa,Vladan Kovacević,O,Wiktor Długosz,Jakub Holubek,Szymon Marciniak
1,Ivi Lopez,Raków Częstochowa,Piast Gliwice,Frantisek Plach,T,Jakub Holubek,Wiktor Długosz,Szymon Marciniak
1,Filip Starzyński,Zagłębie Lubin,Wisła Kraków,Mateusz Lis,N,Konrad Gruszkowski,Adam Ratajczyk,Piotr Lasyk
1,Yaw Yeboah,Wisła Kraków,Zagłębie Lubin,Dominik Hładun,T,Jewgienij Baszkirow,ręka,Piotr Lasyk
2,Jesus Jimenez,Górnik Zabrze,Lech Poznań,Mickey van der Hart,T,Lubomir Satka,ręka,Szymon Marciniak
2,Kamil Drygas,Pogoń Szczecin,Warta Poznań,Adrian Lis,T,Łukasz Trałka,Kacper Kozłowski,Damian Sylwestrzak
2,Robert Pich,Śląsk Wrocław,Cracovia,Lukas Hrosso,T,Matej Rodin,ręka,Tomasz Wajda
3,Łukasz Zwoliński,Lechia Gdańsk,Śląsk Wrocław,Michał Szromnik,N,Diogo Verdasca,Joseph Ceesay,Jarosław Przybył
4,Piotr Wlazło,Bruk-Bet Termalica,Lech Poznań,Mickey van der Hart,T,Mikael Ishak,Mateusz Grzybek,Tomasz Wajda
4,Ivi Lopez,Raków Częstochowa,Radomiak Radom,Filip Majchrowicz,T,Leandro,ręka,Damian Kos
5,Leandro,Radomiak Radom,Warta Poznań,Adrian Lis,O,Jan Grzesik,Raphael Rossi,Tomasz Musiał
5,Kamil Drygas,Pogoń Szczecin,Stal Mielec,Rafał Strączek,T,Maciej Jankowski,ręka,Bartosz Frankowski
5,Kamil Drygas,Pogoń Szczecin,Stal Mielec,Rafał Strączek,T,Jonathan de Amo,ręka,Bartosz Frankowski
5,Pelle van Amersfoort,Cracovia,Jagiellonia Białystok,Pavels Steinbors,T,Israel Puerto,Marcos Alvarez,Tomasz Kwiatkowski
6,Karol Angielski,Radomiak Radom,Lechia Gdańsk,Dusan Kuciak,T,Jarosław Kubicki,ręka,Tomasz Kwiatkowski
7,Marcin Cebula,Raków Częstochowa,Lech Poznań,Mickey van der Hart,T,Barry Douglas,Fran Tudor,Szymon Marciniak
7,Mikael Ishak,Lech Poznań,Raków Częstochowa,Vladan Kovacević,T,Tomas Petrasek,Jakub Kamiński,Szymon Marciniak
7,Mateusz Szwoch,Wisła Płock,Górnik Łęczna,Maciej Gostomski,T,Damian Gąska,Damian Warchoł,Tomasz Wajda
8,Mikael Ishak,Lech Poznań,Wisła Kraków,Paweł Kieszek,T,Serafin Szota,ręka,Tomasz Kwiatkowski
8,Bartosz Śpiączka,Górnik Łęczna,Legia Warszawa,Artur Boruc,T,Mateusz Wieteska,Marcel Wędrychowski,Mariusz Złotek
9,Grzegorz Tomasiewicz,Stal Mielec,Radomiak Radom,Filip Majchrowicz,T,Filip Majchrowicz,Fabian Piasecki,Piotr Lasyk
9,Mateusz Kupczak,Warta Poznań,Zagłębie Lubin,Dominik Hładun,O,Tomas Zajic,Jayson Papeau,Bartosz Frankowski
9,Ivi Lopez,Raków Częstochowa,Legia Warszawa,Cezary Miszta,T,Cezary Miszta,Sebastian Musiolik,Jarosław Przybył
9,Piotr Wlazło,Bruk-Bet Termalica,Górnik Zabrze,Grzegorz Sandomierski,T,Alasana Manneh,ręka,Łukasz Szczech
9,Piotr Wlazło,Bruk-Bet Termalica,Górnik Zabrze,Grzegorz Sandomierski,T,Lukas Podolski,Marcin Wasielewski,Łukasz Szczech
9,Robert Pich,Śląsk Wrocław,Wisła Płock,Krzysztof Kamiński,T,Anton Krywociuk,ręka,Tomasz Musiał
9,Robert Pich,Śląsk Wrocław,Wisła Płock,Krzysztof Kamiński,T,Piotr Tomasik,ręka,Tomasz Musiał
10,Fabian Piasecki,Stal Mielec,Cracovia,Lukas Hrosso,T,Matej Rodin,Mateusz Matras,Tomasz Wajda
10,Rafał Wolski,Wisła Płock,Górnik Zabrze,Grzegorz Sandomierski,T,Robert Dadok,Dominik Furman,Tomasz Musiał
10,Tomas Pekhart,Legia Warszawa,Lechia Gdańsk,Dusan Kuciak,T,Michał Nalepa II,Tomas Pekhart,Szymon Marciniak
11,Mikael Ishak,Lech Poznań,Legia Warszawa,Kacper Tobiasz,O,Filip Mladenović,Dani Ramirez,Tomasz Musiał
11,Grzegorz Tomasiewicz,Stal Mielec,Zagłębie Lubin,Dominik Hładun,T,Łukasz Poręba,Maksymilian Sitek,Sebastian Krasny
11,Fabian Piasecki,Stal Mielec,Zagłębie Lubin,Dominik Hładun,O,Aleksandar Pantić,Fabian Piasecki,Sebastian Krasny
11,Karol Angielski,Radomiak Radom,Jagiellonia Białystok,Xavier Dziekoński,T,Jesus Imaz,ręka,Jarosław Przybył
12,Ivi Lopez,Raków Częstochowa,Bruk-Bet Termalica,Tomasz Loska,O,Marcin Grabowski,Fran Tudor,Daniel Stefański
12,Jesus Imaz,Jagiellonia Białystok,Pogoń Szczecin,Dante Stipica,O,Benedikt Zech,ręka,Paweł Raczkowski
12,Erik Exposito,Śląsk Wrocław,Wisła Kraków,Mikołaj Biegański,T,Alan Uryga,Erik Exposito,Piotr Lasyk
13,Karol Angielski,Radomiak Radom,Cracovia,Lukas Hrosso,T,Damir Sadiković,Luis Machado,Szymon Marciniak
13,Piotr Wlazło,Bruk-Bet Termalica,Śląsk Wrocław,Michał Szromnik,O,Michał Szromnik,Roman Gergel,Zbigniew Dobrynin
13,Flavio Paixao,Lechia Gdańsk,Warta Poznań,Adrian Lis,T,Jacek Kiełb,Flavio Paixao,Paweł Malec
13,Damian Kądzior,Piast Gliwice,Jagiellonia Białystok,Xavier Dziekoński,T,Bartłomiej Wdowik,Arkadiusz Pyrka,Tomasz Musiał
13,Fedor Cernych,Jagiellonia Białystok,Piast Gliwice,Frantisek Plach,T,Miguel Munoz,Michał Żyro,Tomasz Musiał
13,Fran Tudor,Raków Częstochowa,Górnik Łęczna,Maciej Gostomski,N,Tomasz Midzierski,Andrzej Niewulis,Krzysztof Jakubik
14,Filip Starzyński,Zagłębie Lubin,Lechia Gdańsk,Dusan Kuciak,T,Ikay Durmus,Sasa Zivec,Bartosz Frankowski
15,Grzegorz Tomasiewicz,Stal Mielec,Lechia Gdańsk,Dusan Kuciak,T,Mateusz Żukowski,Mateusz Mak,Tomasz Kwiatkowski
15,Piotr Wlazło,Bruk-Bet Termalica,Górnik Łęczna,Maciej Gostomski,T,Tomasz Midzierski,Roman Gergel,Tomasz Wajda
15,Filip Starzyński,Zagłębie Lubin,Radomiak Radom,Filip Majchrowicz,O,Raphael Rossi,Karol Podliński,Paweł Malec
16,Roman Gergel,Bruk-Bet Termalica,Piast Gliwice,Frantisek Plach,N,Ariel Mosór,Muris Mesanović,Bartosz Frankowski
16,Karol Angielski,Radomiak Radom,Wisła Kraków,Mikołaj Biegański,T,Aschraf El Mahdioui,Karol Angielski,Damian Sylwestrzak
16,Damian Dąbrowski,Pogoń Szczecin,Lechia Gdańsk,Dusan Kuciak,T,Dusan Kuciak,Jean Carlos Silva,Piotr Lasyk
16,Marko Poletanović,Raków Częstochowa,Zagłębie Lubin,Dominik Hładun,T,Adam Ratajczyk,Wiktor Długosz,Sebastian Krasny
17,Grzegorz Tomasiewicz,Stal Mielec,Wisła Płock,Krzysztof Kamiński,T,Radosław Cielemęcki,Marcin Flis,Damian Sylwestrzak
17,Piotr Wlazło,Bruk-Bet Termalica,Pogoń Szczecin,Dante Stipica,T,Kacper Kozłowski,Nemanja Tekijaski,Łukasz Kuźma
17,Sebastian Kowalczyk,Pogoń Szczecin,Bruk-Bet Termalica,Tomasz Loska,T,Wiktor Biedrzycki,ręka,Łukasz Kuźma
18,Piotr Wlazło,Bruk-Bet Termalica,Stal Mielec,Rafał Strączek,O,Krystian Getinger,ręka,Sebastian Jarzębak
18,Muris Mesanović,Bruk-Bet Termalica,Stal Mielec,Rafał Strączek,O,Bożidar Czorbadżijski,Marcin Wasielewski,Sebastian Jarzębak
18,Karol Angielski,Radomiak Radom,Lech Poznań,Filip Bednarek,T,Jesper Karlstrom,ręka,Jarosław Przybył
18,Mikael Ishak,Lech Poznań,Radomiak Radom,Filip Majchrowicz,T,Damian Jakubik,ręka,Jarosław Przybył
18,Flavio Paixao,Lechia Gdańsk,Jagiellonia Białystok,Pavels Steinbors,T,Taras Romanczuk,Flavio Paixao,Paweł Raczkowski
18,Sebastian Kowalczyk,Pogoń Szczecin,Górnik Zabrze,Grzegorz Sandomierski,T,Grzegorz Sandomierski,Jean Carlos Silva,Tomasz Musiał
19,Przemysław Banaszak,Górnik Łęczna,Zagłębie Lubin,Dominik Hładun,T,Kacper Lepczyński,ręka,Sebastian Krasny
19,Karol Angielski,Radomiak Radom,Legia Warszawa,Artur Boruc,T,Bartłomiej Ciepiela,Filipe Nascimento,Krzysztof Jakubik
