ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,G - xG NON-PEN,KP,AST,xAST,KP-xAST
Ivi Lopez,Raków Częstochowa,123,20,"12,785","0,104","7,215","6,785","0,059","7,215",67,6,"7,185","-1,185"
Łukasz Sekulski,Wisła Płock,41,13,"6,437","0,157","6,563","6,437","0,157","6,563",21,3,"1,803","1,197"
Erik Exposito,Śląsk Wrocław,67,11,"5,088","0,076","5,912","4,338","0,066","5,662",23,2,"2,466","-0,466"
Joao Amaral,Lech Poznań,82,14,"8,436","0,103","5,564","8,436","0,103","5,564",53,8,"6,347","1,653"
Bartosz Śpiączka,Górnik Łęczna,58,11,"5,518","0,095","5,482","4,768","0,084","5,232",18,0,"1,762","-1,762"
Kamil Grosicki,Pogoń Szczecin,52,9,"3,975","0,076","5,025","3,975","0,076","5,025",50,6,"7,483","-1,483"
Tomas Prikryl,Jagiellonia,32,6,"1,908","0,060","4,092","1,908","0,060","4,092",30,3,"3,773","-0,773"
Luka Zahović,Pogoń Szczecin,39,11,"7,018","0,180","3,982","7,018","0,180","3,982",12,4,"1,133","2,867"
Adrian Łyszczarz,Śląsk Wrocław,11,5,"1,066","0,097","3,934","1,066","0,097","3,934",2,0,"0,062","-0,062"
Patryk Szysz,Zagłębie Lubin,60,11,"6,697","0,112","4,303","4,447","0,078","3,553",43,6,"4,832","1,168"
Paweł Wszołek,Legia Warszawa,18,6,"2,746","0,153","3,254","2,746","0,153","3,254",22,3,"3,446","-0,446"
Krzysztof Kubica,Górnik Zabrze,46,9,"5,929","0,129","3,071","5,929","0,129","3,071",17,3,"1,150","1,850"
Kamil Pestka,Cracovia,24,4,"1,299","0,054","2,701","1,299","0,054","2,701",16,3,"1,307","1,693"
Mateusz Mak,Stal Mielec,32,7,"4,318","0,135","2,682","4,318","0,135","2,682",17,3,"1,693","1,307"
Filip Starzyński,Zagłębie Lubin,38,6,"4,603","0,121","1,397","2,353","0,067","2,647",45,2,"3,229","-1,229"
Damian Warchoł,Wisła Płock,26,6,"3,458","0,133","2,542","3,458","0,133","2,542",10,2,"1,990","0,010"
Karol Angielski,Radomiak Radom,66,18,"13,968","0,212","4,032","6,468","0,115","2,532",25,1,"2,199","-1,199"
Jakub Kamiński,Lech Poznań,80,9,"6,518","0,081","2,482","6,518","0,081","2,482",58,7,"5,605","1,395"
Lukas Podolski,Górnik Zabrze,80,9,"6,603","0,083","2,397","6,603","0,083","2,397",41,4,"6,066","-2,066"
Adam Zrelak,Warta Poznań,37,9,"7,494","0,203","1,506","6,744","0,187","2,256",27,2,"2,942","-0,942"
Michał Chrapek,Piast Gliwice,38,4,"1,772","0,047","2,228","1,772","0,047","2,228",30,2,"2,335","-0,335"
Bartosz Nowak,Górnik Zabrze,74,8,"5,814","0,079","2,186","5,814","0,079","2,186",72,6,"6,703","-0,703"
Vladislavs Gutkovskis,Raków Częstochowa,56,10,"7,829","0,140","2,171","7,829","0,140","2,171",11,3,"2,067","0,933"
Mikael Ishak,Lech Poznań,99,18,"15,604","0,158","2,396","11,854","0,126","2,146",34,6,"4,061","1,939"
Janusz Gol,Górnik Łęczna,21,4,"1,889","0,090","2,111","1,889","0,090","2,111",27,2,"1,695","0,305"
Patryk Sokołowski,Piast/Legia,47,7,"4,904","0,104","2,096","4,904","0,104","2,096",15,0,"0,887","-0,887"
Miguel Luis,Raków/Warta,20,3,"0,927","0,046","2,073","0,927","0,046","2,073",9,1,"0,865","0,135"
Marco Terrazzino,Lechia Gdańsk,23,4,"1,950","0,085","2,050","1,950","0,085","2,050",20,1,"1,447","-0,447"
Pelle van Amersfoort,Cracovia,50,8,"5,750","0,115","2,250","5,000","0,102","2,000",28,1,"3,543","-2,543"
Flavio Paixao,Lechia Gdańsk,47,10,"7,251","0,154","2,749","5,001","0,114","1,999",27,6,"3,007","2,993"
Mateusz Wdowiak,Raków Częstochowa,45,7,"5,011","0,111","1,989","5,011","0,111","1,989",38,2,"3,724","-1,724"
Michal Frydrych,Wisła Kraków,33,4,"2,023","0,061","1,977","2,023","0,061","1,977",10,1,"1,275","-0,275"
Yaw Yeboah,Wisła Kraków,42,5,"2,851","0,068","2,149","2,101","0,051","1,899",21,1,"1,277","-0,277"
Ernest Muci,Legia Warszawa,32,4,"2,111","0,066","1,889","2,111","0,066","1,889",7,0,"0,717","-0,717"
Piotr Wlazło,Bruk-Bet,42,9,"7,872","0,187","1,128","1,122","0,034","1,878",26,1,"2,486","-1,486"
Damian Rasak,Wisła Płock,23,3,"1,151","0,050","1,849","1,151","0,050","1,849",11,2,"1,034","0,966"
Marc Gual,Jagiellonia,24,3,"1,233","0,051","1,767","1,233","0,051","1,767",5,0,"0,423","-0,423"
Łukasz Zwoliński,Lechia Gdańsk,77,14,"12,997","0,169","1,003","12,247","0,161","1,753",22,0,"1,273","-1,273"
Mateusz Praszelik,Śląsk Wrocław,37,4,"2,253","0,061","1,747","2,253","0,061","1,747",11,3,"1,463","1,537"
Rafael Lopes,Legia Warszawa,25,5,"3,285","0,131","1,715","3,285","0,131","1,715",12,2,"1,451","0,549"
Damian Gąska,Radomiak Radom,37,5,"3,314","0,090","1,686","3,314","0,090","1,686",32,4,"2,882","1,118"
Otar Kakabadze,Cracovia,28,3,"1,319","0,047","1,681","1,319","0,047","1,681",19,2,"1,441","0,559"
Stefan Savić,Wisła Kraków,19,3,"1,361","0,072","1,639","1,361","0,072","1,639",23,4,"1,852","2,148"
Alberto Toril,Piast Gliwice,42,6,"4,362","0,104","1,638","4,362","0,104","1,638",11,1,"1,243","-0,243"
Jesus Imaz,Jagiellonia,44,9,"7,886","0,179","1,114","6,386","0,152","1,614",27,2,"1,744","0,256"
Martin Dolezal,Zagłębie Lubin,15,4,"2,417","0,161","1,583","2,417","0,161","1,583",5,1,"0,445","0,555"
Mateusz Szwoch,Wisła Płock,42,5,"3,076","0,073","1,924","1,576","0,039","1,424",39,4,"2,101","1,899"
Damian Kądzior,Piast Gliwice,62,6,"5,119","0,083","0,881","3,619","0,060","1,381",53,8,"5,298","2,702"
Mateusz Żukowski,Lechia Gdańsk,7,2,"0,637","0,091","1,363","0,637","0,091","1,363",12,1,"1,528","-0,528"
Fabian Piasecki,Śląsk/Stal,52,7,"5,904","0,114","1,096","3,654","0,075","1,346",27,5,"3,352","1,648"
Kacper Kozłowski,Pogoń Szczecin,18,3,"1,667","0,093","1,333","1,667","0,093","1,333",9,2,"2,184","-0,184"
Piotr Tomasik,Wisła Płock,14,2,"0,690","0,049","1,310","0,690","0,049","1,310",27,4,"2,895","1,105"
Martin Konczkowski,Piast Gliwice,12,2,"0,705","0,059","1,295","0,705","0,059","1,295",26,4,"2,483","1,517"
Oskar Zawada,Stal Mielec,16,3,"1,710","0,107","1,290","1,710","0,107","1,290",3,0,"0,179","-0,179"
Israel Puerto,Jagiellonia,11,3,"1,747","0,159","1,253","1,747","0,159","1,253",7,0,"0,351","-0,351"
Alasana Manneh,Górnik Zabrze,26,2,"0,774","0,030","1,226","0,774","0,030","1,226",18,2,"1,265","0,735"
Jan Grzesik,Warta Poznań,16,3,"1,822","0,114","1,178","1,822","0,114","1,178",27,1,"2,311","-1,311"
Sergiu Hanca,Cracovia,34,4,"3,576","0,105","0,424","2,826","0,086","1,174",57,5,"4,313","0,687"
Michał Rakoczy,Cracovia,28,3,"1,838","0,066","1,162","1,838","0,066","1,162",9,0,"0,586","-0,586"
Higinio Marin,Górnik Zabrze,8,3,"1,884","0,236","1,116","1,884","0,236","1,116",1,0,"0,038","-0,038"
Antonio Milić,Lech Poznań,18,4,"2,893","0,161","1,107","2,893","0,161","1,107",6,2,"0,920","1,080"
Dawid Abramowicz,Radomiak Radom,39,4,"2,908","0,075","1,092","2,908","0,075","1,092",34,4,"4,578","-0,578"
Ilkay Durmus,Lechia Gdańsk,74,6,"4,945","0,067","1,055","4,945","0,067","1,055",47,3,"4,803","-1,803"
Miłosz Szczepański,Lechia/Warta,12,2,"0,979","0,082","1,021","0,979","0,082","1,021",8,1,"0,521","0,479"
Nika Kwekweskiri,Lech Poznań,20,2,"0,982","0,049","1,018","0,982","0,049","1,018",22,1,"2,030","-1,030"
Marcin Cebula,Raków Częstochowa,11,3,"1,814","0,165","1,186","1,064","0,106","0,936",10,1,"1,016","-0,016"
Arkadiusz Pyrka,Piast Gliwice,9,2,"1,067","0,119","0,933","1,067","0,119","0,933",11,2,"1,350","0,650"
Anton Krywociuk,Wisła Płock,10,2,"1,095","0,109","0,905","1,095","0,109","0,905",2,1,"0,864","0,136"
Jarosław Kubicki,Lechia Gdańsk,19,2,"1,099","0,058","0,901","1,099","0,058","0,901",11,1,"1,179","-0,179"
Adrian Lis,Warta Poznań,1,1,"0,105","0,105","0,895","0,105","0,105","0,895",0,0,"0,000","0,000"
Sebastian Musiolik,Raków Częstochowa,15,3,"2,149","0,143","0,851","2,149","0,143","0,851",5,0,"0,631","-0,631"
Dani Pacheco,Górnik Zabrze,4,1,"0,151","0,038","0,849","0,151","0,038","0,849",5,0,"0,143","-0,143"
Barry Douglas,Lech Poznań,6,1,"0,182","0,030","0,818","0,182","0,030","0,818",14,2,"0,825","1,175"
Andrzej Niewulis,Raków Częstochowa,11,2,"1,194","0,109","0,806","1,194","0,109","0,806",3,1,"0,596","0,404"
Mateusz Wieteska,Legia Warszawa,32,4,"3,205","0,100","0,795","3,205","0,100","0,795",10,2,"1,126","0,874"
Wahan Biczachczjan,Pogoń Szczecin,25,2,"1,213","0,049","0,787","1,213","0,049","0,787",8,1,"0,963","0,037"
Jason Lokilo,Górnik Łęczna,22,2,"1,214","0,055","0,786","1,214","0,055","0,786",24,5,"2,949","2,051"
Mateusz Łęgowski,Pogoń Szczecin,5,1,"0,220","0,044","0,780","0,220","0,044","0,780",5,1,"0,249","0,751"
Jakub Czerwiński,Piast Gliwice,17,3,"2,230","0,131","0,770","2,230","0,131","0,770",2,1,"0,252","0,748"
Aleksandyr Kolew,Stal Mielec,5,1,"0,240","0,048","0,760","0,240","0,048","0,760",3,0,"0,100","-0,100"
Aleksander Pawlak,Wisła Płock,3,1,"0,243","0,081","0,757","0,243","0,081","0,757",3,0,"0,281","-0,281"
Mateusz Hołownia,Legia Warszawa,4,1,"0,261","0,065","0,739","0,261","0,065","0,739",5,1,"0,371","0,629"
Leandro Rossi,Radomiak Radom,56,4,"4,013","0,072","-0,013","3,263","0,059","0,737",44,2,"3,895","-1,895"
Ihor Charatin,Legia Warszawa,6,1,"0,275","0,046","0,725","0,275","0,046","0,725",7,0,"0,418","-0,418"
Jakub Myszor,Cracovia,24,3,"2,284","0,095","0,716","2,284","0,095","0,716",22,2,"1,175","0,825"
Dennis Jastrzembski,Śląsk Wrocław,6,1,"0,301","0,050","0,699","0,301","0,050","0,699",13,1,"1,175","-0,175"
Artur Bogusz,Radomiak Radom,2,1,"0,303","0,151","0,697","0,303","0,151","0,697",1,0,"0,134","-0,134"
Tomas Pekhart,Legia Warszawa,44,9,"8,059","0,183","0,941","7,309","0,170","0,691",15,1,"1,008","-0,008"
Sebastian Ring,Wisła Kraków,3,1,"0,314","0,105","0,686","0,314","0,105","0,686",5,0,"0,125","-0,125"
Aschraf El Mahdioui,Wisła Kraków,15,1,"0,317","0,021","0,683","0,317","0,021","0,683",22,0,"1,577","-1,577"
Kamil Kruk,Zagłębie Lubin,7,1,"0,327","0,047","0,673","0,327","0,047","0,673",1,0,"0,027","-0,027"
Miłosz Matysik,Jagiellonia,4,1,"0,333","0,083","0,667","0,333","0,083","0,667",6,1,"0,254","0,746"
Rafał Makowski,Śląsk Wrocław,8,1,"0,339","0,042","0,661","0,339","0,042","0,661",6,2,"0,458","1,542"
Maciej Żurawski,Pogoń Szczecin,21,3,"2,340","0,111","0,660","2,340","0,111","0,660",5,0,"0,740","-0,740"
Bartosz Bida,Jagiellonia,18,3,"2,351","0,131","0,649","2,351","0,131","0,649",7,1,"0,610","0,390"
Muris Mesanović,Bruk-Bet,61,11,"10,867","0,178","0,133","9,367","0,159","0,633",20,1,"1,161","-0,161"
Filip Piszczek,Cracovia/Jagiellonia,10,2,"1,373","0,137","0,627","1,373","0,137","0,627",5,0,"0,321","-0,321"
Milan Corryn,Warta Poznań,19,2,"1,378","0,073","0,622","1,378","0,073","0,622",13,1,"1,040","-0,040"
