KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Bruk-Bet,"1,76","1,00",49%,"14,88","6,18","5,24","3,47","41,50%","11,46%","6,00","2,47","2,29","14,76","2,41","0,24",BBT
Cracovia,"1,35","0,94",54%,"12,29","3,18","5,65","3,47","25,84%","11,00%","4,76","1,76","2,82","14,59","3,00","0,00",CRA
Górnik Łęczna,"1,94","0,82",54%,"14,76","5,76","5,65","3,35","39,04%","12,35%","6,65","1,41","2,00","14,00","1,65","0,18",GKŁ
Górnik Zabrze,"2,00","1,71",50%,"11,88","4,76","3,94","3,18","40,10%","15,84%","6,24","1,35","2,35","11,88","1,65","0,00",GÓR
Jagiellonia,"1,76","0,94",54%,"12,71","4,65","5,29","2,76","36,57%","13,89%","5,94","1,88","3,00","12,53","1,35","0,00",JAG
Lech Poznań,"1,00","1,59",44%,"8,00","2,59","3,53","1,88","32,35%","12,50%","3,41","1,00","4,24","11,12","2,59","0,06",LPO
Lechia Gdańsk,"1,65","1,29",46%,"14,47","5,35","5,24","3,88","36,99%","11,38%","6,24","3,06","2,94","13,53","2,06","0,18",LGD
Legia Warszawa,"1,59","1,00",47%,"13,12","4,82","4,59","3,71","36,77%","12,11%","4,88","1,47","2,71","16,88","2,24","0,18",LEG
Piast Gliwice,"0,88","1,29",54%,"13,00","3,76","6,06","3,18","28,96%","6,33%","6,24","1,88","2,06","14,82","1,71","0,06",PIA
Pogoń Szczecin,"0,71","1,29",45%,"10,76","3,35","4,24","3,18","31,15%","6,01%","4,24","1,71","3,47","13,47","2,76","0,18",POG
Radomiak Radom,"1,06","0,94",53%,"14,18","4,94","5,82","3,41","34,85%","7,47%","6,35","1,82","2,82","13,82","1,71","0,06",RAD
Raków Częstochowa,"1,00","1,47",53%,"12,29","3,76","5,65","2,88","30,62%","8,13%","3,76","1,12","3,76","16,59","2,65","0,06",RCZ
Stal Mielec,"1,82","1,06",56%,"15,24","4,76","6,00","4,47","31,27%","11,20%","6,00","3,06","2,29","15,82","2,00","0,06",STM
Śląsk Wrocław,"1,59","1,41",53%,"14,29","5,35","5,59","3,35","37,45%","10,29%","6,47","1,82","3,18","13,82","2,53","0,06",ŚLĄ
Warta Poznań,"0,94","1,12",57%,"11,59","3,47","5,18","2,94","29,95%","8,12%","4,59","1,12","2,18","14,18","1,76","0,12",WAR
Wisła Kraków,"1,94","0,94",49%,"15,00","5,94","5,24","3,82","39,61%","11,76%","5,06","1,88","2,71","12,35","1,94","0,00",WIS
Wisła Płock,"2,18","1,24",49%,"16,12","6,00","6,06","4,06","37,23%","12,41%","5,24","1,47","2,29","14,41","2,06","0,00",WPŁ
Zagłębie Lubin,"1,82","1,06",54%,"15,35","6,12","5,59","3,65","39,85%","11,49%","6,53","1,18","2,29","12,35","1,94","0,00",ZAG
