KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Bruk-Bet,"1,65","1,06",48%,"13,41","5,32","4,97","3,12","39,69%","11,84%","6,12","2,35","2,56","14,97","2,32","0,21",BBT
Cracovia,"1,24","1,18",52%,"11,88","3,65","5,12","3,12","30,69%","10,40%","4,62","1,35","2,94","14,24","2,88","0,06",CRA
Górnik Łęczna,"1,76","0,85",54%,"15,79","5,59","6,12","4,09","35,38%","10,80%","6,68","1,85","2,21","13,59","1,91","0,09",GKŁ
Górnik Zabrze,"1,62","1,62",49%,"11,15","4,24","3,97","2,94","37,99%","13,98%","5,68","2,00","3,32","12,35","1,97","0,03",GÓR
Jagiellonia,"1,47","1,15",52%,"11,94","3,85","4,79","3,29","32,27%","11,82%","5,62","1,76","3,00","12,59","1,71","0,06",JAG
Lech Poznań,"0,71","1,97",44%,"7,62","2,24","3,41","1,97","29,34%","9,27%","3,82","1,29","4,44","11,15","2,35","0,06",LPO
Lechia Gdańsk,"1,15","1,53",46%,"13,26","4,71","5,15","3,41","35,48%","8,65%","5,97","2,91","3,24","12,50","2,09","0,15",LGD
Legia Warszawa,"1,41","1,35",45%,"11,65","4,21","4,56","2,88","36,11%","11,87%","4,53","1,50","3,15","15,74","1,97","0,12",LEG
Piast Gliwice,"1,09","1,32",53%,"11,88","3,74","5,29","2,85","31,44%","8,91%","5,94","1,68","2,26","15,03","2,03","0,06",PIA
Pogoń Szczecin,"0,91","1,85",45%,"9,29","3,15","3,47","2,68","33,86%","8,86%","4,18","1,68","3,65","13,03","2,32","0,15",POG
Radomiak Radom,"1,18","1,24",51%,"12,59","3,97","5,38","3,24","31,54%","9,35%","5,38","1,38","3,03","15,06","2,00","0,12",RAD
Raków Częstochowa,"0,88","1,76",50%,"10,76","3,47","4,62","2,68","32,24%","8,20%","3,74","1,06","3,91","16,18","2,62","0,06",RCZ
Stal Mielec,"1,53","1,15",55%,"15,24","4,85","5,97","4,41","31,85%","9,27%","6,15","2,91","2,53","16,91","2,82","0,18",STM
Śląsk Wrocław,"1,53","1,24",52%,"12,56","4,91","4,79","2,85","39,11%","11,24%","5,44","1,85","3,06","13,32","2,32","0,03",ŚLĄ
Warta Poznań,"1,12","1,03",56%,"11,68","3,56","5,00","3,12","30,48%","8,82%","4,53","1,32","2,41","13,41","1,74","0,09",WAR
Wisła Kraków,"1,59","1,09",47%,"13,82","5,35","4,82","3,65","38,72%","10,85%","5,06","1,79","3,00","12,00","1,97","0,03",WIS
Wisła Płock,"1,50","1,41",51%,"14,97","5,18","5,91","3,88","34,58%","9,43%","5,53","1,44","2,68","14,88","2,35","0,00",WPŁ
Zagłębie Lubin,"1,74","1,26",51%,"13,59","5,24","4,82","3,53","38,53%","12,12%","5,68","1,44","2,74","11,76","1,97","0,09",ZAG
