ZAWODNIK,KLUB,GOLE,G KARNY,G ROŻNY,G WOLNY,G WOLNY BEZP,G AUT,AS SFG,PO SFG,Z GRY,%GOLI PO SFG
Davo,Wisła Płock,7,1,0,0,0,1,0,2,5,"28,6%"
Jesus Imaz,Jagiellonia,6,0,2,0,0,0,1,2,4,"33,3%"
Angelo Henriquez,Miedź Legnica,5,2,0,0,0,0,0,2,3,"40,0%"
Bartosz Nowak,Górnik/Raków,5,0,0,0,0,0,1,0,5,"0,0%"
Marc Gual,Jagiellonia,5,1,1,1,0,0,1,3,2,"60,0%"
Rafał Wolski,Wisła Płock,5,1,0,0,0,0,1,1,4,"20,0%"
Adam Zrelak,Warta Poznań,4,0,0,0,0,0,0,0,4,"0,0%"
Bartłomiej Pawłowski,Widzew Łódź,4,1,0,0,1,0,0,2,2,"50,0%"
Fabian Piasecki,Raków Częstochowa,4,0,0,0,0,0,0,0,4,"0,0%"
Flavio Paixao,Lechia Gdańsk,4,2,0,0,0,0,0,2,2,"50,0%"
Jakub Łukowski,Korona Kielce,4,0,0,0,0,0,0,0,4,"0,0%"
Maciej Domański,Stal Mielec,4,1,0,0,1,0,1,2,2,"50,0%"
Michał Rakoczy,Cracovia,4,0,0,0,0,0,0,0,4,"0,0%"
Bartosz Śpiączka,Korona Kielce,4,1,0,0,0,1,0,2,2,"50,0%"
Kamil Wilczek,Piast Gliwice,4,0,1,1,0,0,0,2,2,"50,0%"
Filip Mladenović,Legia Warszawa,3,0,1,0,0,0,0,1,2,"33,3%"
Ivi Lopez,Raków Częstochowa,3,2,0,0,0,0,1,2,1,"66,7%"
Jordi Sanchez,Widzew Łódź,3,0,0,0,0,0,0,0,3,"0,0%"
Kamil Grosicki,Pogoń Szczecin,3,0,1,0,0,0,0,1,2,"33,3%"
Michał Skóraś,Lech Poznań,3,0,0,0,0,0,0,0,3,"0,0%"
Paweł Wszołek,Legia Warszawa,3,1,0,0,0,0,0,1,2,"33,3%"
Said Hamulic,Stal Mielec,3,0,1,0,0,0,1,1,2,"33,3%"
Mikael Ishak,Lech Poznań,3,1,0,0,0,0,0,1,2,"33,3%"
Benjamin Kallman,Cracovia,2,0,0,0,0,0,0,0,2,"0,0%"
Damian Dąbrowski,Pogoń Szczecin,2,0,1,0,1,0,0,2,0,"100,0%"
Dawid Abramowicz,Radomiak Radom,2,0,1,0,0,0,1,1,1,"50,0%"
Dominik Kun,Widzew Łódź,2,0,0,0,0,0,0,0,2,"0,0%"
Erik Exposito,Śląsk Wrocław,2,1,0,0,0,0,0,1,1,"50,0%"
Erik Janza,Górnik Zabrze,2,0,0,0,0,1,2,1,1,"50,0%"
Ernest Muci,Legia Warszawa,2,0,0,0,0,0,1,0,2,"0,0%"
Kristian Vallo,Wisła Płock,2,0,0,0,0,0,0,0,2,"0,0%"
Luka Zahović,Pogoń Szczecin,2,0,1,0,0,0,0,1,1,"50,0%"
Maciej Gajos,Lechia Gdańsk,2,0,0,0,0,0,0,0,2,"0,0%"
Marko Kolar,Wisła Płock,2,0,0,0,0,0,0,0,2,"0,0%"
Mateusz Wdowiak,Raków Częstochowa,2,0,0,0,0,0,0,0,2,"0,0%"
Patryk Makuch,Cracovia,2,1,0,0,0,0,0,1,1,"50,0%"
Piotr Wlazło,Stal Mielec,2,0,0,1,0,1,0,2,0,"100,0%"
Pontus Almqvist,Pogoń Szczecin,2,0,0,0,0,0,0,0,2,"0,0%"
Roberto Alves,Radomiak Radom,2,0,0,0,0,0,1,0,2,"0,0%"
Szymon Włodarczyk,Górnik Zabrze,2,0,0,0,0,0,0,0,2,"0,0%"
Wahan Biczachczjan,Pogoń Szczecin,2,0,0,0,0,0,0,0,2,"0,0%"
Maurides,Radomiak Radom,2,0,0,0,0,0,0,0,2,"0,0%"
Filipe Nascimento,Radomiak Radom,2,2,0,0,0,0,0,2,0,"100,0%"
Aleksander Paluszek,Górnik Zabrze,2,0,1,1,0,0,1,2,0,"100,0%"
Patryk Lipski,Widzew Łódź,2,0,1,0,0,0,0,1,1,"50,0%"
Damian Kądzior,Piast Gliwice,2,0,0,0,0,0,5,0,2,"0,0%"
Nene,Jagiellonia,2,0,0,0,0,0,0,0,2,"0,0%"
Piotr Krawczyk,Górnik Zabrze,2,1,0,0,0,0,0,1,1,"50,0%"
Dawid Błanik,Korona Kielce,2,0,0,0,0,0,0,0,2,"0,0%"
Luciano Narsingh,Miedź Legnica,2,0,0,0,0,0,0,0,2,"0,0%"
Afonso Sousa,Lech Poznań,2,0,0,0,0,0,0,0,2,"0,0%"
Constantin Reiner,Piast Gliwice,2,0,1,1,0,0,0,2,0,"100,0%"
Martin Dolezal,Zagłębie Lubin,2,0,0,0,0,0,0,0,2,"0,0%"
Kanji Okunuki,Górnik Zabrze,2,0,0,0,0,0,0,0,2,"0,0%"
Aleksander Pawlak,Wisła Płock,1,0,1,0,0,0,0,1,0,"100,0%"
