ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Ivi Lopez,Raków Częstochowa,123,61,"49,6%",20,70,30,"42,9%",3,"4,3%"
Bartosz Nowak,Górnik Zabrze,74,28,"37,8%",8,38,16,"42,1%",1,"2,6%"
Lukas Podolski,Górnik Zabrze,80,35,"43,8%",9,38,15,"39,5%",4,"10,5%"
Ilkay Durmus,Lechia Gdańsk,74,21,"28,4%",6,36,11,"30,6%",3,"8,3%"
Erik Exposito,Śląsk Wrocław,67,26,"38,8%",11,36,10,"27,8%",4,"11,1%"
Josue,Legia Warszawa,49,14,"28,6%",2,41,10,"24,4%",1,"2,4%"
Pelle van Amersfoort,Cracovia,50,23,"46,0%",8,22,9,"40,9%",1,"4,5%"
Erik Daniel,Zagłębie Lubin,60,21,"35,0%",3,35,9,"25,7%",1,"2,9%"
Ernest Muci,Legia Warszawa,32,15,"46,9%",4,16,9,"56,3%",1,"6,3%"
Krystian Getinger,Stal Mielec,42,14,"33,3%",2,29,9,"31,0%",2,"6,9%"
Mathias Hebo Rasmussen,Cracovia,36,11,"30,6%",2,28,9,"32,1%",1,"3,6%"
Fabian Piasecki,Śląsk/Stal,52,24,"46,2%",7,21,8,"38,1%",1,"4,8%"
Taras Romanczuk,Jagiellonia,44,18,"40,9%",3,21,8,"38,1%",1,"4,8%"
Mateusz Praszelik,Śląsk Wrocław,37,15,"40,5%",4,21,8,"38,1%",1,"4,8%"
Michał Chrapek,Piast Gliwice,38,13,"34,2%",4,23,8,"34,8%",1,"4,3%"
Łukasz Łakomy,Zagłębie Lubin,33,12,"36,4%",1,26,8,"30,8%",0,"0,0%"
Mikael Ishak,Lech Poznań,99,40,"40,4%",18,22,7,"31,8%",1,"4,5%"
Joao Amaral,Lech Poznań,82,32,"39,0%",14,37,7,"18,9%",1,"2,7%"
Piotr Wlazło,Bruk-Bet,42,17,"40,5%",9,26,7,"26,9%",2,"7,7%"
Filip Starzyński,Zagłębie Lubin,38,16,"42,1%",6,20,7,"35,0%",2,"10,0%"
Luis Machado,Radomiak Radom,45,16,"35,6%",2,22,7,"31,8%",0,"0,0%"
Rafał Kurzawa,Pogoń Szczecin,25,11,"44,0%",1,9,7,"77,8%",0,"0,0%"
Jason Lokilo,Górnik Łęczna,22,8,"36,4%",2,17,7,"41,2%",1,"5,9%"
Karol Angielski,Radomiak Radom,66,35,"53,0%",18,16,6,"37,5%",0,"0,0%"
Robert Pich,Śląsk Wrocław,71,31,"43,7%",6,24,6,"25,0%",0,"0,0%"
Patryk Szysz,Zagłębie Lubin,60,19,"31,7%",11,30,6,"20,0%",4,"13,3%"
Rivaldinho,Cracovia,30,13,"43,3%",1,11,6,"54,5%",0,"0,0%"
Mateusz Szwoch,Wisła Płock,42,13,"31,0%",5,27,6,"22,2%",0,"0,0%"
Maciej Gajos,Lechia Gdańsk,46,13,"28,3%",4,29,6,"20,7%",2,"6,9%"
Adriel Ba Loua,Lech Poznań,36,12,"33,3%",1,18,6,"33,3%",0,"0,0%"
Kacper Chodyna,Zagłębie Lubin,41,10,"24,4%",4,24,6,"25,0%",1,"4,2%"
Bartłomiej Wdowik,Jagiellonia,17,8,"47,1%",0,11,6,"54,5%",0,"0,0%"
Aschraf El Mahdioui,Wisła Kraków,15,7,"46,7%",1,14,6,"42,9%",1,"7,1%"
Walerian Gwilia,Raków Częstochowa,21,7,"33,3%",0,13,6,"46,2%",0,"0,0%"
Jakub Kamiński,Lech Poznań,80,33,"41,3%",9,30,5,"16,7%",0,"0,0%"
Muris Mesanović,Bruk-Bet,61,27,"44,3%",11,11,5,"45,5%",1,"9,1%"
Vladislavs Gutkovskis,Raków Częstochowa,56,22,"39,3%",10,10,5,"50,0%",2,"20,0%"
Grzegorz Tomasiewicz,Stal Mielec,53,20,"37,7%",8,27,5,"18,5%",0,"0,0%"
Yaw Yeboah,Wisła Kraków,42,17,"40,5%",5,23,5,"21,7%",0,"0,0%"
Damian Kądzior,Piast Gliwice,62,17,"27,4%",6,27,5,"18,5%",0,"0,0%"
Krzysztof Kubica,Górnik Zabrze,46,16,"34,8%",9,17,5,"29,4%",0,"0,0%"
Maurides,Radomiak Radom,52,16,"30,8%",5,22,5,"22,7%",0,"0,0%"
Leandro Rossi,Radomiak Radom,56,14,"25,0%",4,28,5,"17,9%",1,"3,6%"
Dawid Abramowicz,Radomiak Radom,39,13,"33,3%",4,12,5,"41,7%",0,"0,0%"
Ben Lederman,Raków Częstochowa,27,11,"40,7%",1,12,5,"41,7%",0,"0,0%"
Miguel Luis,Raków/Warta,20,9,"45,0%",3,10,5,"50,0%",0,"0,0%"
Damian Rasak,Wisła Płock,23,8,"34,8%",3,15,5,"33,3%",2,"13,3%"
Nika Kwekweskiri,Lech Poznań,20,6,"30,0%",2,16,5,"31,3%",2,"12,5%"
Bartosz Slisz,Legia Warszawa,28,6,"21,4%",1,24,5,"20,8%",1,"4,2%"
Flavio Paixao,Lechia Gdańsk,47,20,"42,6%",10,15,4,"26,7%",0,"0,0%"
Kamil Grosicki,Pogoń Szczecin,52,19,"36,5%",9,21,4,"19,0%",1,"4,8%"
Sebastian Kowalczyk,Pogoń Szczecin,51,18,"35,3%",6,18,4,"22,2%",0,"0,0%"
Michał Kucharczyk,Pogoń Szczecin,46,17,"37,0%",5,16,4,"25,0%",0,"0,0%"
Rafał Wolski,Wisła Płock,45,16,"35,6%",4,19,4,"21,1%",0,"0,0%"
Damian Gąska,Radomiak Radom,37,14,"37,8%",5,20,4,"20,0%",1,"5,0%"
Adam Radwański,Bruk-Bet,32,12,"37,5%",2,13,4,"30,8%",0,"0,0%"
Kristian Vallo,Wisła Płock,20,11,"55,0%",1,10,4,"40,0%",0,"0,0%"
Robert Dadok,Górnik Zabrze,26,11,"42,3%",3,13,4,"30,8%",0,"0,0%"
Pedro Tiba,Lech Poznań,32,11,"34,4%",2,16,4,"25,0%",1,"6,3%"
Łukasz Poręba,Zagłębie Lubin,31,10,"32,3%",1,23,4,"17,4%",0,"0,0%"
Michal Skvarka,Wisła Kraków,38,10,"26,3%",2,19,4,"21,1%",0,"0,0%"
Maciej Żurawski,Pogoń Szczecin,21,9,"42,9%",3,7,4,"57,1%",0,"0,0%"
Stefan Savić,Wisła Kraków,19,8,"42,1%",3,9,4,"44,4%",1,"11,1%"
Koki Hinokio,Stal/Zagłębie,16,7,"43,8%",1,9,4,"44,4%",0,"0,0%"
Damian Dąbrowski,Pogoń Szczecin,14,6,"42,9%",1,10,4,"40,0%",0,"0,0%"
Bojan Nastić,Jagiellonia,20,6,"30,0%",0,10,4,"40,0%",0,"0,0%"
Marko Poletanović,Raków/Wisła K,23,6,"26,1%",1,15,4,"26,7%",0,"0,0%"
Wahan Biczachczjan,Pogoń Szczecin,25,6,"24,0%",2,16,4,"25,0%",1,"6,3%"
Mateusz Czyżycki,Warta Poznań,10,5,"50,0%",1,7,4,"57,1%",1,"14,3%"
Radosław Murawski,Lech Poznań,13,5,"38,5%",1,10,4,"40,0%",0,"0,0%"
Marcel Zylla,Śląsk Wrocław,13,5,"38,5%",1,10,4,"40,0%",0,"0,0%"
Tiago Alves,Piast Gliwice,14,4,"28,6%",0,8,4,"50,0%",0,"0,0%"
Piotr Tomasik,Wisła Płock,14,4,"28,6%",2,9,4,"44,4%",2,"22,2%"
Bartosz Śpiączka,Górnik Łęczna,58,25,"43,1%",11,12,3,"25,0%",0,"0,0%"
Mateusz Wdowiak,Raków Częstochowa,45,24,"53,3%",7,6,3,"50,0%",1,"16,7%"
Jesus Imaz,Jagiellonia,44,20,"45,5%",9,12,3,"25,0%",0,"0,0%"
Jesus Jimenez,Górnik Zabrze,45,20,"44,4%",8,8,3,"37,5%",0,"0,0%"
Patryk Sokołowski,Piast/Legia,47,15,"31,9%",7,13,3,"23,1%",0,"0,0%"
Caye Quinana,Śląsk Wrocław,24,13,"54,2%",2,5,3,"60,0%",0,"0,0%"
Tomas Prikryl,Jagiellonia,32,12,"37,5%",6,11,3,"27,3%",1,"9,1%"
Frank Castaneda,Warta Poznań,32,12,"37,5%",4,8,3,"37,5%",0,"0,0%"
Konrad Gruszkowski,Wisła Kraków,22,11,"50,0%",2,9,3,"33,3%",0,"0,0%"
Mahir Emreli,Legia Warszawa,36,11,"30,6%",2,11,3,"27,3%",0,"0,0%"
Michał Skóraś,Lech Poznań,27,10,"37,0%",2,11,3,"27,3%",1,"9,1%"
Jayson Papeau,Warta Poznań,28,10,"35,7%",0,13,3,"23,1%",0,"0,0%"
Patryk Kun,Raków Częstochowa,30,10,"33,3%",1,13,3,"23,1%",1,"7,7%"
Luis Fernandez,Wisła Kraków,20,9,"45,0%",3,7,3,"42,9%",0,"0,0%"
Dani Ramirez,Lech Poznań,30,9,"30,0%",1,17,3,"17,6%",0,"0,0%"
