KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Bruk-Bet,5,2,1,2,3,0,3,0,9,0,2,7
Cracovia,4,4,0,0,7,1,2,4,6,0,3,3
Górnik Łęczna,3,2,0,1,4,0,3,1,10,0,1,9
Górnik Zabrze,4,3,1,0,5,0,2,3,8,3,0,5
Jagiellonia,0,0,0,0,10,3,3,4,7,1,2,4
Lech Poznań,6,5,1,0,8,4,2,2,3,0,2,1
Lechia Gdańsk,5,2,3,0,5,2,1,2,7,0,1,6
Legia Warszawa,3,2,1,0,7,1,3,3,7,0,0,7
Piast Gliwice,6,4,2,0,8,4,2,2,3,0,1,2
Pogoń Szczecin,6,4,2,0,9,3,5,1,2,0,1,1
Radomiak Radom,7,4,2,1,6,0,5,1,4,0,1,3
Raków Częstochowa,4,3,0,1,10,5,3,2,3,2,0,1
Stal Mielec,5,2,2,1,6,0,2,4,6,0,2,4
Śląsk Wrocław,5,3,2,0,7,0,3,4,5,1,1,3
Warta Poznań,7,6,1,0,7,1,2,4,3,0,0,3
Wisła Kraków,3,1,0,2,7,1,3,3,7,0,2,5
Wisła Płock,4,3,0,1,7,1,1,5,6,0,0,6
Zagłębie Lubin,5,2,0,3,5,2,2,1,7,0,0,7
