KOL,GOSP,GOŚĆ,ST GOSP,ST GOŚĆ,ST C GOSP,ST C GOŚĆ,G GOSP,G GOŚĆ,xG GOSP,xG GOŚĆ,xG/s gosp,xG/s gość,% GOSP,% REMIS,% GOŚĆ
1,Bruk-Bet,Stal,8,6,2,3,1,1,"0,30","1,17","0,04","0,20",9%,30%,61%
1,Lech,Radomiak,13,7,6,1,0,0,"1,23","0,88","0,09","0,13",44%,30%,26%
1,Górnik Ł,Cracovia,12,18,1,7,1,1,"1,15","1,44","0,10","0,08",30%,27%,44%
1,Jagiellonia,Lechia,19,12,5,4,1,1,"1,33","1,07","0,07","0,09",43%,28%,30%
1,Legia,Wisła P,10,16,3,4,1,0,"0,45","0,92","0,05","0,06",17%,37%,46%
1,Piast,Raków,13,16,6,9,2,3,"1,84","2,06","0,14","0,13",34%,22%,44%
1,Śląsk,Warta,17,11,4,5,2,2,"1,28","0,78","0,08","0,07",49%,29%,22%
1,Pogoń,Górnik Z,7,4,4,0,2,0,"0,31","0,20","0,04","0,05",23%,63%,14%
1,Wisła K,Zagłębie,10,12,5,3,3,0,"1,89","1,27","0,19","0,11",53%,23%,24%
2,Zagłębie,Górnik Ł,7,4,4,2,3,1,"0,49","0,47","0,07","0,12",27%,47%,26%
2,Górnik Z,Lech,6,13,5,9,1,3,"1,34","1,92","0,22","0,15",25%,24%,51%
2,Stal,Piast,16,9,6,3,0,2,"1,41","0,99","0,09","0,11",47%,27%,26%
2,Bruk-Bet,Wisła K,15,13,6,4,2,2,"2,29","0,93","0,15","0,07",69%,18%,13%
2,Radomiak,Legia,25,9,8,2,3,1,"2,11","0,59","0,08","0,07",74%,18%,8%
2,Warta,Pogoń,6,19,1,5,1,1,"0,38","2,17","0,06","0,11",5%,15%,81%
2,Cracovia,Śląsk,16,13,6,5,1,2,"1,23","1,34","0,08","0,10",34%,27%,39%
2,Jagiellonia,Raków,11,6,3,2,3,0,"0,85","0,24","0,08","0,04",50%,40%,10%
2,Lechia,Wisła P,9,10,4,4,0,0,"0,93","0,64","0,10","0,06",41%,35%,23%
3,Górnik Ł,Warta,11,13,5,6,0,4,"0,74","1,88","0,07","0,14",13%,21%,66%
3,Lech,Cracovia,17,5,5,0,2,0,"1,64","0,17","0,10","0,03",76%,20%,3%
3,Jagiellonia,Bruk-Bet,9,8,4,2,1,0,"0,69","0,21","0,08","0,03",44%,46%,10%
3,Górnik Z,Stal,11,8,3,0,1,0,"0,96","0,39","0,09","0,05",50%,36%,14%
3,Pogoń,Piast,10,14,1,5,0,0,"0,79","1,21","0,08","0,09",24%,30%,46%
3,Wisła K,Raków,13,9,6,6,1,2,"0,69","0,57","0,05","0,06",34%,41%,26%
3,Śląsk,Lechia,18,19,7,8,1,1,"1,57","2,56","0,09","0,13",21%,19%,60%
3,Wisła P,Radomiak,10,11,4,3,1,0,"0,50","0,53","0,05","0,05",26%,46%,28%
4,Bruk-Bet,Lech,11,16,4,5,1,3,"1,66","1,49","0,15","0,09",42%,24%,34%
4,Stal,Wisła K,11,17,5,4,2,1,"0,98","1,01","0,09","0,06",34%,31%,35%
4,Piast,Wisła P,14,11,4,3,3,3,"1,62","1,30","0,12","0,12",45%,25%,30%
4,Lechia,Cracovia,12,9,4,2,3,0,"0,94","1,10","0,08","0,12",30%,31%,39%
4,Warta,Legia,9,12,1,4,0,2,"0,55","0,99","0,06","0,08",19%,35%,46%
4,Śląsk,Górnik Ł,12,5,2,1,0,0,"0,58","0,86","0,05","0,17",22%,37%,41%
4,Zagłębie,Pogoń,15,12,4,3,2,0,"1,61","0,92","0,11","0,08",54%,25%,21%
4,Jagiellonia,Górnik Z,7,9,2,3,1,3,"0,46","0,68","0,07","0,08",22%,43%,36%
5,Wisła P,Zagłębie,14,16,7,4,3,0,"1,53","1,28","0,11","0,08",43%,26%,31%
5,Radomiak,Warta,13,8,4,0,1,0,"1,78","0,59","0,14","0,07",68%,22%,11%
5,Pogoń,Stal,25,5,8,1,3,1,"4,15","1,12","0,17","0,22",89%,7%,4%
5,Cracovia,Jagiellonia,10,16,5,5,2,1,"1,27","1,79","0,13","0,11",26%,24%,50%
5,Górnik Ł,Wisła K,9,20,1,9,0,3,"0,92","1,72","0,10","0,09",19%,24%,57%
5,Piast,Śląsk,10,12,3,4,1,1,"0,87","0,89","0,09","0,07",33%,34%,34%
5,Lech,Lechia,14,5,4,0,2,0,"1,29","0,25","0,09","0,05",65%,28%,7%
6,Stal,Górnik Ł,6,14,3,1,2,0,"0,54","1,16","0,09","0,08",17%,31%,52%
6,Warta,Jagiellonia,8,21,2,4,1,1,"1,03","1,28","0,13","0,06",30%,29%,42%
6,Bruk-Bet,Cracovia,9,12,6,2,1,2,"0,24","1,13","0,03","0,09",7%,32%,61%
6,Lechia,Radomiak,13,12,5,4,2,2,"1,65","1,46","0,13","0,12",42%,25%,33%
6,Lech,Pogoń,9,10,3,2,1,1,"0,55","1,30","0,06","0,13",15%,29%,57%
6,Górnik Z,Piast,11,10,2,5,0,1,"0,85","0,77","0,08","0,08",35%,35%,30%
6,Wisła P,Raków,12,14,6,6,1,1,"0,85","1,21","0,07","0,09",25%,30%,45%
6,Zagłębie,Śląsk,17,9,5,5,0,3,"0,86","0,42","0,05","0,05",44%,39%,17%
