KLUB,BTS,CK,BG
Bruk-Bet,20,5,11
Cracovia,16,10,10
Górnik Łęczna,19,6,12
Górnik Zabrze,24,6,7
Jagiellonia,22,7,7
Lech Poznań,16,15,5
Lechia Gdańsk,16,12,7
Legia Warszawa,17,8,10
Piast Gliwice,16,11,9
Pogoń Szczecin,21,10,5
Radomiak Radom,19,9,9
Raków Częstochowa,17,14,5
Stal Mielec,21,6,9
Śląsk Wrocław,23,5,9
Warta Poznań,13,10,13
Wisła Kraków,17,8,12
Wisła Płock,17,9,8
Zagłębie Lubin,18,8,11
