ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Jakub Rzeźniczak,Wisła Płock,13,0,2,12,0,1,0,0,0,0,0,0,0,0,0,0
Janusz Gol,Górnik Łęczna,12,0,2,9,0,0,0,3,0,0,0,0,0,0,0,0
Bartosz Slisz,Legia Warszawa,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
Fran Tudor,Raków Częstochowa,10,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0
Jarosław Kubicki,Lechia Gdańsk,10,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0
Piotr Tomasik,Wisła Płock,10,0,0,5,0,1,2,2,0,0,0,0,0,0,0,0
Łukasz Poręba,Zagłębie Lubin,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Taras Romanczuk,Jagiellonia,10,0,0,7,0,0,1,2,0,0,0,0,0,0,0,0
Tomas Petrasek,Raków Częstochowa,10,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0
Erik Janza,Górnik Zabrze,9,0,1,5,0,0,1,3,0,0,0,0,0,0,0,0
Artur Jędrzejczyk,Legia Warszawa,9,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0
Mateusz Kupczak,Warta Poznań,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Matej Rodin,Cracovia,9,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0
Giannis Papanikolaou,Raków Częstochowa,8,1,2,8,0,0,0,0,0,0,0,0,0,1,0,0
Kryspin Szcześniak,Górnik Łęczna,8,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0
Krystian Getinger,Stal Mielec,8,1,1,4,0,0,1,2,1,0,0,0,1,0,0,0
Mateusz Bartolewski,Zagłębie Lubin,8,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Arkadiusz Kasperkiewicz,Stal Mielec,8,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0
Alasana Manneh,Górnik Zabrze,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Artem Putiwcew,Bruk-Bet,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
