KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Bruk-Bet,"1,53","1,12",48%,"11,94","4,47","4,71","2,76","37,44%","12,32%","6,24","2,24","2,82","15,18","2,24","0,18",BBT
Cracovia,"1,12","1,41",49%,"11,47","4,12","4,59","2,76","35,90%","9,74%","4,47","0,94","3,06","13,88","2,76","0,12",CRA
Górnik Łęczna,"1,59","0,88",54%,"16,82","5,41","6,59","4,82","32,17%","9,44%","6,71","2,29","2,41","13,18","2,18","0,00",GKŁ
Górnik Zabrze,"1,24","1,53",48%,"10,41","3,71","4,00","2,71","35,59%","11,86%","5,12","2,65","4,29","12,82","2,29","0,06",GÓR
Jagiellonia,"1,18","1,35",50%,"11,18","3,06","4,29","3,82","27,37%","9,47%","5,29","1,65","3,00","12,65","2,06","0,12",JAG
Lech Poznań,"0,41","2,35",44%,"7,24","1,88","3,29","2,06","26,02%","5,69%","4,24","1,59","4,65","11,18","2,12","0,06",LPO
Lechia Gdańsk,"0,65","1,76",47%,"12,06","4,06","5,06","2,94","33,66%","5,37%","5,71","2,76","3,53","11,47","2,12","0,12",LGD
Legia Warszawa,"1,24","1,71",44%,"10,18","3,59","4,53","2,06","35,26%","11,56%","4,18","1,53","3,59","14,59","1,71","0,06",LEG
Piast Gliwice,"1,29","1,35",51%,"10,76","3,71","4,53","2,53","34,43%","12,02%","5,65","1,47","2,47","15,24","2,35","0,06",PIA
Pogoń Szczecin,"1,12","2,41",44%,"7,82","2,94","2,71","2,18","37,59%","12,78%","4,12","1,65","3,82","12,59","1,88","0,12",POG
Radomiak Radom,"1,29","1,53",48%,"11,00","3,00","4,94","3,06","27,27%","11,76%","4,41","0,94","3,24","16,29","2,29","0,18",RAD
Raków Częstochowa,"0,76","2,06",47%,"9,24","3,18","3,59","2,47","34,39%","8,28%","3,71","1,00","4,06","15,76","2,59","0,06",RCZ
Stal Mielec,"1,24","1,24",54%,"15,24","4,94","5,94","4,35","32,43%","7,34%","6,29","2,76","2,76","18,00","3,65","0,29",STM
Śląsk Wrocław,"1,47","1,06",51%,"10,82","4,47","4,00","2,35","41,30%","12,50%","4,41","1,88","2,94","12,82","2,12","0,00",ŚLĄ
Warta Poznań,"1,29","0,94",55%,"11,76","3,65","4,82","3,29","31,00%","9,50%","4,47","1,53","2,65","12,65","1,71","0,06",WAR
Wisła Kraków,"1,24","1,24",46%,"12,65","4,76","4,41","3,47","37,67%","9,77%","5,06","1,71","3,29","11,65","2,00","0,06",WIS
Wisła Płock,"0,82","1,59",52%,"13,82","4,35","5,76","3,71","31,49%","5,96%","5,82","1,41","3,06","15,35","2,65","0,00",WPŁ
Zagłębie Lubin,"1,65","1,47",48%,"11,82","4,35","4,06","3,41","36,82%","12,94%","4,82","1,71","3,18","11,18","2,00","0,18",ZAG
