KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Bruk-Bet,6,2,2,2,10,0,3,7
Cracovia,4,4,0,0,12,1,4,7
Górnik Łęczna,4,2,1,1,11,0,1,10
Górnik Zabrze,6,3,1,2,10,3,1,6
Jagiellonia,4,3,1,0,12,1,3,8
Lech Poznań,8,7,1,0,8,2,3,3
Lechia Gdańsk,7,4,3,0,10,0,2,8
Legia Warszawa,4,3,1,0,12,0,2,10
Piast Gliwice,11,8,3,0,5,0,1,4
Pogoń Szczecin,11,6,5,0,4,1,1,2
Radomiak Radom,7,4,2,1,7,0,3,4
Raków Częstochowa,9,7,1,1,7,3,1,3
Stal Mielec,6,1,2,3,10,1,3,6
Śląsk Wrocław,7,3,3,1,10,1,3,6
Warta Poznań,10,7,3,0,7,0,0,7
Wisła Kraków,5,2,1,2,11,0,3,8
Wisła Płock,6,3,0,3,11,1,1,9
Zagłębie Lubin,7,4,0,3,8,0,0,8
