KLUB,śr./mecz,Zza/mecz,% celn zza,% ogółu zza,GOLE ZZA prz,% GOLI ZZA,% skut. ZZA
Arka,"17,51","7,32","31,73%","41,82%",8,"14,55%","2,95%"
Cracovia,"12,24","5,24","24,23%","42,83%",5,"12,50%","2,58%"
Górnik,"15,43","6,57","21,81%","42,56%",6,"13,33%","2,47%"
Jagiellonia,"12,32","5,03","23,12%","40,79%",2,"4,17%","1,08%"
Korona,"12,97","5,08","25,53%","39,17%",8,"17,02%","4,26%"
Lech,"12,35","5,19","25,52%","42,01%",1,"3,03%","0,52%"
Lechia,"17,08","7,05","20,69%","41,30%",8,"17,39%","3,07%"
Legia,"9,41","4,24","22,93%","45,11%",2,"5,71%","1,27%"
ŁKS,"13,84","4,89","27,07%","35,35%",10,"16,39%","5,52%"
Piast,"13,11","6,08","28,89%","46,39%",8,"25,81%","3,56%"
Pogoń,"11,43","4,22","32,69%","36,88%",4,"11,11%","2,56%"
Raków,"13,81","6,24","24,24%","45,21%",6,"12,00%","2,60%"
Śląsk,"12,92","5,35","23,74%","41,42%",5,"11,36%","2,53%"
Wisła K,"15,57","7,22","22,85%","46,35%",5,"8,93%","1,87%"
Wisła P,"13,16","5,65","27,27%","42,92%",7,"13,46%","3,35%"
Zagłębie,"13,62","6,05","26,79%","44,44%",6,"11,54%","2,68%"
