DRUŻYNA,MNP,Z,%
Arka Gdynia,16,10,"62,50%"
Cracovia,20,16,"80,00%"
Górnik Zabrze,18,14,"77,78%"
Jagiellonia Białystok,20,14,"70,00%"
Korona Kielce,14,9,"64,29%"
Lech Poznań,20,18,"90,00%"
Lechia Gdańsk,21,15,"71,43%"
Legia Warszawa,26,21,"80,77%"
ŁKS Łódź,13,6,"46,15%"
Piast Gliwice,22,18,"81,82%"
Pogoń Szczecin,20,14,"70,00%"
Raków Częstochowa,24,16,"66,67%"
Śląsk Wrocław,21,14,"66,67%"
Wisła Kraków,21,13,"61,90%"
Wisła Płock,22,14,"63,64%"
Zagłębie Lubin,20,15,"75,00%"
