ZAWODNIK,KLUB,GOLE,G KARNY,G ROŻNY,G WOLNY,G WOLNY BEZP,G AUT,AS SFG,PO SFG,Z GRY,%GOLI PO SFG
Łukasz Zwoliński,Lechia Gdańsk,7,1,1,0,0,0,0,2,5,"28,6%"
Darko Jevtić,Lech Poznań,6,1,0,0,1,0,3,2,4,"33,3%"
Srdan Spiridonović,Pogoń Szczecin,6,1,0,0,0,0,1,1,5,"16,7%"
Sebastian Musiolik,Raków Częstochowa,6,0,1,1,0,0,1,2,4,"33,3%"
Artur Sobiech,Lechia Gdańsk,6,2,0,0,0,0,0,2,4,"33,3%"
Tomas Petrasek,Raków Częstochowa,6,0,2,2,0,1,0,5,1,"83,3%"
Paweł Wszołek,Legia Warszawa,6,0,0,0,0,0,0,0,6,"0,0%"
Alon Turgeman,Wisła Kraków,6,1,0,0,0,0,0,1,5,"16,7%"
Adnan Kovacević,Korona Kielce,5,4,1,0,0,0,1,5,0,"100,0%"
Jakub Moder,Lech Poznań,5,1,0,0,1,0,1,2,3,"40,0%"
Bartosz Bida,Jagiellonia,5,0,1,0,0,0,0,1,4,"20,0%"
Łukasz Sekulski,ŁKS Łódź,5,1,1,0,0,0,0,2,3,"40,0%"
Luquinhas,Legia Warszawa,5,0,0,0,0,0,0,0,5,"0,0%"
Michał Chrapek,Śląsk Wrocław,5,2,0,0,0,0,0,2,3,"40,0%"
Tomas Pekhart,Legia Warszawa,5,0,1,1,0,0,0,2,3,"40,0%"
Jakov Puljić,Jagiellonia,5,1,0,0,1,0,0,2,3,"40,0%"
Krzysztof Mączyński,Śląsk Wrocław,4,1,0,0,0,0,3,1,3,"25,0%"
Giorgi Merebaszwili,Wisła Płock,4,0,1,1,0,0,3,2,2,"50,0%"
Gerard Badia,Piast Gliwice,4,0,0,0,0,0,2,0,4,"0,0%"
Adam Frączczak,Pogoń Szczecin,4,2,0,0,0,0,1,2,2,"50,0%"
Arvydas Novikovas,Legia Warszawa,4,0,0,0,0,0,1,0,4,"0,0%"
Dino Stiglec,Śląsk Wrocław,4,0,0,0,1,0,1,1,3,"25,0%"
Mateusz Szwoch,Wisła Płock,4,0,0,0,0,1,1,1,3,"25,0%"
Petteri Forsell,Korona Kielce,4,0,0,0,3,0,1,3,1,"75,0%"
Erik Pacinda,Korona Kielce,4,0,0,0,0,0,0,0,4,"0,0%"
Ricardinho,Wisła Płock,4,0,2,0,0,0,0,2,2,"50,0%"
Vukan Savicević,Wisła Kraków,4,0,0,0,0,0,0,0,4,"0,0%"
Mateusz Cholewiak,Śląsk/Legia,4,0,0,0,0,1,0,1,3,"25,0%"
Aleksander Buksa,Wisła Kraków,4,0,0,0,0,0,0,0,4,"0,0%"
Dawit Schirtladze,Arka Gdynia,4,0,1,0,0,0,0,1,3,"25,0%"
Damian Michalski,Wisła Płock,4,0,0,2,0,0,0,2,2,"50,0%"
Rafał Kujawa,ŁKS Łódź,4,0,0,0,0,0,0,0,4,"0,0%"
Jakub Kamiński,Lech Poznań,4,0,0,0,0,0,0,0,4,"0,0%"
Alan Uryga,Wisła Płock,4,0,2,2,0,0,0,4,0,"100,0%"
Erik Jirka,Górnik Zabrze,4,0,2,0,0,0,0,2,2,"50,0%"
Domagoj Antolić,Legia Warszawa,3,1,2,0,0,0,3,3,0,"100,0%"
Tymoteusz Puchacz,Lech Poznań,3,0,0,0,0,0,1,0,3,"0,0%"
Marcus Vinicius,Arka Gdynia,3,0,2,0,0,0,1,2,1,"66,7%"
Cornel Rapa,Cracovia,3,0,1,2,0,0,0,3,0,"100,0%"
Joao Amaral,Lech Poznań,3,0,0,0,0,0,0,0,3,"0,0%"
Łukasz Broź,Śląsk Wrocław,3,1,0,1,0,0,0,2,1,"66,7%"
Maciej Gajos,Lechia Gdańsk,3,0,0,0,1,0,0,1,2,"33,3%"
Michal Papadopulos,Korona Kielce,3,0,0,0,0,0,0,0,3,"0,0%"
Patryk Szysz,Zagłębie Lubin,3,0,0,1,0,0,0,1,2,"33,3%"
Paweł Tomczyk,Lech Poznań,3,1,0,0,0,0,0,1,2,"33,3%"
Taras Romanczuk,Jagiellonia,3,0,2,0,0,0,0,2,1,"66,7%"
Zvonimir Kozulj,Pogoń Szczecin,3,0,0,1,0,0,0,1,2,"33,3%"
Ivan Runje,Jagiellonia,3,0,1,2,0,0,0,3,0,"100,0%"
Sławomir Peszko,Lechia Gdańsk,3,0,0,0,0,0,0,0,3,"0,0%"
Piotr Tomasik,Wisła Płock,3,0,0,0,0,0,0,0,3,"0,0%"
Kamil Kościelny,Raków Częstochowa,3,0,3,0,0,0,0,3,0,"100,0%"
Filip Marchwiński,Lech Poznań,3,0,0,0,0,0,0,0,3,"0,0%"
Maciej Rosołek,Legia Warszawa,3,0,0,0,0,0,0,0,3,"0,0%"
Paweł Cibicki,Pogoń Szczecin,3,0,1,1,0,0,0,2,1,"66,7%"
Giorgos Giakoumakis,Górnik Zabrze,3,0,0,1,0,0,0,1,2,"33,3%"
Dawid Kocyła,Wisła Płock,3,0,0,0,0,0,0,0,3,"0,0%"
Samu Corral,ŁKS Łódź,3,0,0,0,0,0,0,0,3,"0,0%"
Martin Pospisil,Jagiellonia,2,2,0,0,0,0,2,2,0,"100,0%"
Tomas Prikryl,Jagiellonia,2,0,0,0,0,0,2,0,2,"0,0%"
Hubert Matynia,Pogoń Szczecin,2,0,0,0,0,0,2,0,2,"0,0%"
Igor Sapała,Raków Częstochowa,2,0,0,0,1,0,1,1,1,"50,0%"
Łukasz Wolsztyński,Górnik Zabrze,2,0,0,0,0,0,1,0,2,"0,0%"
Mateusz Wdowiak,Cracovia,2,0,0,0,0,0,1,0,2,"0,0%"
Israel Puerto,Śląsk Wrocław,2,0,1,1,0,0,1,2,0,"100,0%"
Adam Danch,Arka Gdynia,2,0,1,0,0,0,1,1,1,"50,0%"
Lukas Haraslin,Lechia Gdańsk,2,0,0,0,0,0,1,0,2,"0,0%"
Daniel Bartl,Raków Częstochowa,2,1,0,0,0,0,1,1,1,"50,0%"
Jakub Łabojko,Śląsk Wrocław,2,0,1,0,0,0,0,1,1,"50,0%"
Kamil Drygas,Pogoń Szczecin,2,0,1,0,0,0,0,1,1,"50,0%"
Łukasz Poręba,Zagłębie Lubin,2,0,1,0,0,0,0,1,1,"50,0%"
Pedro Tiba,Lech Poznań,2,0,0,0,0,0,0,0,2,"0,0%"
Sebastian Kowalczyk,Pogoń Szczecin,2,0,1,0,0,0,0,1,1,"50,0%"
Chuca,Wisła Kraków,2,0,0,0,0,0,0,0,2,"0,0%"
Kamil Wojtkowski,Wisła Kraków,2,0,0,0,0,0,0,0,2,"0,0%"
David Niepsuj,Wisła Kraków,2,0,1,0,0,0,0,1,1,"50,0%"
Sebastian Milewski,Piast Gliwice,2,0,0,0,0,0,0,0,2,"0,0%"
Jakub Rzeźniczak,Wisła Płock,2,0,1,1,0,0,0,2,0,"100,0%"
Grzegorz Kuświk,Wisła Płock,2,0,1,1,0,0,0,2,0,"100,0%"
Sasa Balić,Zagłębie Lubin,2,0,1,0,0,0,0,1,1,"50,0%"
Bartosz Slisz,Zagłębie/Legia,2,0,1,0,0,0,0,1,1,"50,0%"
Jarosław Jach,Raków Częstochowa,2,0,0,1,0,0,0,1,1,"50,0%"
Michał Nalepa II,Lechia Gdańsk,2,0,0,0,0,1,0,1,1,"50,0%"
Juan Camara,Jagiellonia,2,0,0,0,0,0,0,0,2,"0,0%"
Szymon Matuszek,Górnik Zabrze,2,0,2,0,0,0,0,2,0,"100,0%"
Piotr Malinowski,Raków Częstochowa,2,0,0,0,0,0,0,0,2,"0,0%"
Ricardo Guima,ŁKS Łódź,2,0,0,0,0,0,0,0,2,"0,0%"
Jan Sobociński,ŁKS Łódź,2,0,1,1,0,0,0,2,0,"100,0%"
Mateusz Młyński,Arka Gdynia,2,0,0,1,0,0,0,1,1,"50,0%"
Marcin Listkowski,Pogoń Szczecin,2,0,0,0,0,0,0,0,2,"0,0%"
Jaroslav Mihalik,Lechia Gdańsk,2,0,0,0,0,0,0,0,2,"0,0%"
Torgil Gjertsen,Wisła Płock,2,0,0,0,0,0,0,0,2,"0,0%"
Carlos Moros Gracia,ŁKS Łódź,2,0,1,1,0,0,0,2,0,"100,0%"
Dejan Drazić,Zagłębie Lubin,2,0,0,0,0,0,0,0,2,"0,0%"
Filip Marković,Śląsk Wrocław,2,0,1,0,0,0,0,1,1,"50,0%"
Jewgienij Baszkirow,Zagłębie Lubin,2,0,0,0,0,0,0,0,2,"0,0%"
Stavros Vassilantonopoulos,Górnik Zabrze,2,0,0,0,0,0,0,0,2,"0,0%"
Cillian Sheridan,Wisła Płock,2,0,0,0,0,0,0,0,2,"0,0%"
Daniel Szelągowski,Korona Kielce,2,0,0,0,0,0,0,0,2,"0,0%"
Omran Haydary,Lechia Gdańsk,2,0,0,1,0,0,0,1,1,"50,0%"
Michal Siplak,Cracovia,1,0,0,0,0,0,3,0,1,"0,0%"
Maciej Sadlok,Wisła Kraków,1,0,0,0,1,0,3,1,0,"100,0%"
Tom Hateley,Piast Gliwice,1,1,0,0,0,0,3,1,0,"100,0%"
Ricardo Nunes,Pogoń Szczecin,1,0,0,0,0,0,2,0,1,"0,0%"
Bartosz Kopacz,Zagłębie Lubin,1,0,0,0,0,0,2,0,1,"0,0%"
Kamil Piątkowski,Raków Częstochowa,1,0,1,0,0,0,2,1,0,"100,0%"
Oskar Zawada,Wisła P/Arka,1,0,0,1,0,0,1,1,0,"100,0%"
Kostas Triantafyllopoulos,Pogoń Szczecin,1,0,1,0,0,0,1,1,0,"100,0%"
Ołeksij Dytiatjew,Cracovia,1,0,1,0,0,0,1,1,0,"100,0%"
Marko Vesović,Legia Warszawa,1,0,1,0,0,0,1,1,0,"100,0%"
Żarko Udovicić,Lechia Gdańsk,1,0,0,0,0,0,1,0,1,"0,0%"
Piotr Pyrdoł,ŁKS/Legia,1,0,0,0,0,0,1,0,1,"0,0%"
Michał Trąbka,ŁKS Łódź,1,0,0,0,0,0,1,0,1,"0,0%"
Fran Tudor,Raków Częstochowa,1,0,0,0,0,0,1,0,1,"0,0%"
Alasana Manneh,Górnik Zabrze,1,0,1,0,0,0,1,1,0,"100,0%"
Hubert Adamczyk,Wisła Płock,1,0,0,0,0,0,1,0,1,"0,0%"
Adam Deja,Arka Gdynia,1,0,0,1,0,0,0,1,0,"100,0%"
Alan Czerwiński,Zagłębie Lubin,1,0,0,0,0,0,0,0,1,"0,0%"
Jakub Żubrowski,Korona Kielce,1,0,0,0,0,0,0,0,1,"0,0%"
Janusz Gol,Cracovia,1,0,0,0,0,0,0,0,1,"0,0%"
Lubomir Guldan,Zagłębie Lubin,1,0,1,0,0,0,0,1,0,"100,0%"
Maciej Wolski,ŁKS Łódź,1,0,0,0,0,0,0,0,1,"0,0%"
Maksymilian Rozwandowicz,ŁKS Łódź,1,1,0,0,0,0,0,1,0,"100,0%"
