ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,CZAS,MIN/GOL,MIN/G+AS
Ivan Runje,Jagiellonia,3,1,4,2436,"812,0","609,0"
Alan Uryga,Wisła Płock,4,0,4,3330,"832,5","832,5"
David Tijanić,Raków Częstochowa,1,5,6,845,"845,0","140,8"
Tymoteusz Puchacz,Lech Poznań,3,5,8,2536,"845,3","317,0"
Mateusz Młyński,Arka Gdynia,2,3,5,1775,"887,5","355,0"
Domagoj Antolić,Legia Warszawa,3,5,8,2689,"896,3","336,1"
Mateusz Wdowiak,Cracovia,2,5,7,1799,"899,5","257,0"
Tomas Prikryl,Jagiellonia,2,5,7,1941,"970,5","277,3"
Adam Danch,Arka Gdynia,2,3,5,1994,"997,0","398,8"
Marcin Listkowski,Pogoń Szczecin,2,2,4,2033,"1016,5","508,3"
Hubert Matynia,Pogoń Szczecin,2,2,4,2058,"1029,0","514,5"
Cornel Rapa,Cracovia,3,4,7,3134,"1044,7","447,7"
Bartosz Slisz,Zagłębie/Legia,2,2,4,2177,"1088,5","544,3"
Michal Siplak,Cracovia,1,4,5,1144,"1144,0","228,8"
Patryk Tuszyński,Zagłębie/Piast,1,3,4,1236,"1236,0","309,0"
Fran Tudor,Raków Częstochowa,1,4,5,1245,"1245,0","249,0"
Sebastian Milewski,Piast Gliwice,2,2,4,2698,"1349,0","674,5"
Pedro Tiba,Lech Poznań,2,7,9,2763,"1381,5","307,0"
Michał Mak,Wisła Kraków,1,4,5,1460,"1460,0","292,0"
Sebastian Kowalczyk,Pogoń Szczecin,2,2,4,3023,"1511,5","755,8"
Martin Pospisil,Jagiellonia,2,4,6,3061,"1530,5","510,2"
Kamil Piątkowski,Raków Częstochowa,1,3,4,1622,"1622,0","405,5"
Matej Pućko,Korona Kielce,1,4,5,1781,"1781,0","356,2"
Miłosz Szczepański,Raków Częstochowa,1,4,5,1830,"1830,0","366,0"
Marko Vesović,Legia Warszawa,1,4,5,1836,"1836,0","367,2"
Pirulo,ŁKS Łódź,1,4,5,1995,"1995,0","399,0"
Michał Trąbka,ŁKS Łódź,1,3,4,2114,"2114,0","528,5"
Tom Hateley,Piast Gliwice,1,4,5,2868,"2868,0","573,6"
Maciej Sadlok,Wisła Kraków,1,6,7,2897,"2897,0","413,9"
Alan Czerwiński,Zagłębie Lubin,1,9,10,3119,"3119,0","311,9"
Guilherme Sitya,Jagiellonia,0,4,4,1170,-,"292,5"
Bartosz Rymaniak,Piast Gliwice,0,5,5,1778,-,"355,6"
Jarosław Kubicki,Lechia Gdańsk,0,5,5,2148,-,"429,6"
Filip Mladenović,Lechia Gdańsk,0,5,5,2195,-,"439,0"
Erik Janza,Górnik Zabrze,0,7,7,3090,-,"441,4"
Michał Karbownik,Legia Warszawa,0,5,5,2370,-,"474,0"
Wołodymyr Kostewycz,Lech Poznań,0,4,4,2302,-,"575,5"
Adam Marciniak,Arka Gdynia,0,4,4,2965,-,"741,3"
