ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Jakub Żubrowski,Korona Kielce,13,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0
Filip Mladenović,Lechia Gdańsk,13,0,0,8,0,0,1,3,0,1,0,0,0,0,0,0
Krzysztof Mączyński,Śląsk Wrocław,12,0,1,10,0,0,2,0,0,0,0,0,0,0,0,0
Igor Sapała,Raków Częstochowa,11,1,2,11,0,0,0,0,0,0,0,0,1,0,0,0
Ognjen Gnjatić,Korona Kielce,11,1,1,10,1,0,1,0,0,0,0,0,0,0,0,0
Lubomir Guldan,Zagłębie Lubin,11,0,1,8,0,1,2,0,0,0,0,0,0,0,0,0
Lukas Klemenz,Wisła Kraków,11,0,0,8,0,1,2,0,0,0,0,0,0,0,0,0
Mateusz Szwoch,Wisła Płock,11,0,0,8,0,0,0,2,1,0,0,0,0,0,0,0
Artur Jędrzejczyk,Legia Warszawa,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
Maciej Sadlok,Wisła Kraków,10,0,1,8,0,0,0,1,1,0,0,0,0,0,0,0
Michał Chrapek,Śląsk Wrocław,10,0,1,7,0,0,0,2,1,0,0,0,0,0,0,0
David Niepsuj,Wisła Kraków,10,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0
Mateusz Spychała,Korona Kielce,10,0,1,9,0,0,0,0,1,0,0,0,0,0,0,0
Adam Marciniak,Arka Gdynia,10,0,0,6,0,0,3,1,0,0,0,0,0,0,0,0
Michael Gardawski,Korona Kielce,10,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0
Tomas Petrasek,Raków Częstochowa,10,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0
Sasa Balić,Zagłębie Lubin,10,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0
Milan Radin,Korona Kielce,10,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0
Dorde Crnomarković,Lech Poznań,9,0,2,7,0,0,2,0,0,0,0,0,0,0,0,0
Jan Sobociński,ŁKS Łódź,9,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0
Janusz Gol,Cracovia,9,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0
Ricardo Guima,ŁKS Łódź,9,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0
Taras Romanczuk,Jagiellonia,9,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0
Vukan Savicević,Wisła Kraków,9,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0
David Jablonsky,Cracovia,8,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0
Ivan Runje,Jagiellonia,8,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Hubert Matynia,Pogoń Szczecin,8,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0
Damian Zbozień,Arka Gdynia,8,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0
Damian Rasak,Wisła Płock,8,0,0,4,0,0,2,1,1,0,0,0,0,0,0,0
Martin Pospisil,Jagiellonia,8,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
Przemysław Wiśniewski,Górnik Zabrze,8,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0
Sergiu Hanca,Cracovia,8,0,0,5,0,0,1,1,0,0,0,1,0,0,0,0
Wojciech Golla,Śląsk Wrocław,8,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0
Michał Nalepa II,Lechia Gdańsk,8,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
Michal Siplak,Cracovia,8,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0
Kostas Triantafyllopoulos,Pogoń Szczecin,7,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0
Karol Fila,Lechia Gdańsk,7,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0
Maciej Dąbrowski,ŁKS Łódź,7,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0
Jakub Tosik,Zagłębie Lubin,7,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0
Zoran Arsenić,Jagiellonia,7,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
Dani Ramirez,ŁKS/Lech,7,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0
Ołeksij Dytiatjew,Cracovia,7,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
Christian Maghoma,Arka Gdynia,7,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0
Michał Nalepa I,Arka Gdynia,7,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0
Bartosz Kwiecień,Jagiellonia,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Kamil Wojtkowski,Wisła Kraków,7,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
Mikkel Kirkeskov,Piast Gliwice,7,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0
Tymoteusz Puchacz,Lech Poznań,7,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0
Marko Vejinović,Arka Gdynia,7,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0
Dragoljub Srnić,ŁKS Łódź,7,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
Paweł Wszołek,Legia Warszawa,7,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
Adam Deja,Arka Gdynia,6,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0
Thomas Rogne,Lech Poznań,6,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0
Maksymilian Rozwandowicz,ŁKS Łódź,6,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
Boris Sekulić,Górnik Zabrze,6,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
Felicio Brown Forbes,Raków Częstochowa,6,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
Jan Grzesik,ŁKS Łódź,6,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
Karlo Muhar,Lech Poznań,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Maciej Wolski,ŁKS Łódź,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Tiba,Lech Poznań,6,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0
Tomasz Makowski,Lechia Gdańsk,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
Israel Puerto,Śląsk Wrocław,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
Szymon Matuszek,Górnik Zabrze,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Petr Schwarz,Raków Częstochowa,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
Bartosz Rymaniak,Piast Gliwice,5,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0
Jose Kante,Legia Warszawa,5,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0
Michał Helik,Cracovia,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Bartkowski,Pogoń Szczecin,5,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0
Luis Rocha,Legia Warszawa,5,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0
Damian Oko,Zagłębie Lubin,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Sebastian Milewski,Piast Gliwice,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Bartosz Bida,Jagiellonia,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Diego Zivulić,Śląsk Wrocław,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Alan Czerwiński,Zagłębie Lubin,5,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0
Ariel Borysiuk,Jagiellonia,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Kuveljić,Wisła Kraków,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Klimczak,ŁKS Łódź,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Andre Martins,Legia Warszawa,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Erik Janza,Górnik Zabrze,5,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0
Igor Lewczuk,Legia Warszawa,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Kamil Jóźwiak,Lech Poznań,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Matras,Górnik Zabrze,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
