ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,2.AS,KAN+2.AS
Przemysław Płacheta,Śląsk Wrocław,8,5,13,0,0,2,3,16
Kamil Jóźwiak,Lech Poznań,8,4,12,1,0,3,6,18
Bartosz Białek,Zagłębie Lubin,9,2,11,1,0,1,4,15
Patryk Klimala,Jagiellonia,7,3,10,0,1,3,0,10
Tymoteusz Puchacz,Lech Poznań,3,5,8,0,0,1,5,13
Jakub Moder,Lech Poznań,5,3,8,2,1,2,6,14
Bartosz Bida,Jagiellonia,5,1,6,1,0,2,4,10
Miłosz Szczepański,Raków Częstochowa,1,4,5,0,0,1,7,12
Patryk Szysz,Zagłębie Lubin,3,2,5,0,0,0,2,7
Michał Karbownik,Legia Warszawa,0,5,5,0,0,0,7,12
Michał Skóraś,Raków/Lech,1,4,5,0,3,0,1,6
Jakub Kamiński,Lech Poznań,4,1,5,0,1,0,7,12
Mateusz Młyński,Arka Gdynia,2,3,5,0,0,1,1,6
Sebastian Kowalczyk,Pogoń Szczecin,2,2,4,0,0,1,6,10
Aleksander Buksa,Wisła Kraków,4,0,4,3,0,1,0,4
Sebastian Milewski,Piast Gliwice,2,2,4,0,0,1,4,8
Damian Michalski,Wisła Płock,4,0,4,0,0,1,2,6
Bartosz Slisz,Zagłębie/Legia,2,2,4,0,1,0,3,7
Kamil Piątkowski,Raków Częstochowa,1,3,4,0,0,1,1,5
Marcin Listkowski,Pogoń Szczecin,2,2,4,1,0,1,0,4
Daniel Szelągowski,Korona Kielce,2,2,4,0,0,0,0,4
Paweł Tomczyk,Lech Poznań,3,0,3,2,0,0,1,4
Piotr Pyrdoł,ŁKS/Legia,1,2,3,1,0,0,0,3
Filip Marchwiński,Lech Poznań,3,0,3,2,0,0,1,4
Maciej Rosołek,Legia Warszawa,3,0,3,3,0,0,0,3
Kamil Pestka,Cracovia,1,2,3,0,0,0,2,5
Przemysław Mystkowski,Jagiellonia,1,2,3,1,1,1,1,4
Dawid Kocyła,Wisła Płock,3,0,3,0,0,1,0,3
Hubert Adamczyk,Wisła Płock,1,2,3,0,0,1,0,3
Łukasz Poręba,Zagłębie Lubin,2,0,2,0,0,0,1,3
Kamil Wojtkowski,Wisła Kraków,2,0,2,0,0,0,4,6
Karol Fila,Lechia Gdańsk,0,2,2,0,0,0,3,5
Michał Rakoczy,Cracovia,1,1,2,0,1,0,0,2
Robert Gumny,Lech Poznań,1,1,2,0,0,0,1,3
Mikołaj Kwietniewski,Wisła Płock,1,1,2,1,1,0,0,2
Jan Sobociński,ŁKS Łódź,2,0,2,0,0,1,1,3
Kacper Smoliński,Pogoń Szczecin,1,1,2,1,1,0,0,2
Daniel Ściślak,Górnik Zabrze,0,1,1,0,0,0,1,2
Dawid Pakulski,Zagłębie Lubin,1,0,1,1,0,0,0,1
Jakub Wawszczyk,Arka Gdynia,0,1,1,0,0,0,0,1
Przemysław Wiśniewski,Górnik Zabrze,1,0,1,0,0,0,1,2
Jakub Apolinarski,Raków Częstochowa,0,1,1,0,1,0,0,1
Juliusz Letniowski,Lech Poznań,0,1,1,0,1,0,2,3
Tomasz Makowski,Lechia Gdańsk,0,1,1,0,0,0,1,2
Adam Ratajczyk,ŁKS Łódź,1,0,1,0,0,0,0,1
Maciej Żurawski,Pogoń Szczecin,0,1,1,0,0,0,1,2
Grzegorz Szymusik,Korona Kielce,1,0,1,0,0,0,1,2
Iwo Kaczmarski,Korona Kielce,1,0,1,1,0,1,0,1
Adrian Łyszczarz,Śląsk Wrocław,0,1,1,0,0,0,0,1
Sylwester Lusiusz,Cracovia,0,0,0,0,0,0,2,2
