ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Igor Angulo,Górnik Zabrze,"39,3%","66,7%","45,0%",110,46,"41,8%",16,"6,88","14,5%",26
Christian Gytkjaer,Lech Poznań,"77,8%","58,8%","42,1%",79,45,"57,0%",24,"3,29","30,4%",26
Piotr Parzyszek,Piast Gliwice,"41,5%","44,4%","31,0%",107,43,"40,2%",12,"8,92","11,2%",25
Dani Ramirez,ŁKS/Lech,"38,9%","27,8%",-,113,42,"37,2%",10,"11,30","8,8%",101
Jose Kante,Legia Warszawa,"48,1%","36,8%","50,0%",87,37,"42,5%",10,"8,70","11,5%",16
Jorge Felix,Piast Gliwice,"62,5%","37,3%","47,4%",86,36,"41,9%",16,"5,38","18,6%",51
Flavio Paixao,Lechia Gdańsk,"42,9%","66,7%","42,9%",58,32,"55,2%",14,"4,14","24,1%",25
Pelle van Amersfoort,Cracovia,"0,0%","53,7%","50,0%",65,32,"49,2%",8,"8,13","12,3%",37
Przemysław Płacheta,Śląsk Wrocław,"40,6%","37,5%","50,0%",79,32,"40,5%",8,"9,88","10,1%",58
Pedro Tiba,Lech Poznań,"40,0%","37,2%","100,0%",84,32,"38,1%",2,"42,00","2,4%",66
Sasa Zivec,Zagłębie Lubin,"41,2%","37,5%","50,0%",78,31,"39,7%",9,"8,67","11,5%",39
Jesus Imaz,Jagiellonia,"28,6%","39,0%","28,6%",87,31,"35,6%",11,"7,91","12,6%",46
Damjan Bohar,Zagłębie Lubin,"75,0%","37,7%","100,0%",70,30,"42,9%",15,"4,67","21,4%",38
Felicio Brown Forbes,Raków Częstochowa,"40,0%","47,2%","50,0%",64,29,"45,3%",10,"6,40","15,6%",21
Filip Starzyński,Zagłębie Lubin,"37,5%","35,3%","50,0%",80,29,"36,3%",8,"10,00","10,0%",103
Rafael Lopes,Cracovia,"25,0%","30,2%","50,0%",83,28,"33,7%",11,"7,55","13,3%",27
Jesus Jimenez,Górnik Zabrze,"62,5%","33,3%","15,4%",81,27,"33,3%",12,"6,75","14,8%",53
Petteri Forsell,Korona Kielce,"33,3%","44,0%","0,0%",63,26,"41,3%",4,"15,75","6,3%",39
