KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Arka Gdynia,5,3,2,0,7,1,1,5,7,0,0,7
Cracovia,5,4,1,0,10,2,2,6,4,0,0,4
Górnik Zabrze,3,3,0,0,10,0,5,5,5,0,1,4
Jagiellonia,7,5,1,1,3,1,2,0,9,0,2,7
Korona Kielce,3,1,2,0,7,2,3,2,9,0,0,9
Lech Poznań,7,5,1,1,5,2,2,1,6,0,5,1
Lechia Gdańsk,6,4,2,0,8,3,3,2,5,1,1,3
Legia Warszawa,4,3,0,1,7,3,3,1,7,2,1,4
ŁKS Łódź,3,1,1,1,9,0,2,7,7,0,0,7
Piast Gliwice,4,3,0,1,8,2,3,3,6,1,0,5
Pogoń Szczecin,4,4,0,0,7,1,5,1,8,2,2,4
Raków Częstochowa,6,3,0,3,7,2,1,4,5,0,1,4
Śląsk Wrocław,4,2,1,1,11,2,3,6,3,1,0,2
Wisła Kraków,3,1,1,1,10,4,2,4,6,0,0,6
Wisła Płock,5,2,2,1,5,2,3,0,8,1,0,7
Zagłębie Lubin,6,6,0,0,7,0,2,5,5,0,0,5
