KLUB,BTS,CK,BG
Arka Gdynia,20,8,13
Cracovia,19,11,8
Górnik Zabrze,21,10,9
Jagiellonia,18,11,11
Korona Kielce,14,11,15
Lech Poznań,22,14,4
Lechia Gdańsk,21,9,10
Legia Warszawa,20,14,7
ŁKS Łódź,19,5,16
Piast Gliwice,13,15,12
Pogoń Szczecin,17,14,11
Raków Częstochowa,22,9,7
Śląsk Wrocław,23,7,10
Wisła Kraków,16,11,12
Wisła Płock,22,8,10
Zagłębie Lubin,21,7,9
