KLUB,ŻK/mecz,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Arka Gdynia,"2,05",76,1,4,57,0,3,10,4,1,1,0,0,0,0,0,1
Cracovia,"2,19",81,3,5,67,3,3,4,5,2,0,0,0,0,0,0,0
Górnik Zabrze,"1,76",65,1,3,55,0,0,4,2,2,2,0,0,0,1,0,0
Jagiellonia,"1,97",73,1,6,65,1,0,3,2,2,0,0,1,0,0,0,0
Korona Kielce,"1,97",73,4,4,63,2,1,3,1,3,1,0,1,0,2,0,0
Lech Poznań,"2,19",81,3,5,68,3,3,4,4,2,0,0,0,0,0,0,0
Lechia Gdańsk,"2,05",76,1,2,59,1,3,8,3,1,1,0,1,0,0,0,0
Legia Warszawa,"2,14",79,1,3,69,1,1,4,2,1,2,0,0,0,0,0,0
ŁKS Łódź,"1,92",71,1,1,59,1,3,2,3,4,0,0,0,0,0,0,0
Piast Gliwice,"2,59",96,2,8,80,1,2,5,5,3,1,0,0,1,0,0,0
Pogoń Szczecin,"2,16",80,1,2,66,1,0,3,5,4,1,0,1,0,0,0,0
Raków Częstochowa,"2,22",82,0,2,72,0,2,2,3,1,1,0,1,0,0,0,0
Śląsk Wrocław,"1,78",66,0,0,58,0,1,5,1,0,0,1,0,0,0,0,0
Wisła Kraków,"2,27",84,1,2,69,1,1,4,9,1,0,0,0,0,0,0,0
Wisła Płock,"2,51",93,1,6,73,1,1,5,11,2,1,0,0,0,0,0,0
Zagłębie Lubin,"2,08",77,0,2,63,0,2,4,5,3,0,0,0,0,0,0,0
