ZAWODNIK,KLUB,MECZE,PEŁNE,"W 1. ""11""",Z ŁAWKI,"W ""18""",CZAS
Kacper Krzepisz,Arka,1,1,1,0,25,90
Marcin Staniszewski,Arka,3,3,3,0,16,270
Pavels Steinbors,Arka,33,33,33,0,33,2970
Samu Araujo,Arka,0,0,0,0,4,0
Douglas Bergqvist,Arka,6,3,4,2,9,337
Daniel Chmielnicki,Arka,1,1,1,0,5,90
Adam Danch,Arka,28,20,21,7,37,1994
Frederik Helstrup,Arka,16,11,14,2,25,1186
Christian Maghoma,Arka,20,19,19,1,25,1741
Adam Marciniak,Arka,34,32,33,1,35,2965
Luka Marić,Arka,19,16,17,2,25,1590
Michael Olczyk,Arka,3,2,2,1,20,203
Kacper Tomczak,Arka,0,0,0,0,5,0
Jakub Wawszczyk,Arka,14,7,9,5,32,896
Damian Zbozień,Arka,32,29,32,0,33,2783
Nabil Aankour,Arka,2,0,2,0,3,145
Marcin Budziński,Arka,12,4,7,5,13,620
Azer Busuladzić,Arka,14,7,12,2,20,990
Goran Cvijanović,Arka,1,0,1,0,3,45
Adam Deja,Arka,21,13,16,5,22,1448
Nando Garcia,Arka,6,1,4,2,11,316
Michał Kopczyński,Arka,11,7,10,1,13,872
Dawid Markiewicz,Arka,3,0,3,0,11,219
Nemanja Mihajlović,Arka,8,2,3,5,10,392
Mateusz Młyński,Arka,27,10,21,6,28,1775
Michał Nalepa I,Arka,36,22,35,1,36,3051
Santi Samanes,Arka,3,0,2,1,6,110
Dawit Schirtladze,Arka,22,7,12,10,26,1172
Patryk Soboczyński,Arka,1,0,0,1,2,5
Mateusz Stępień,Arka,1,0,0,1,4,26
Marcus Vinicius,Arka,16,2,4,12,22,494
Marko Vejinović,Arka,24,20,23,1,24,2075
Kamil Antonik,Arka,18,2,8,10,34,819
Maciej Jankowski,Arka,30,15,29,1,31,2371
Aleksandyr Kolew,Arka,2,0,1,1,3,56
Jan Łoś,Arka,2,0,1,1,11,91
Fabian Serrarens,Arka,19,8,16,3,24,1369
Rafał Siemaszko,Arka,9,0,1,8,30,233
Jakub Wilczyński,Arka,1,0,0,1,5,4
Oskar Zawada,Arka,12,3,7,5,13,639
Lukas Hrosso,Cracovia,5,5,5,0,37,450
Michal Peskovic,Cracovia,32,32,32,0,37,2880
Niko Datković,Cracovia,4,3,4,0,7,300
Ołeksij Dytiatjew,Cracovia,23,20,22,1,33,1905
Diego Ferraresso,Cracovia,11,6,7,4,33,671
Michał Helik,Cracovia,23,21,22,1,36,1985
David Jablonsky,Cracovia,28,25,26,2,31,2416
Kamil Pestka,Cracovia,26,15,19,7,33,1847
Mateusz Pieńczak,Cracovia,0,0,0,0,1,0
Dorian Pituła,Cracovia,0,0,0,0,1,0
Cornel Rapa,Cracovia,35,33,35,0,36,3134
Michal Siplak,Cracovia,18,8,14,4,24,1144
Bojan Cecarić,Cracovia,5,0,2,3,15,170
Damian Dąbrowski,Cracovia,0,0,0,0,4,0
Milan Dimun,Cracovia,26,10,15,11,35,1395
Ivan Fiolić,Cracovia,14,1,8,6,15,671
Janusz Gol,Cracovia,26,22,25,1,27,2215
Sergiu Hanca,Cracovia,34,26,32,2,34,2927
Florian Loshaj,Cracovia,12,2,11,1,17,782
Sylwester Lusiusz,Cracovia,26,8,22,4,32,1830
Mateusz Supryn,Cracovia,1,0,0,1,3,1
Michał Rakoczy,Cracovia,9,0,4,5,27,321
Thiago,Cracovia,12,2,6,6,16,566
Mateusz Wdowiak,Cracovia,29,7,20,9,31,1799
Pelle van Amersfoort,Cracovia,34,25,32,2,34,2857
Patryk Zaucha,Cracovia,0,0,0,0,3,0
Tomasz Bała,Cracovia,1,0,0,1,2,18
Daniel Pik,Cracovia,4,0,0,4,15,49
