ZAWODNIK,KLUB,FAULE,FAULOWANY,SPALONE
Michał Nalepa I,Arka Gdynia,91,48,0
Mateusz Szwoch,Wisła Płock,89,72,2
Jakub Żubrowski,Korona Kielce,80,28,0
Sasa Balić,Zagłębie Lubin,72,26,1
Igor Sapała,Raków Częstochowa,71,44,0
Sebastian Milewski,Piast Gliwice,65,92,5
Dominik Furman,Wisła Płock,64,75,0
Taras Romanczuk,Jagiellonia,62,52,1
Sylwester Lusiusz,Cracovia,60,31,1
Michał Chrapek,Śląsk Wrocław,59,74,3
Maciej Sadlok,Wisła Kraków,59,38,3
Maciej Wolski,ŁKS Łódź,59,38,3
Lukas Klemenz,Wisła Kraków,59,22,2
Kamil Jóźwiak,Lech Poznań,58,107,10
Robert Pich,Śląsk Wrocław,58,56,4
Fabian Serrarens,Arka Gdynia,57,42,10
Ognjen Gnjatić,Korona Kielce,57,25,0
Artur Jędrzejczyk,Legia Warszawa,56,24,1
Ricardo Guima,ŁKS Łódź,55,37,2
Paweł Wszołek,Legia Warszawa,55,23,4
Karlo Muhar,Lech Poznań,55,16,0
Janusz Gol,Cracovia,54,53,0
Jesus Jimenez,Górnik Zabrze,53,61,16
Domagoj Antolić,Legia Warszawa,53,23,2
Michael Gardawski,Korona Kielce,52,53,3
Krzysztof Mączyński,Śląsk Wrocław,52,27,1
Michał Nalepa II,Lechia Gdańsk,52,25,1
Adam Marciniak,Arka Gdynia,52,18,4
Lubomir Guldan,Zagłębie Lubin,52,15,3
Marko Vejinović,Arka Gdynia,51,44,4
Felicio Brown Forbes,Raków Częstochowa,51,39,14
Karol Fila,Lechia Gdańsk,51,21,2
Vullnet Basha,Wisła Kraków,50,33,0
Jakub Łabojko,Śląsk Wrocław,50,22,0
Igor Lewczuk,Legia Warszawa,50,7,2
Jakub Tosik,Zagłębie Lubin,49,36,0
Przemysław Płacheta,Śląsk Wrocław,49,33,11
Tomas Petrasek,Raków Częstochowa,49,30,1
Kostas Triantafyllopoulos,Pogoń Szczecin,49,21,0
Przemysław Wiśniewski,Górnik Zabrze,48,23,0
Zoran Arsenić,Jagiellonia,47,41,1
Mateusz Spychała,Korona Kielce,47,40,1
Giorgi Merebaszwili,Wisła Płock,46,71,12
Damian Rasak,Wisła Płock,46,59,0
Sergiu Hanca,Cracovia,45,30,5
Marcin Cebula,Korona Kielce,44,50,3
Mikkel Kirkeskov,Piast Gliwice,44,49,0
Szymon Matuszek,Górnik Zabrze,44,23,0
Paweł Bochniewicz,Górnik Zabrze,44,11,1
Sebastian Kowalczyk,Pogoń Szczecin,43,98,10
Milan Radin,Korona Kielce,43,66,2
Alan Czerwiński,Zagłębie Lubin,43,44,1
Adnan Kovacević,Korona Kielce,43,43,1
