KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"1,54","1,05",53%,"17,51","6,08","6,73","4,70","34,72%","8,49%","6,68","1,32","2,84","14,68","2,05","0,11",ARK
Cracovia,"1,08","1,32",50%,"12,24","3,84","4,81","3,59","31,35%","8,83%","6,00","1,19","3,43","16,97","2,19","0,14",CRA
Górnik Zabrze,"1,27","1,38",54%,"15,43","4,62","6,14","4,68","29,95%","7,88%","6,38","1,95","3,14","13,78","1,73","0,08",GÓR
Jagiellonia,"1,38","1,30",50%,"12,32","4,05","5,24","3,03","32,89%","10,53%","4,81","2,81","3,35","15,46","2,00","0,16",JAG
Korona Kielce,"1,30","0,78",52%,"12,97","4,62","5,00","3,35","35,63%","9,79%","4,65","1,19","3,51","16,41","1,97","0,11",KOR
Lech Poznań,"0,95","1,89",44%,"12,35","3,95","5,24","3,16","31,95%","7,22%","4,70","2,00","4,11","14,59","2,19","0,14",LPO
Lechia Gdańsk,"1,35","1,30",52%,"17,08","4,86","6,65","5,57","28,48%","7,28%","5,92","1,14","2,68","13,65","2,05","0,05",LGD
Legia Warszawa,"0,95","1,89",48%,"9,41","3,41","3,73","2,27","36,21%","10,06%","4,08","0,95","4,27","15,46","2,14","0,08",LEG
ŁKS Łódź,"1,84","0,89",46%,"13,84","5,22","5,81","2,81","37,70%","11,91%","6,24","1,86","3,30","17,76","1,92","0,03",ŁKS
Piast Gliwice,"0,86","1,11",50%,"13,11","4,30","5,57","3,24","32,78%","6,39%","5,35","1,49","3,92","15,81","2,59","0,22",PIA
Pogoń Szczecin,"1,05","1,00",48%,"11,43","4,30","4,57","2,57","37,59%","8,51%","4,76","2,35","3,24","16,24","2,16","0,05",POG
Raków Częstochowa,"1,51","1,38",53%,"13,81","5,05","4,95","3,81","36,59%","9,78%","4,46","1,00","3,38","16,11","2,22","0,05",RCZ
Śląsk Wrocław,"1,24","1,38",51%,"12,92","4,95","5,05","2,92","38,28%","9,21%","4,59","1,62","3,00","13,38","1,78","0,00",ŚLĄ
Wisła Kraków,"1,51","1,19",48%,"15,57","4,73","5,97","4,86","30,38%","9,72%","5,70","1,19","2,65","14,51","2,27","0,05",WIS
Wisła Płock,"1,46","1,22",53%,"13,16","4,43","5,30","3,43","33,68%","10,68%","4,57","1,57","2,92","18,22","2,51","0,16",WPŁ
Zagłębie Lubin,"1,43","1,65",48%,"13,62","4,84","5,49","3,30","35,52%","10,32%","4,57","1,27","3,76","14,43","2,11","0,05",ZAG
