ZAWODNIK,KLUB,GOLE,LN,PN,G,Inne
Bartosz Slisz,Zagłębie/Legia,2,0,1,1,0
Jarosław Jach,Raków Częstochowa,2,0,0,2,0
Michał Nalepa II,Lechia Gdańsk,2,0,2,0,0
Hubert Matynia,Pogoń Szczecin,2,0,2,0,0
Juan Camara,Jagiellonia,2,2,0,0,0
Szymon Matuszek,Górnik Zabrze,2,0,0,2,0
Piotr Malinowski,Raków Częstochowa,2,0,2,0,0
Ricardo Guima,ŁKS Łódź,2,1,1,0,0
Jan Sobociński,ŁKS Łódź,2,0,1,1,0
Daniel Bartl,Raków Częstochowa,2,0,2,0,0
Mateusz Młyński,Arka Gdynia,2,0,1,1,0
Marcin Listkowski,Pogoń Szczecin,2,0,2,0,0
Jaroslav Mihalik,Lechia Gdańsk,2,0,2,0,0
Torgil Gjertsen,Wisła Płock,2,1,0,1,0
Carlos Moros Gracia,ŁKS Łódź,2,0,1,1,0
Dejan Drazić,Zagłębie Lubin,2,1,1,0,0
Filip Marković,Śląsk Wrocław,2,0,1,1,0
Jewgienij Baszkirow,Zagłębie Lubin,2,1,1,0,0
Stavros Vassilantonopoulos,Górnik Zabrze,2,0,2,0,0
Cillian Sheridan,Wisła Płock,2,1,1,0,0
Daniel Szelągowski,Korona Kielce,2,0,2,0,0
Omran Haydary,Lechia Gdańsk,2,1,1,0,0
Adam Deja,Arka Gdynia,1,0,1,0,0
Alan Czerwiński,Zagłębie Lubin,1,0,1,0,0
Jakub Żubrowski,Korona Kielce,1,1,0,0,0
Janusz Gol,Cracovia,1,0,0,1,0
Lubomir Guldan,Zagłębie Lubin,1,1,0,0,0
Maciej Wolski,ŁKS Łódź,1,0,1,0,0
Maksymilian Rozwandowicz,ŁKS Łódź,1,0,1,0,0
Matej Pućko,Korona Kielce,1,0,1,0,0
Michal Siplak,Cracovia,1,1,0,0,0
Miłosz Szczepański,Raków Częstochowa,1,0,1,0,0
Oskar Zawada,Wisła P/Arka,1,0,0,1,0
Patryk Tuszyński,Zagłębie/Piast,1,0,1,0,0
Pirulo,ŁKS Łódź,1,0,1,0,0
Rafał Wolski,Lechia Gdańsk,1,0,1,0,0
Sandro Kulenović,Legia Warszawa,1,0,0,1,0
Karlo Muhar,Lech Poznań,1,0,1,0,0
Kostas Triantafyllopoulos,Pogoń Szczecin,1,0,0,1,0
Ricardo Nunes,Pogoń Szczecin,1,1,0,0,0
Bartosz Kopacz,Zagłębie Lubin,1,0,0,1,0
Błażej Augustyn,Lechia Gdańsk,1,0,0,1,0
Ognjen Mudrinski,Jagiellonia,1,0,1,0,0
Maciej Sadlok,Wisła Kraków,1,1,0,0,0
Rubio,Cracovia,1,0,1,0,0
Ołeksij Dytiatjew,Cracovia,1,0,0,1,0
Marko Vesović,Legia Warszawa,1,0,0,1,0
Tomas Podstawski,Pogoń Szczecin,1,0,0,1,0
David Jablonsky,Cracovia,1,0,0,1,0
Kamil Zapolnik,Górnik Zabrze,1,0,1,0,0
Dominik Nagy,Legia Warszawa,1,0,1,0,0
Tom Hateley,Piast Gliwice,1,0,1,0,0
Łukasz Piątek,ŁKS Łódź,1,1,0,0,0
Żarko Udovicić,Lechia Gdańsk,1,1,0,0,0
Michał Mak,Wisła Kraków,1,0,1,0,0
Jakub Tosik,Zagłębie Lubin,1,0,1,0,0
Dawid Pakulski,Zagłębie Lubin,1,0,1,0,0
Michał Skóraś,Raków/Lech,1,0,1,0,0
Thomas Rogne,Lech Poznań,1,0,0,1,0
Michał Rakoczy,Cracovia,1,0,0,1,0
Marcin Cebula,Korona Kielce,1,0,1,0,0
Jan Grzesik,ŁKS Łódź,1,0,0,1,0
Wojciech Golla,Śląsk Wrocław,1,0,0,1,0
Milan Radin,Korona Kielce,1,1,0,0,0
Robert Gumny,Lech Poznań,1,0,1,0,0
Mikołaj Kwietniewski,Wisła Płock,1,1,0,0,0
Mateusz Wieteska,Legia Warszawa,1,0,0,1,0
Santeri Hostikka,Pogoń Szczecin,1,0,1,0,0
Bartosz Kwiecień,Jagiellonia,1,0,0,1,0
Piotr Pyrdoł,ŁKS/Legia,1,0,1,0,0
Michał Trąbka,ŁKS Łódź,1,0,1,0,0
Tomasz Jodłowiec,Piast Gliwice,1,0,0,1,0
Przemysław Wiśniewski,Górnik Zabrze,1,0,1,0,0
Kamil Piątkowski,Raków Częstochowa,1,0,1,0,0
David Stec,Pogoń Szczecin,1,0,1,0,0
Diego Ferraresso,Cracovia,1,0,1,0,0
Kamil Pestka,Cracovia,1,1,0,0,0
Paweł Bochniewicz,Górnik Zabrze,1,0,1,0,0
Lubomir Satka,Lech Poznań,1,1,0,0,0
Lukas Klemenz,Wisła Kraków,1,0,1,0,0
Vullnet Basha,Wisła Kraków,1,0,1,0,0
Łukasz Burliga,Wisła Kraków,1,0,1,0,0
Tomas Vestenicky,Cracovia,1,0,1,0,0
Conrado,Lechia Gdańsk,1,1,0,0,0
Filip Raicević,Śląsk Wrocław,1,0,1,0,0
Jakub Czerwiński,Piast Gliwice,1,0,1,0,0
Fran Tudor,Raków Częstochowa,1,0,1,0,0
Nemanja Mihajlović,Arka Gdynia,1,0,1,0,0
Bogdan Tiru,Jagiellonia,1,0,1,0,0
Lubomir Tupta,Wisła Kraków,1,0,1,0,0
Piotr Krawczyk,Górnik Zabrze,1,1,0,0,0
Maciej Makuszewski,Jagiellonia,1,0,1,0,0
Przemysław Mystkowski,Jagiellonia,1,0,1,0,0
Ariel Borysiuk,Jagiellonia,1,0,1,0,0
Hebert,Wisła Kraków,1,0,0,1,0
Antonio Dominguez,ŁKS Łódź,1,1,0,0,0
Adam Ratajczyk,ŁKS Łódź,1,0,1,0,0
Michał Helik,Cracovia,1,0,0,1,0
Alasana Manneh,Górnik Zabrze,1,1,0,0,0
Jacek Kiełb,Korona Kielce,1,1,0,0,0
Angel Garcia,Wisła Płock,1,0,1,0,0
Kenny Saief,Lechia Gdańsk,1,1,0,0,0
David Tijanić,Raków Częstochowa,1,1,0,0,0
Rafał Janicki,Wisła Kraków,1,0,0,1,0
Vamara Sanogo,Legia Warszawa,1,1,0,0,0
Grzegorz Szymusik,Korona Kielce,1,1,0,0,0
Hubert Adamczyk,Wisła Płock,1,1,0,0,0
Ze Gomes,Lechia Gdańsk,1,0,1,0,0
Themistoklis Tzimopoulos,Korona Kielce,1,0,0,1,0
Igor Lewczuk,Legia Warszawa,1,0,1,0,0
Kacper Smoliński,Pogoń Szczecin,1,0,1,0,0
Michał Koj,Górnik Zabrze,1,1,0,0,0
Mark Tamas,Śląsk Wrocław,1,0,1,0,0
Iwo Kaczmarski,Korona Kielce,1,0,1,0,0
Damian Warchoł,Legia Warszawa,1,0,0,1,0
