KLUB,RAZEM,KARNY,ROŻNY,WOLNY,WOLNY BEZP,AUT,PO SFG,% PO SFG,Z GRY,% Z GRY,SUMA,767,87,104,54,20,8,275,"35,85%",492,"64,15%"
Arka Gdynia,57,5,12,3,2,0,22,"38,60%",35,"61,40%"
Cracovia,40,4,6,2,0,0,12,"30,00%",28,"70,00%"
Górnik Zabrze,47,5,10,3,1,0,19,"40,43%",28,"59,57%"
Jagiellonia,51,6,2,6,0,1,15,"29,41%",36,"70,59%"
Korona Kielce,48,5,3,4,2,1,15,"31,25%",33,"68,75%"
Lech Poznań,35,6,7,3,0,0,16,"45,71%",19,"54,29%"
Lechia Gdańsk,50,8,5,3,4,1,21,"42,00%",29,"58,00%"
Legia Warszawa,35,6,4,2,0,2,14,"40,00%",21,"60,00%"
ŁKS Łódź,68,8,10,8,2,2,30,"44,12%",38,"55,88%"
Piast Gliwice,32,4,3,3,2,0,12,"37,50%",20,"62,50%"
Pogoń Szczecin,39,2,8,2,2,0,14,"35,90%",25,"64,10%"
Raków Częstochowa,56,8,7,1,0,1,17,"30,36%",39,"69,64%"
Śląsk Wrocław,46,6,7,3,1,0,18,"39,13%",28,"60,87%"
Wisła Kraków,56,4,8,6,0,0,19,"33,93%",37,"66,07%"
Wisła Płock,54,5,5,2,2,0,14,"25,93%",40,"74,07%"
Zagłębie Lubin,53,5,7,3,2,0,17,"32,08%",36,"67,92%"
