KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Lech Poznań,18,29,7,8,3,30,21,9,"1,61","1,67","1,17"
Lechia Gdańsk,19,30,8,6,5,28,28,0,"1,58","1,47","1,47"
Legia Warszawa,18,28,8,4,6,22,19,3,"1,56","1,22","1,06"
Pogoń Szczecin,19,28,7,7,5,19,22,-3,"1,47","1,00","1,16"
Jagiellonia,19,23,6,5,8,23,33,-10,"1,21","1,21","1,74"
Piast Gliwice,18,21,6,3,9,16,20,-4,"1,17","0,89","1,11"
Wisła Płock,18,20,5,5,8,18,31,-13,"1,11","1,00","1,72"
Zagłębie Lubin,18,20,6,2,10,25,29,-4,"1,11","1,39","1,61"
Cracovia,19,21,6,3,10,23,24,-1,"1,11","1,21","1,26"
Śląsk Wrocław,18,19,5,4,9,14,18,-4,"1,06","0,78","1,00"
Wisła Kraków,19,18,5,3,11,19,38,-19,"0,95","1,00","2,00"
Raków Częstochowa,18,17,5,2,11,21,34,-13,"0,94","1,17","1,89"
Górnik Zabrze,18,15,3,6,9,15,27,-12,"0,83","0,83","1,50"
Arka Gdynia,19,15,4,3,12,18,35,-17,"0,79","0,95","1,84"
Korona Kielce,19,14,3,5,11,15,31,-16,"0,74","0,79","1,63"
ŁKS Łódź,19,6,1,3,15,12,39,-27,"0,32","0,63","2,05"
