KOL,STRZELEC,DLA,PRZECIW,BRAMKARZ,T/N/O,FAULOWAŁ,FAULOWANY,SĘDZIA
1,Adnan Kovacević,Korona Kielce,Raków Częstochowa,Michał Gliwa,T,Michał Gliwa,Erik Pacinda,Piotr Lasyk
1,Igor Angulo,Górnik Zabrze,Wisła Płock,Bartłomiej Żynel,O,Bartłomiej Żynel,Szymon Matuszek,Paweł Raczkowski
1,Dominik Furman,Wisła Płock,Górnik Zabrze,Martin Chudy,T,Przemysław Wiśniewski,Oskar Zawada,Paweł Raczkowski
2,Darko Jevtić,Lech Poznań,Wisła Płock,Bartłomiej Żynel,T,Bartłomiej Żynel,Paweł Tomczyk,Jarosław Przybył
2,Maksymilian Rozwandowicz,ŁKS Łódź,Cracovia,Michal Peškovič,T,Michał Helik,ręka,Szymon Marciniak
2,Łukasz Broź,Śląsk Wrocław,Piast Gliwice,Frantisek Plach,T,Jakub Holubek,Łukasz Broź,Paweł Raczkowski
4,Robert Pich,Śląsk Wrocław,Lech Poznań,Mickey van der Hart,T,Thomas Rogne,ręka,Szymon Marciniak
4,Maksymilian Rozwandowicz,ŁKS Łódź,Piast Gliwice,Frantisek Plach,O,Bartosz Rymaniak,Artur Bogusz,Łukasz Szczech
5,Artur Sobiech,Lechia Gdańsk,Raków Częstochowa,Michał Gliwa,T,Emir Azemović,Artur Sobiech,Jarosław Przybył
6,Sergiu Hanca,Cracovia,Arka Gdynia,Pavels Šteinbors,T,Adam Deja,David Jablonsky,Paweł Gil
6,Petr Schwarz,Raków Częstochowa,Lech Poznań,Mickey van der Hart,T,Lubomir Satka,Miłosz Szczepański,Mariusz Złotek
6,Petr Schwarz,Raków Częstochowa,Lech Poznań,Mickey van der Hart,T,Christian Gytkjaer,ręka,Mariusz Złotek
6,Igor Angulo,Górnik Zabrze,Korona Kielce,Paweł Sokół,T,Ognjen Gnjatić,Igor Angulo,Wojciech Myć
6,Łukasz Sekulski,ŁKS Łódź,Legia Warszawa,Radosław Majecki,T,Salvador Agra,Dani Ramirez,Jarosław Przybył
7,Jorge Felix,Piast Gliwice,Lechia Gdańsk,Dusan Kuciak,T,Michał Nalepa,ręka,Paweł Raczkowski
7,Jarosław Niezgoda,Legia Warszawa,Raków Częstochowa,Michał Gliwa,T,Tomas Petrasek,Luquinhas,Tomasz Musiał
8,Paweł Brożek,Wisła Kraków,Korona Kielce,Marek Kozioł,T,Mateusz Spychała,Michał Mak,Paweł Gil
9,Jorge Felix,Piast Gliwice,Raków Częstochowa,Michał Gliwa,T,Igor Sapała,ręka,Wojciech Myć
9,Paweł Tomczyk,Lech Poznań,Jagiellonia Białystok,Damian Węglarz,T,Martin Kostal,ręka,Tomasz Musiał
9,Filip Starzyński,Zagłębie Lubin,Śląsk Wrocław,Matus Putnocky,T,Wojciech Golla,ręka,Szymon Marciniak
9,Jarosław Niezgoda,Legia Warszawa,Cracovia,Michal Peškovič,T,David Jablonsky,Jarosław Niezgoda,Bartosz Frankowski
10,Adam Buksa,Pogoń Szczecin,Jagiellonia Białystok,Damian Węglarz,T,Juan Camara,Sebastian Kowalczyk,Bartosz Frankowski
11,Adnan Kovacević,Korona Kielce,ŁKS Łódź,Arkadiusz Malarz,T,Piotr Pyrdoł,ręka,Bartosz Frankowski
13,Łukasz Sekulski,ŁKS Łódź,Raków Częstochowa,Jakub Szumski,O,Jarosław Jach,Łukasz Sekulski,Szymon Marciniak
13,Artur Sobiech,Lechia Gdańsk,Górnik Zabrze,Martin Chudy,T,Paweł Bochniewicz,Rafał Wolski,Tomasz Musiał
13,Marko Vejinović,Arka Gdynia,Śląsk Wrocław,Matus Putnocky,T,Przemysław Płacheta,ręka,Piotr Lasyk
13,Jose Kante,Legia Warszawa,Wisła Kraków,Michał Buchalik,O,Chuca,Luquinhas,Krzysztof Jakubik
16,Christian Gytkjaer,Lech Poznań,Piast Gliwice,Frantisek Plach,T,Piotr Malarczyk,Pedro Tiba,Szymon Marciniak
16,Adnan Kovacević,Korona Kielce,Raków Częstochowa,Jakub Szumski,T,Emir Azemović,Marcin Cebula,Tomasz Musiał
16,Adam Buksa,Pogoń Szczecin,Legia Warszawa,Radosław Majecki,T,Artur Jędrzejczyk,Sebastian Kowalczyk,Bartosz Frankowski
16,Jakub Błaszczykowski,Wisła Kraków,Śląsk Wrocław,Matus Putnocky,T,Wojciech Golla,Damian Pawłowski,Daniel Stefański
17,Michał Nalepa,Arka Gdynia,Pogoń Szczecin,Dante Stipica,T,David Stec,Fabian Serrarens,Szymon Marciniak
17,Robert Pich,Śląsk Wrocław,Piast Gliwice,Frantisek Plach,T,Tomas Huk,ręka,Paweł Raczkowski
17,Jarosław Niezgoda,Legia Warszawa,Korona Kielce,Marek Kozioł,T,Ivan Marquez,ręka,Paweł Gil
17,Dani Ramirez,ŁKS Łódź,Cracovia,Michal Peškovič,T,Michał Helik,Maciej Wolski,Piotr Lasyk
18,Igor Angulo,Górnik Zabrze,Wisła Kraków,Michał Buchalik,T,Vullnet Basha,David Kopacz,Bartosz Frankowski
18,Flavio Paixao,Lechia Gdańsk,Wisła Płock,Thomas Dahne,T,Thomas Dahne,Rafał Wolski,Łukasz Szczech
18,Robert Pich,Śląsk Wrocław,Legia Warszawa,Radosław Majecki,O,Igor Lewczuk,Damian Gąska,Piotr Lasyk
19,Filip Starzyński,Zagłębie Lubin,Arka Gdynia,Pavels Šteinbors,T,Adam Deja,Bartosz Białek,Łukasz Szczech
19,Petr Schwarz,Raków Częstochowa,Górnik Zabrze,Martin Chudy,T,Martin Chudy,Sebastian Musiolik,Szymon Marciniak
19,Dominik Furman,Wisła Płock,Legia Warszawa,Radosław Majecki,T,Domagoj Antolić,Giorgi Merebaszwili,Jarosław Przybył
19,Jesus Imaz,Jagiellonia Białystok,Lechia Gdańsk,Zlatan Alomerović,T,Mario Maloca,Bartosz Bida,Mariusz Złotek
20,Dani Ramirez,ŁKS Łódź,Wisła Kraków,Michał Buchalik,T,Rafał Janicki,ręka,Paweł Raczkowski
20,Jakub Błaszczykowski,Wisła Kraków,ŁKS Łódź,Arkadiusz Malarz,T,Kamil Rozmus,ręka,Paweł Raczkowski
20,Dani Ramirez,ŁKS Łódź,Wisła Kraków,Michał Buchalik,T,Marcin Wasilewski,ręka,Paweł Raczkowski
20,Daniel Bartl,Raków Częstochowa,Lechia Gdańsk,Zlatan Alomerović,T,Sławomir Peszko,Rusłan Babenko,Piotr Lasyk
20,Jesus Imaz,Jagiellonia Białystok,Górnik Zabrze,Martin Chudy,N,Przemysław Wiśniewski,Bartosz Bida,Bartosz Frankowski
20,Taras Romanczuk,Jagiellonia Białystok,Górnik Zabrze,Martin Chudy,O,Boris Sekulić,Juan Camara,Bartosz Frankowski
21,Krzysztof Mączyński,Śląsk Wrocław,Lechia Gdańsk,Dusan Kuciak,T,Tomasz Makowski,Michał Chrapek,Tomasz Musiał
21,Christian Gytkjaer,Lech Poznań,Raków Częstochowa,Jakub Szumski,T,Jakub Szumski,Christian Gytkjaer,Paweł Raczkowski
21,Srdan Spiridonović,Pogoń Szczecin,Wisła Płock,Thomas Dahne,T,Cezary Stefańczyk,ręka,Krzysztof Jakubik
21,Jorge Felix,Piast Gliwice,Zagłębie Lubin,Konrad Forenc,T,Damian Oko,Patryk Tuszyński,Szymon Marciniak
21,Domagoj Antolić,Legia Warszawa,ŁKS Łódź,Arkadiusz Malarz,T,Jan Sobociński,ręka,Bartosz Frankowski
22,Igor Angulo,Górnik Zabrze,Arka Gdynia,Pavels Šteinbors,N,Christian Maghoma,Łukasz Wolsztyński,Szymon Marciniak
22,Flavio Paixao,Lechia Gdańsk,Piast Gliwice,Frantisek Plach,N,Sebastian Milewski,Conrado,Tomasz Kwiatkowski
22,Erik Exposito,Śląsk Wrocław,Pogoń Szczecin,Dante Stipica,N,Benedikt Zech,ręka,Łukasz Szczech
22,Daniel Bartl,Raków Częstochowa,Legia Warszawa,Radosław Majecki,N,Artur Jędrzejczyk,Sebastian Musiolik,Piotr Lasyk
22,Petr Schwarz,Raków Częstochowa,Legia Warszawa,Radosław Majecki,T,Luquinhas,Miłosz Szczepański,Piotr Lasyk
22,Sergiu Hanca,Cracovia,Lech Poznań,Mickey van der Hart,T,Thomas Rogne,Rafael Lopes,Bartosz Frankowski
23,Zvonimir Kozulj,Pogoń Szczecin,ŁKS Łódź,Arkadiusz Malarz,N,Tadej Vidmajer,Zvonimir Kozulj,Bartosz Frankowski
24,Jakub Błaszczykowski,Wisła Kraków,Wisła Płock,Thomas Dahne,T,Damian Rasak,Vukan Savicević,Łukasz Szczech
24,Sergiu Hanca,Cracovia,Legia Warszawa,Radosław Majecki,T,Marko Vesović,ręka,Szymon Marciniak
25,Jakub Błaszczykowski,Wisła Kraków,Cracovia,Michal Peškovič,T,David Jablonsky,David Niepsuj,Bartosz Frankowski
25,Antonio Dominguez,ŁKS Łódź,Zagłębie Lubin,Domnik Hładun,T,Jewgienij Baszkirow,ręka,Krzysztof Jakubik
26,Łukasz Zwoliński,Lechia Gdańsk,Zagłębie Lubin,Domnik Hładun,T,Lubomir Guldan,ręka,Paweł Gil
26,Filip Starzyński,Zagłębie Lubin,Lechia Gdańsk,Dusan Kuciak,T,Tomasz Makowski,ręka,Paweł Gil
26,Martin Pospisil,Jagiellonia Białystok,Śląsk Wrocław,Matus Putnocky,T,Mark Tamas,Przemysław Mystkowski,Piotr Lasyk
26,Adnan Kovacević,Korona Kielce,ŁKS Łódź,Arkadiusz Malarz,T,Carlos Moros Garcia,Mateusz Spychała,Daniel Stefański
27,Michał Chrapek,Śląsk Wrocław,Raków Częstochowa,Jakub Szumski,T,Tomas Petrasek,Robert Pich,Jarosław Przybył
27,Flavio Paixao,Lechia Gdańsk,Arka Gdynia,Pavels Šteinbors,T,Frederik Helstrup,ręka,Szymon Marciniak
27,Marko Vejinović,Arka Gdynia,Lechia Gdańsk,Dusan Kuciak,T,Karol Fila,Mateusz Młyński,Szymon Marciniak
27,Marko Vejinović,Arka Gdynia,Lechia Gdańsk,Dusan Kuciak,T,Łukasz Zwoliński,ręka,Szymon Marciniak
27,Flavio Paixao,Lechia Gdańsk,Arka Gdynia,Pavels Šteinbors,T,Frederik Helstrup,Michał Nalepa,Szymon Marciniak
28,Dominik Furman,Wisła Płock,Jagiellonia Białystok,Damian Węglarz,T,Paweł Olszewski,Giorgi Merebaszwili,Tomasz Kwiatkowski
28,Filip Starzyński,Zagłębie Lubin,Lech Poznań,Mickey van der Hart,T,Jakub Kamiński,Filip Starzyński,Piotr Lasyk
28,Filip Starzyński,Zagłębie Lubin,Lech Poznań,Mickey van der Hart,T,Wołodymyr Kostewycz,ręka,Piotr Lasyk
28,Dani Ramirez,Lech Poznań,Zagłębie Lubin,Domnik Hładun,T,Lubomir Guldan,ręka,Piotr Lasyk
28,Michał Chrapek,Śląsk Wrocław,Arka Gdynia,Pavels Šteinbors,T,Mateusz Młyński,Robert Pich,Paweł Raczkowski
28,Marko Vejinović,Arka Gdynia,Śląsk Wrocław,Matus Putnocky,O,Israel Puerto,ręka,Paweł Raczkowski
29,Damjan Bohar,Zagłębie Lubin,Korona Kielce,Marek Kozioł,T,Adnan Kovacević,ręka,Zbigniew Dobrynin
29,Jakub Błaszczykowski,Wisła Kraków,Raków Częstochowa,Jakub Szumski,T,Kamil Piątkowski,ręka,Mariusz Złotek
29,Felicio Brown Forbes,Raków Częstochowa,Wisła Kraków,Michał Buchalik,T,Lukas Klemenz,ręka,Mariusz Złotek
29,Martin Pospisil,Jagiellonia Białystok,ŁKS Łódź,Arkadiusz Malarz,T,Tadej Vidmajer,Zoran Arsenić,Szymon Marciniak
30,Piotr Parzyszek,Piast Gliwice,Jagiellonia Białystok,Damian Węglarz,T,Zoran Arsenić,Martin Konczkowski,Paweł Raczkowski
30,Tom Hateley,Piast Gliwice,Jagiellonia Białystok,Damian Węglarz,T,Bogdan Tiru,Tomasz Jodłowiec,Paweł Raczkowski
30,Christian Gytkjaer,Lech Poznań,Korona Kielce,Marek Kozioł,T,Grzegorz Szymusik,ręka,Tomasz Musiał
31,Łukasz Zwoliński,Lechia Gdańsk,Pogoń Szczecin,Dante Stipica,O,Kostas Triantafyllopoulos,Tomasz Makowski,Paweł Gil
32,Michał Nalepa,Arka Gdynia,Zagłębie Lubin,Domnik Hładun,T,Alan Czerwiński,ręka,Paweł Raczkowski
32,Igor Angulo,Górnik Zabrze,ŁKS Łódź,Arkadiusz Malarz,T,Arkadiusz Malarz,Giorgos Giakoumakis,Tomasz Musiał
32,Jakub Błaszczykowski,Wisła Kraków,Wisła Płock,Krzysztof Kamiński,T,Michał Marcjanik,ręka,Bartosz Frankowski
32,Flavio Paixao,Lechia Gdańsk,Piast Gliwice,Frantisek Plach,T,Uros Korun,Conrado,Tomasz Kwiatkowski
33,Jorge Felix,Piast Gliwice,Legia Warszawa,Radosław Majecki,T,Paweł Wszołek,Sebastian Milewski,Szymon Marciniak
33,Jakub Moder,Lech Poznań,Śląsk Wrocław,Matus Putnocky,T,Israel Puerto,ręka,Tomasz Kwiatkowski
34,Alon Turgeman,Wisła Kraków,ŁKS Łódź,Arkadiusz Malarz,T,Jan Sobociński,Alon Turgeman,Bartosz Frankowski
34,Rafał Boguski,Wisła Kraków,ŁKS Łódź,Arkadiusz Malarz,O,Maksymilian Rozwandowicz,David Niepsuj,Bartosz Frankowski
34,Sergiu Hanca,Cracovia,Lechia Gdańsk,Dusan Kuciak,T,Flavio Paixao,ręka,Paweł Raczkowski
34,Adam Frączczak,Pogoń Szczecin,Jagiellonia Białystok,Damian Węglarz,T,Damian Węglarz,Adam Frączczak,Szymon Marciniak
34,Jakov Puljić,Jagiellonia Białystok,Pogoń Szczecin,Dante Stipica,T,Ricardo Nunes,Jakub Wójcicki,Szymon Marciniak
34,Dominik Furman,Wisła Płock,Górnik Zabrze,Martin Chudy,O,Daniel Ściślak,Mateusz Szwoch,Dominik Sulikowski
35,Petr Schwarz,Raków Częstochowa,Górnik Zabrze,Martin Chudy,T,Przemysław Wiśniewski,ręka,Łukasz Szczech
35,Michał Nalepa,Arka Gdynia,ŁKS Łódź,Arkadiusz Malarz,T,Maciej Wolski,Marcus Vinicius,Artur Aluszyk
35,Alon Turgeman,Wisła Kraków,Korona Kielce,Marek Kozioł,O,Themistoklis Tzimopoulos,Rafał Boguski,Wojciech Myć
35,Adam Frączczak,Pogoń Szczecin,Śląsk Wrocław,Matus Putnocky,T,Israel Puerto,Adam Frączczak,Paweł Raczkowski
36,Gerard Badia,Piast Gliwice,Pogoń Szczecin,Dante Stipica,O,Dante Stipica,Patryk Tuszyński,Krzysztof Jakubik
37,Filip Starzyński,Zagłębie Lubin,Górnik Zabrze,Martin Chudy,T,Paweł Bochniewicz,Bartosz Białek,Paweł Gil
37,Marcin Wasilewski,Wisła Kraków,Arka Gdynia,Kacper Krzepisz,O,Kacper Krzepisz,Dawid Szot,Damian Sylwestrzak
