ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1
Dani Suarez,Górnik Zabrze,4,0,4,1,0,2
Gerard Badia,Piast Gliwice,2,2,4,1,0,0
Marcin Warcholak,Arka Gdynia,3,1,4,0,0,0
Robert Gumny,Lech Poznań,0,4,4,0,0,0
Sito Riera,Śląsk Wrocław,0,4,4,0,1,0
Marcin Cebula,Korona Kielce,2,2,4,0,0,0
Ivan Jukić,Korona Kielce,4,0,4,1,0,0
Kamil Jóźwiak,Lech Poznań,3,1,4,2,0,2
Vladislavs Gutkovskis,Bruk-Bet,3,1,4,1,1,1
Patrik Mraz,Sandecja,1,3,4,0,0,0
Mateusz Piątkowski,Wisła Płock,2,2,4,0,0,0
Grzegorz Piesio,Arka Gdynia,1,3,4,1,1,0
Gabriel Iancu,Bruk-Bet,2,2,4,1,1,1
Filip Jagiełło,Zagłębie Lubin,1,3,4,0,1,0
Mateusz Możdżeń,Korona Kielce,2,2,4,1,0,1
Simeon Sławczew,Lechia Gdańsk,1,3,4,0,1,0
Michal Piter-Bućko,Sandecja,3,1,4,0,0,1
Bartosz Śpiączka,Bruk-Bet,3,1,4,0,0,1
Maciej Małkowski,Sandecja,1,3,4,0,0,0
Karol Angielski,Piast Gliwice,2,2,4,1,2,0
Bartosz Kwiecień,Jagiellonia,3,1,4,0,0,0
Miroslav Radović,Legia Warszawa,2,2,4,2,0,0
Roman Bezjak,Jagiellonia,3,1,4,0,0,1
Marko Vesović,Legia Warszawa,1,3,4,0,0,1
Lasza Dwali,Pogoń Szczecin,2,2,4,0,0,0
Damian Byrtek,Wisła Płock,2,1,3,0,0,2
Maciej Sadlok,Wisła Kraków,0,3,3,0,0,0
Paweł Stolarski,Lechia Gdańsk,0,3,3,0,0,0
Jakub Bartosz,Wisła K/Sandecja,1,2,3,1,1,0
Nicklas Barkroth,Lech Poznań,0,3,3,0,3,0
Patryk Małecki,Wisła Kraków,1,2,3,0,0,1
Nabil Aankour,Korona Kielce,2,1,3,0,0,0
Maciej Górski,Korona Kielce,2,1,3,0,0,0
Michal Siplak,Cracovia,1,2,3,0,0,1
Patryk Dziczek,Piast Gliwice,1,2,3,0,0,0
Tomasz Brzyski,Sandecja,0,3,3,0,1,0
Mateusz Cetnarski,Sandecja,2,1,3,0,0,0
Guilherme,Legia Warszawa,3,0,3,0,0,2
Łukasz Burliga,Jagiellonia,1,2,3,0,0,0
Martin Miković,Bruk-Bet,0,3,3,0,0,0
Łukasz Madej,Śląsk Wrocław,1,2,3,1,0,0
Piotr Wlazło,Jagiellonia,2,1,3,1,0,0
Bartosz Szeliga,Bruk-Bet,1,2,3,0,0,1
David Niepsuj,Pogoń Szczecin,1,2,3,0,0,0
Kamil Wojtkowski,Wisła Kraków,1,2,3,0,1,0
Thibault Moulin,Legia Warszawa,2,1,3,1,0,1
Rafał Wolski,Lechia Gdańsk,1,2,3,0,0,0
Piotr Malarczyk,Cracovia/Korona,1,2,3,0,0,1
Radek Dejmek,Korona Kielce,1,2,3,0,1,0
Mateusz Mak,Piast Gliwice,2,1,3,1,1,1
Joel Valencia,Piast Gliwice,3,0,3,1,0,1
Michał Marcjanik,Arka Gdynia,2,1,3,0,0,1
Mihai Radut,Lech Poznań,0,3,3,0,1,0
Vlastimir Jovanović,Bruk-Bet,2,1,3,0,0,0
Szymon Matuszek,Górnik Zabrze,3,0,3,0,0,1
Miroslav Covilo,Cracovia,1,2,3,0,0,0
Matic Fink,Cracovia,2,1,3,0,0,1
Igors Tarasovs,Śląsk Wrocław,1,2,3,0,0,0
Siergiej Kriwiec,Arka Gdynia,2,1,3,0,0,0
Luka Zarandia,Arka Gdynia,1,2,3,0,0,0
Lubomir Guldan,Zagłębie Lubin,1,2,3,0,0,1
Emir Dilaver,Lech Poznań,3,0,3,0,0,1
Paweł Brożek,Wisła Kraków,1,2,3,1,0,0
Wołodymyr Kostewycz,Lech Poznań,0,3,3,0,0,0
Cafu,Legia Warszawa,2,1,3,0,0,1
Milan Dimun,Cracovia,3,0,3,0,0,1
Marcin Urynowicz,Górnik Zabrze,3,0,3,0,0,3
Dariusz Formella,Pogoń Szczecin,2,0,2,1,0,2
Dominik Nagy,Legia Warszawa,1,1,2,0,0,1
Michał Nalepa I,Arka Gdynia,1,1,2,1,0,0
Patryk Kun,Arka Gdynia,2,0,2,0,0,2
Petar Brlek,Wisła Kraków,2,0,2,0,0,1
Martin Nespor,Zagłębie Lubin,2,0,2,0,0,2
David Guba,Bruk-Bet,2,0,2,2,0,0
Nicki Bille Nielsen,Lech Poznań,1,1,2,0,0,1
Josip Barisić,Piast Gliwice,1,1,2,1,1,0
Dorde Cotra,Śląsk Wrocław,0,2,2,0,0,0
Daniel Dziwniel,Zagłębie Lubin,0,2,2,0,0,0
Arkadiusz Woźniak,Zagłębie Lubin,0,2,2,0,0,0
Krzysztof Mączyński,Legia Warszawa,1,1,2,0,0,0
Rafał Wolsztyński,Górnik Zabrze,2,0,2,2,0,0
Bartłomiej Dudzic,Sandecja,2,0,2,0,0,1
Stojan Vranjes,Piast Gliwice,1,1,2,0,1,0
Michael Gardawski,Korona Kielce,0,2,2,0,0,0
Romario Balde,Lechia Gdańsk,1,1,2,1,1,0
Błażej Augustyn,Lechia Gdańsk,2,0,2,0,0,2
Łukasz Zwoliński,Pogoń Szczecin,1,1,2,1,1,0
Adnan Kovacević,Korona Kielce,0,2,2,0,0,0
Jarosław Kubicki,Zagłębie Lubin,1,1,2,0,0,1
Igor Łasicki,Wisła Płock,2,0,2,0,0,1
Łukasz Broź,Legia Warszawa,1,1,2,0,0,1
Kamil Pestka,Cracovia,0,2,2,0,0,0
Sasa Balić,Zagłębie Lubin,1,1,2,0,0,0
Konstantin Vassiljev,Piast Gliwice,1,1,2,1,0,1
Frederik Helstrup,Arka Gdynia,0,2,2,0,0,0
Grzegorz Kuświk,Lechia Gdańsk,0,2,2,0,2,0
Artem Putiwcew,Bruk-Bet,1,1,2,0,0,0
Eduardo,Legia Warszawa,0,2,2,0,1,0
Cornel Rapa,Pogoń Szczecin,0,2,2,0,0,0
Morten Rasmussen,Pogoń Szczecin,1,1,2,0,0,0
Ołeksij Chobłenko,Lech Poznań,2,0,2,2,0,1
William Remy,Legia Warszawa,1,1,2,0,0,0
Tomasz Cywka,Wisła Kraków,0,2,2,0,0,0
Pawło Ksionz,Sandecja,0,2,2,0,1,0
Tomasz Hołota,Pogoń Szczecin,1,1,2,0,0,0
Augusto,Śląsk Wrocław,0,2,2,0,0,0
Enrique Esqueda,Arka Gdynia,2,0,2,2,0,0
Sanel Kapidzić,Korona Kielce,2,0,2,1,0,1
Mateusz Cholewiak,Śląsk Wrocław,1,1,2,0,0,1
Ivan Runje,Jagiellonia,1,1,2,0,0,0
Tom Hateley,Piast Gliwice,1,1,2,0,0,0
Daniel Łuczak,Śląsk Wrocław,1,1,2,0,1,1
Adam Mójta,Piast Gliwice,0,1,1,0,1,0
Dawid Kort,Pogoń Szczecin,0,1,1,0,0,0
Mateusz Matras,Lechia/Zagłębie,1,0,1,0,0,0
Sebastian Rudol,Pogoń Szczecin,1,0,1,0,0,0
Daniel Łukasik,Lechia Gdańsk,0,1,1,0,0,0
Patryk Fryc,Bruk-Bet,0,1,1,0,0,0
Artur Jędrzejczyk,Legia Warszawa,0,1,1,0,0,0
Kamil Słaby,Bruk-Bet,1,0,1,0,0,0
Michał Mak,Śląsk Wrocław,1,0,1,0,0,0
Jarosław Jach,Zagłębie Lubin,1,0,1,0,0,1
Mateusz Wdowiak,Cracovia,1,0,1,0,0,0
Jaroslav Mihalik,Cracovia,0,1,1,0,0,0
Patrik Misak,Bruk-Bet,0,1,1,0,0,0
Lukas Kubań,Sandecja,0,1,1,0,0,0
Yannick Kakoko,Arka Gdynia,1,0,1,0,0,0
Jakub Wawrzyniak,Lechia Gdańsk,0,1,1,0,0,0
Dawid Sołdecki,Arka Gdynia,0,1,1,0,0,0
Joao Nunes,Lechia Gdańsk,0,1,1,0,1,0
Aleksandar Sedlar,Piast Gliwice,1,0,1,0,0,1
Lennard Sowah,Cracovia,0,1,1,0,0,0
Vitalijs Maksimenko,Bruk-Bet,1,0,1,0,0,0
Jakub Żubrowski,Korona Kielce,0,1,1,0,0,0
Victor Perez,Wisła Kraków,1,0,1,0,0,0
Aleksander Jagiełło,Piast Gliwice,0,1,1,0,1,0
Antoni Łukasiewicz,Arka Gdynia,1,0,1,0,0,1
Mathieu Scalet,Śląsk Wrocław,0,1,1,0,1,0
Maciej Dąbrowski,Legia/Zagłębie,1,0,1,0,0,0
Mariusz Pawelec,Śląsk Wrocław,0,1,1,0,0,0
Marcin Wasilewski,Wisła Kraków,1,0,1,0,0,1
Sebastian Bergier,Śląsk Wrocław,0,1,1,0,0,0
Elhadji Pape Diaw,Korona Kielce,1,0,1,0,0,0
Marcin Pietrowski,Piast Gliwice,0,1,1,0,0,0
Adam Chrzanowski,Lechia Gdańsk,1,0,1,0,0,0
Joona Toivio,Bruk-Bet,1,0,1,0,0,0
Kamil Mazek,Zagłębie Lubin,1,0,1,0,0,1
Kamil Vacek,Śląsk Wrocław,0,1,1,0,1,0
Nikola Vujadinović,Lech Poznań,0,1,1,0,0,0
Nemanja Mitrović,Jagiellonia,1,0,1,0,0,0
Ołeksij Dytiatjew,Cracovia,1,0,1,0,0,0
Rafał Janicki,Lech Poznań,0,1,1,0,1,0
Jakub Wójcicki,Jagiellonia,1,0,1,1,0,0
Adam Wolniewicz,Górnik Zabrze,0,1,1,0,0,0
Fran Velez,Wisła Kraków,1,0,1,0,0,0
Andrij Bohdanow,Arka Gdynia,1,0,1,0,0,1
Jakub Czerwiński,Piast Gliwice,1,0,1,0,0,1
Paweł Żyra,Zagłębie Lubin,0,1,1,0,0,0
Oskar Zawada,Wisła Płock,0,1,1,0,1,0
Adam Matuszczyk,Zagłębie Lubin,0,1,1,0,0,0
Steven Vitoria,Lechia Gdańsk,1,0,1,0,0,0
Kamil Dankowski,Śląsk Wrocław,0,1,1,0,0,0
Tibor Halilović,Wisła Kraków,1,0,1,0,0,0
Damir Sovsić,Sandecja,0,1,1,0,0,0
Nicolai Brock-Madsen,Cracovia,1,0,1,0,0,0
Rafał Grzelak,Bruk-Bet,1,0,1,0,0,0
Daniel Smuga,Górnik Zabrze,0,1,1,0,0,0
Pol Llonch,Wisła Kraków,0,1,1,0,0,0
Michał Nalepa II,Lechia Gdańsk,1,0,1,0,0,1
Paweł Bochniewicz,Górnik Zabrze,1,0,1,0,0,0
Nikola Mitrović,Wisła Kraków,0,1,1,0,0,0
Krzysztof Janus,Arka Gdynia,1,0,1,0,0,1
Jakub Tosik,Zagłębie Lubin,1,0,1,0,0,0
Domagoj Antolić,Legia Warszawa,1,0,1,0,0,1
