KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Arka Gdynia,8,8,0,0,20,3,10,7,9,0,0,9
Bruk-Bet,5,1,1,3,21,8,6,7,11,0,2,9
Cracovia,11,7,3,1,18,4,7,7,8,2,1,5
Górnik Zabrze,14,8,6,0,13,5,4,4,9,2,2,5
Jagiellonia,10,9,1,0,21,10,4,7,6,1,2,3
Korona Kielce,12,9,3,0,17,3,8,6,8,0,2,6
Lech Poznań,12,11,1,0,16,5,9,2,8,0,2,6
Lechia Gdańsk,7,6,1,0,15,3,7,5,15,0,5,10
Legia Warszawa,16,15,0,1,12,6,3,3,8,0,1,7
Piast Gliwice,5,4,1,0,23,4,12,7,8,0,0,8
Pogoń Szczecin,10,7,1,2,16,4,8,4,11,1,0,10
Sandecja,6,2,3,1,17,3,9,5,14,1,3,10
Śląsk Wrocław,11,9,1,1,15,3,7,5,11,1,3,7
Wisła Kraków,11,6,4,1,16,8,6,2,10,1,0,9
Wisła Płock,9,8,0,1,15,7,4,4,13,2,2,9
Zagłębie Lubin,9,8,1,0,21,5,10,6,7,0,2,5
