ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Deniss Rakels,Lech/Cracovia,22,6,"27,3%",1,8,4,"50,0%",0,"0,0%"
Jarosław Kubicki,Zagłębie Lubin,22,6,"27,3%",1,16,4,"25,0%",0,"0,0%"
Gabriel Iancu,Bruk-Bet,21,6,"28,6%",2,14,4,"28,6%",1,"7,1%"
Tibor Halilović,Wisła Kraków,17,6,"35,3%",1,11,4,"36,4%",0,"0,0%"
Gerard Badia,Piast Gliwice,21,5,"23,8%",2,14,4,"28,6%",1,"7,1%"
Patrik Misak,Bruk-Bet,21,4,"19,0%",0,14,4,"28,6%",0,"0,0%"
Krzysztof Mączyński,Legia Warszawa,16,4,"25,0%",1,13,4,"30,8%",1,"7,7%"
Ariel Borysiuk,Lechia Gdańsk,10,4,"40,0%",0,10,4,"40,0%",0,"0,0%"
Christian Gytkjaer,Lech Poznań,75,38,"50,7%",19,6,3,"50,0%",0,"0,0%"
Jarosław Niezgoda,Legia Warszawa,49,24,"49,0%",13,6,3,"50,0%",1,"16,7%"
Aleksandyr Kolew,Sandecja,70,21,"30,0%",7,20,3,"15,0%",0,"0,0%"
Nico Varela,Wisła Płock,43,18,"41,9%",8,15,3,"20,0%",0,"0,0%"
Mateusz Szczepaniak,Cracovia/Piast,52,16,"30,8%",3,14,3,"21,4%",0,"0,0%"
Maciej Jankowski,Piast Gliwice,44,13,"29,5%",3,10,3,"30,0%",0,"0,0%"
Łukasz Piątek,Bruk-Bet,52,12,"23,1%",6,27,3,"11,1%",0,"0,0%"
Samuel Stefanik,Bruk-Bet,40,12,"30,0%",6,20,3,"15,0%",1,"5,0%"
Roman Gergel,Bruk-Bet,27,12,"44,4%",3,12,3,"25,0%",0,"0,0%"
Karol Angielski,Piast Gliwice,23,10,"43,5%",2,4,3,"75,0%",0,"0,0%"
Mario Situm,Lech Poznań,29,8,"27,6%",2,18,3,"16,7%",1,"5,6%"
Adnan Kovacević,Korona Kielce,23,8,"34,8%",0,5,3,"60,0%",0,"0,0%"
Kamil Jóźwiak,Lech Poznań,19,8,"42,1%",3,8,3,"37,5%",1,"12,5%"
Milan Dimun,Cracovia,23,7,"30,4%",3,14,3,"21,4%",1,"7,1%"
Tomasz Jodłowiec,Legia/Piast,21,6,"28,6%",1,9,3,"33,3%",0,"0,0%"
Maciej Górski,Korona Kielce,18,5,"27,8%",2,7,3,"42,9%",1,"14,3%"
Cafu,Legia Warszawa,9,5,"55,6%",2,7,3,"42,9%",0,"0,0%"
Rafał Murawski,Pogoń Szczecin,19,4,"21,1%",0,11,3,"27,3%",0,"0,0%"
Dominik Furman,Wisła Płock,18,4,"22,2%",2,16,3,"18,8%",1,"6,3%"
Marcin Listkowski,Pogoń Szczecin,15,4,"26,7%",0,10,3,"30,0%",0,"0,0%"
Jaroslav Mihalik,Cracovia,12,4,"33,3%",0,10,3,"30,0%",0,"0,0%"
Łukasz Madej,Śląsk Wrocław,10,4,"40,0%",1,9,3,"33,3%",0,"0,0%"
Cornel Rapa,Pogoń Szczecin,10,4,"40,0%",0,5,3,"60,0%",0,"0,0%"
William Remy,Legia Warszawa,10,4,"40,0%",1,9,3,"33,3%",0,"0,0%"
Romario Balde,Lechia Gdańsk,6,4,"66,7%",1,4,3,"75,0%",1,"25,0%"
Maciej Sadlok,Wisła Kraków,17,3,"17,6%",0,12,3,"25,0%",0,"0,0%"
Luka Zarandia,Arka Gdynia,17,3,"17,6%",1,11,3,"27,3%",1,"9,1%"
Damian Rasak,Wisła Płock,16,3,"18,8%",0,15,3,"20,0%",0,"0,0%"
Rafał Grzyb,Jagiellonia,8,3,"37,5%",0,6,3,"50,0%",0,"0,0%"
Florin Purece,Bruk-Bet,5,3,"60,0%",0,3,3,"100,0%",0,"0,0%"
Bartosz Śpiączka,Bruk-Bet,60,15,"25,0%",3,16,2,"12,5%",0,"0,0%"
Rafał Boguski,Wisła Kraków,27,14,"51,9%",4,6,2,"33,3%",0,"0,0%"
Fedor Cernych,Jagiellonia,41,12,"29,3%",3,15,2,"13,3%",1,"6,7%"
Łukasz Wolsztyński,Górnik Zabrze,40,12,"30,0%",4,14,2,"14,3%",0,"0,0%"
Taras Romanczuk,Jagiellonia,38,12,"31,6%",5,9,2,"22,2%",1,"11,1%"
Jakub Mares,Zagłębie Lubin,22,12,"54,5%",4,6,2,"33,3%",0,"0,0%"
Miroslav Covilo,Cracovia,27,11,"40,7%",1,4,2,"50,0%",0,"0,0%"
Łukasz Sekulski,Jagiellonia,18,10,"55,6%",4,6,2,"33,3%",0,"0,0%"
Bartosz Rymaniak,Korona Kielce,34,9,"26,5%",3,9,2,"22,2%",0,"0,0%"
Armando Sadiku,Legia Warszawa,42,8,"19,0%",2,11,2,"18,2%",0,"0,0%"
Mihai Radut,Lech Poznań,19,7,"36,8%",0,12,2,"16,7%",0,"0,0%"
Bartosz Kwiecień,Korona/Jagiellonia,17,6,"35,3%",3,7,2,"28,6%",0,"0,0%"
Dominik Nagy,Legia Warszawa,15,6,"40,0%",1,3,2,"66,7%",0,"0,0%"
Adam Marciniak,Arka Gdynia,13,6,"46,2%",2,4,2,"50,0%",0,"0,0%"
Lubomir Guldan,Zagłębie Lubin,11,6,"54,5%",1,4,2,"50,0%",0,"0,0%"
Dawid Sołdecki,Arka Gdynia,14,5,"35,7%",0,6,2,"33,3%",0,"0,0%"
Vlastimir Jovanović,Bruk-Bet,28,4,"14,3%",2,14,2,"14,3%",0,"0,0%"
Tomasz Hołota,Pogoń Szczecin,19,4,"21,1%",1,10,2,"20,0%",0,"0,0%"
Jakub Wójcicki,Cracovia/Jagiellonia,16,4,"25,0%",1,10,2,"20,0%",0,"0,0%"
Kamil Wojtkowski,Wisła Kraków,14,4,"28,6%",1,9,2,"22,2%",0,"0,0%"
Mateusz Cholewiak,Śląsk Wrocław,14,4,"28,6%",1,7,2,"28,6%",1,"14,3%"
David Niepsuj,Pogoń Szczecin,8,4,"50,0%",1,4,2,"50,0%",0,"0,0%"
Sanel Kapidzić,Korona Kielce,7,4,"57,1%",2,2,2,"100,0%",1,"50,0%"
Tomasz Cywka,Wisła Kraków,16,3,"18,8%",0,15,2,"13,3%",0,"0,0%"
Rafał Grzelak,Bruk-Bet,16,3,"18,8%",1,9,2,"22,2%",1,"11,1%"
Patryk Małecki,Wisła Kraków,14,3,"21,4%",1,10,2,"20,0%",1,"10,0%"
Yannick Kakoko,Arka Gdynia,12,3,"25,0%",1,11,2,"18,2%",0,"0,0%"
Kamil Vacek,Śląsk Wrocław,10,3,"30,0%",0,7,2,"28,6%",0,"0,0%"
Zlatko Janjić,Korona Kielce,10,3,"30,0%",0,6,2,"33,3%",0,"0,0%"
Patryk Lipski,Lechia Gdańsk,8,3,"37,5%",1,4,2,"50,0%",1,"25,0%"
Siergiej Kriwiec,Arka Gdynia,7,3,"42,9%",2,5,2,"40,0%",1,"20,0%"
Paweł Stolarski,Lechia Gdańsk,14,2,"14,3%",0,11,2,"18,2%",0,"0,0%"
Andrij Bohdanow,Arka Gdynia,13,2,"15,4%",1,12,2,"16,7%",1,"8,3%"
Maciej Ambrosiewicz,Górnik Zabrze,11,2,"18,2%",0,9,2,"22,2%",0,"0,0%"
Daniel Łukasik,Lechia Gdańsk,5,2,"40,0%",0,4,2,"50,0%",0,"0,0%"
Gabriel Matei,Bruk-Bet,4,2,"50,0%",0,2,2,"100,0%",0,"0,0%"
Marco Paixao,Lechia Gdańsk,68,30,"44,1%",16,11,1,"9,1%",0,"0,0%"
Nika Kaczarawa,Korona Kielce,36,21,"58,3%",7,3,1,"33,3%",0,"0,0%"
Michal Papadopulos,Piast Gliwice,48,18,"37,5%",9,10,1,"10,0%",0,"0,0%"
Roman Bezjak,jagiellonia,42,15,"35,7%",3,10,1,"10,0%",0,"0,0%"
Kamil Drygas,Pogoń Szczecin,32,14,"43,8%",5,10,1,"10,0%",1,"10,0%"
Adam Gyurcso,Pogoń Szczecin,26,11,"42,3%",2,11,1,"9,1%",0,"0,0%"
Rafał Siemaszko,Arka Gdynia,37,10,"27,0%",5,6,1,"16,7%",0,"0,0%"
Łukasz Trałka,Lech Poznań,30,10,"33,3%",6,7,1,"14,3%",0,"0,0%"
Mateusz Kupczak,Bruk-Bet,25,10,"40,0%",0,5,1,"20,0%",0,"0,0%"
Arkadiusz Reca,Wisła Płock,34,9,"26,5%",3,10,1,"10,0%",0,"0,0%"
Guilherme,Legia Warszawa,31,9,"29,0%",3,12,1,"8,3%",0,"0,0%"
Milos Krasić,Lechia Gdańsk,19,8,"42,1%",1,9,1,"11,1%",0,"0,0%"
Artem Putiwcew,Bruk-Bet,18,8,"44,4%",1,5,1,"20,0%",0,"0,0%"
Kamil Biliński,Wisła Płock,17,8,"47,1%",5,1,1,"100,0%",0,"0,0%"
Joao Oliveira,Lechia Gdańsk,11,8,"72,7%",3,2,1,"50,0%",0,"0,0%"
Adrian Danek,Sandecja,30,7,"23,3%",3,10,1,"10,0%",1,"10,0%"
David Guba,Bruk-Bet,19,7,"36,8%",2,4,1,"25,0%",0,"0,0%"
Bartosz Szeliga,Bruk-Bet,16,7,"43,8%",1,7,1,"14,3%",0,"0,0%"
Dariusz Formella,Pogoń Szczecin,17,6,"35,3%",2,6,1,"16,7%",0,"0,0%"
Marcin Urynowicz,Górnik Zabrze,10,6,"60,0%",3,4,1,"25,0%",1,"25,0%"
Simeon Sławczew,Lechia Gdańsk,22,5,"22,7%",1,12,1,"8,3%",0,"0,0%"
Lukas Haraslin,Lechia Gdańsk,16,5,"31,3%",0,1,1,"100,0%",0,"0,0%"
Adam Dźwigała,Wisła Płock,16,5,"31,3%",0,5,1,"20,0%",0,"0,0%"
Alan Czerwiński,Zagłębie Lubin,15,5,"33,3%",1,4,1,"25,0%",0,"0,0%"
Maciej Małkowski,Sandecja,15,5,"33,3%",1,10,1,"10,0%",0,"0,0%"
Maciej Dąbrowski,Legia Warszawa,12,5,"41,7%",1,4,1,"25,0%",0,"0,0%"
Mateusz Mak,Piast Gliwice,11,5,"45,5%",2,2,1,"50,0%",0,"0,0%"
Artur Jędrzejczyk,Legia Warszawa,10,5,"50,0%",0,1,1,"100,0%",0,"0,0%"
Enrique Esqueda,Arka Gdynia,10,5,"50,0%",2,6,1,"16,7%",0,"0,0%"
Michał Chrapek,Śląsk Wrocław,22,4,"18,2%",1,17,1,"5,9%",0,"0,0%"
Sito Riera,Śląsk Wrocław,16,4,"25,0%",0,8,1,"12,5%",0,"0,0%"
