KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Legia Warszawa,37,70,22,4,11,55,35,20,"1,89","1,49","0,95"
Jagiellonia,37,67,20,7,10,55,41,14,"1,81","1,49","1,11"
Lech Poznań,37,60,16,12,9,53,34,19,"1,62","1,43","0,92"
Górnik Zabrze,37,60,16,12,9,68,54,14,"1,62","1,84","1,46"
Wisła Płock,37,57,17,6,14,53,45,8,"1,54","1,43","1,22"
Wisła Kraków,37,55,15,10,12,51,42,9,"1,49","1,38","1,14"
Zagłębie Lubin,37,52,13,13,11,45,42,3,"1,41","1,22","1,14"
Korona Kielce,37,49,12,13,12,49,54,-5,"1,32","1,32","1,46"
Cracovia,37,50,13,11,13,51,52,-1,"1,35","1,38","1,41"
Śląsk Wrocław,37,50,13,11,13,50,54,-4,"1,35","1,35","1,46"
Pogoń Szczecin,37,45,12,9,16,46,54,-8,"1,22","1,24","1,46"
Arka Gdynia,37,43,11,10,16,46,48,-2,"1,16","1,24","1,30"
Lechia Gdańsk,37,39,9,13,15,46,58,-12,"1,05","1,24","1,57"
Piast Gliwice,37,37,8,13,16,40,48,-8,"1,00","1,08","1,30"
Bruk-Bet,37,36,9,9,19,39,66,-27,"0,97","1,05","1,78"
Sandecja,37,33,6,15,16,34,54,-20,"0,89","0,92","1,46"
