,GÓR,JAG,KOR,LPO,LEG,WIS,WPŁ,ZAG,D,W,30:9,9:9,23:13,11:11,23:10,32:17,11:15,15:37,
GÓR,X,X,10:6,X,X,4:8,5:6,X,19:20
JAG,1:3,X,X,X,5:2,14:5,4:4,X,24:14
KOR,X,3:2,X,X,X,11:2,X,3:6,17:10
LPO,9:2,2:2,4:1,X,15:4,X,X,X,30:9
LEG,9:4,X,3:3,X,X,X,2:5,5:10,19:22
WIS,X,X,X,6:5,3:4,X,X,2:12,11:21
WPŁ,X,X,6:3,3:5,X,3:2,X,5:9,17:19
ZAG,11:0,4:5,X,2:1,X,X,X,X,17:6
