ZAWODNIK,KLUB,MIN,MECZE,OSTATNI GOL,PRZECIW
Tadeusz Socha,Arka Gdynia,10305,141,-,-
Jakub Wawrzyniak,Lechia Gdańsk,9841,120,08.03.2013,Podbeskidzie
Michał Pazdan,Legia Warszawa,8710,99,03.10.2014,Wisła K.
Tomasz Brzyski,Sandecja Nowy Sącz,7472,95,27.09.2014,Lech
Cezary Stefańczyk,Wisła Płock,6372,76,-,-
Adam Hlousek,Legia Warszawa,6337,75,05.03.2016,Górnik Z.
Maciej Sadlok,Wisła Kraków,5837,65,18.03.2016,Jagiellonia
Krzysztof Sobieraj,Arka Gdynia,5609,70,-,-
Dorde Cotra,Śląsk Wrocław,5366,61,24.08.2015,Górnik Z.
Aleksandar Todorovski,Zagłębie Lubin,5200,62,30.05.2013,Piast
Tomasz Cywka,Wisła Kraków,5193,79,-,-
Patryk Stępiński,Wisła Płock,5097,65,-,-
Marcin Pietrowski,Piast Gliwice,4947,57,10.09.2016,Górnik Ł.
Guilherme,Jagiellonia Białystok,4766,55,-,-
Piotr Tomasik,Lech Poznań,4280,52,17.04.2016,Górnik Ł.
Wołodymyr Kostewycz,Lech Poznań,4083,47,-,-
Joao Nunes,Lechia Gdańsk,3861,53,-,-
Paweł Stolarski,Lechia Gdańsk,3721,59,27.02.2016,Piast
Mateusz Lewandowski,Śląsk Wrocław,3708,58,07.12.2015,Górnik Ł.
Rafał Janicki,Lech Poznań,3663,43,15.10.2016,Zagłębie
Jonatan Straus,Sandecja Nowy Sącz,3563,50,-,-
Robert Gumny,Lech Poznań,3508,43,-,-
Bartosz Kopacz,Zagłębie Lubin,3425,38,01.04.2016,Pogoń
Daniel Dziwniel,Zagłębie Lubin,3378,40,10.08.2014,Wisła K.
Cornel Rapa,Pogoń Szczecin,3278,38,08.04.2017,Arka
Adam Danch,Arka Gdynia,3172,36,14.09.2014,Piast
Marek Wasiluk,Jagiellonia Białystok,3052,40,28.05.2014,Piast
Hubert Matynia,Pogoń Szczecin,2969,49,-,-
Inaki Astiz,Legia Warszawa,2952,33,05.12.2014,Górnik Z.
Uros Korun,Piast Gliwice,2938,34,10.03.2017,Śląsk
Guti,Jagiellonia Białystok,2908,34,12.12.2016,Arka
Kamil Dankowski,Śląsk Wrocław,2783,32,17.10.2016,Korona
Augusto,Śląsk Wrocław,2713,34,-,-
Adnan Kovacević,Korona Kielce,2553,29,-,-
Adrian Basta,Sandecja Nowy Sącz,2523,31,06.12.2014,Górnik Ł.
Frederik Helstrup,Arka Gdynia,2494,29,-,-
Mariusz Pawelec,Śląsk Wrocław,2491,29,19.05.2017,Arka
Alan Czerwiński,Zagłębie Lubin,2431,28,12.08.2017,Lech
Dawid Szufryn,Sandecja Nowy Sącz,2409,29,-,-
Jarosław Fojut,Pogoń Szczecin,2338,27,06.03.2017,Wisła P.
Adam Dźwigała,Wisła Płock,2195,27,20.05.2017,Piast
Boban Jović,Śląsk Wrocław,2189,26,04.03.2016,Piast
Dawid Sołdecki,Arka Gdynia,2186,28,19.05.2017,Śląsk
Artur Jędrzejczyk,Legia Warszawa,2149,25,30.04.2017,Wisła K.
Płamen Kraczunow,Sandecja Nowy Sącz,2142,26,-,-
Diego Ferraresso,Cracovia,1927,29,-,-
Arkadiusz Głowacki,Wisła Kraków,1897,22,22.04.2017,Górnik Ł.
Gabriel Matei,Bruk-Bet Termalica,1872,23,-,-
Adam Wolniewicz,Górnik Zabrze,1866,28,-,-
Bartosz Rymaniak,Korona Kielce,1851,20,30.10.2017,Lechia
Kamil Pestka,Cracovia,1692,21,-,-
Lubomir Guldan,Zagłębie Lubin,1401,15,17.12.2017,Wisła K.
Ivan Gonzalez,Wisła Kraków,1391,15,20.05.2017,Pogoń
Bartosz Szeliga,Bruk-Bet Termalica,1388,17,23.09.2017,Lechia
Ken Kallaste,Korona Kielce,1381,17,25.11.2017,Legia
Sasa Balić,Zagłębie Lubin,1381,15,02.12.2017,Bruk-Bet
Artem Putiwcew,Bruk-Bet Termalica,1358,15,17.12.2017,Lech
Bartłomiej Sielewski,Wisła Płock,1300,19,-,-
Michal Siplak,Cracovia,1294,18,31.07.2017,Korona
Jakub Bartosz,Sandecja Nowy Sącz,1265,23,29.07.2017,Górnik Z.
Damian Zbozień,Arka Gdynia,1260,14,12.12.2017,Górnik Z.
Nikola Vujadinović,Lech Poznań,1245,14,-,-
Piotr Malarczyk,Korona Kielce,1234,15,16.10.2017,Pogoń
Akos Kecskes,Korona Kielce,1230,16,-,-
Aleksandar Sedlar,Piast Gliwice,1217,13,14.10.2017,Sandecja
Patrik Mraz,Sandecja Nowy Sącz,1215,14,16.12.2017,Lechia
Grzegorz Wojtkowiak,Lechia Gdańsk,1204,15,25.02.2017,Cracovia
Michał Marcjanik,Arka Gdynia,1200,13,17.02.2018,Wisła K.
Tim Rieder,Śląsk Wrocław,1126,13,-,-
Adam Marciniak,Arka Gdynia,1122,12,25.11.2017,Sandecja
Marcin Wasilewski,Wisła Kraków,1113,13,13.12.2017,Cracovia
Mato Milos,Lechia Gdańsk,1050,14,-,-
Radek Dejmek,Korona Kielce,1031,11,04.12.2017,Cracovia
Alexandru Benga,Sandecja Nowy Sącz,977,11,-,-
Przemysław Szarek,Bruk-Bet Termalica,958,13,-,-
Igors Tarasovs,Śląsk Wrocław,954,10,09.03.2018,Wisła K.
Nemanja Mitrović,Jagiellonia Białystok,913,10,05.03.2018,Wisła K.
Sebastian Rudol,Pogoń Szczecin,913,15,22.07.2017,Piast
Rafał Pietrzak,Zagłębie Lubin,835,12,16.07.2016,Pogoń
Łukasz Broź,Legia Warszawa,815,11,06.11.2017,Pogoń
Adrian Gryszkiewicz,Górnik Zabrze,793,9,-,-
Ołeksij Dytiatjew,Cracovia,789,8,10.03.2018,Pogoń
Michal Piter-Bućko,Sandecja Nowy Sącz,762,8,16.02.2018,Korona
Lasza Dwali,Pogoń Szczecin,751,8,17.03.2018,Bruk-Bet
Maciej Dąbrowski,Zagłębie Lubin,750,8,02.12.2017,Sandecja
Emir Dilaver,Lech Poznań,734,8,11.03.2018,Jagiellonia
Marcin Warcholak,Arka Gdynia,725,8,09.12.2017,Korona
Dani Suarez,Górnik Zabrze,710,8,31.03.2018,Sandecja
Błażej Augustyn,Lechia Gdańsk,707,7,21.10.2017,Lech
William Remy,Legia Warszawa,703,10,11.03.2018,Lechia
Fran Velez,Wisła Kraków,690,7,18.03.2018,Legia
Dawid Szymonowicz,Jagiellonia Białystok,675,9,01.05.2016,Podbeskidzie
Filip Mladenović,Lechia Gdańsk,663,14,-,-
Vitalijs Maksimenko,Bruk-Bet Termalica,641,9,21.10.2017,Pogoń
Jakub Czerwiński,Piast Gliwice,615,6,07.04.2018,Bruk-Bet
Adam Mójta,Piast Gliwice,596,11,19.11.2016,Pogoń
Łukasz Burliga,Jagiellonia Białystok,585,7,17.03.2018,Arka
Matic Fink,Cracovia,569,7,18.12.2017,Górnik Z.
Mikkel Kirkeskov,Piast Gliwice,552,7,-,-
Michał Koj,Górnik Zabrze,543,7,25.02.2018,Śląsk
Ołeksandr Szeweluchin,Górnik Zabrze,534,7,18.12.2015,Zagłębie
Jakub Bartkowski,Wisła Kraków,528,5,16.04.2018,Wisła P.
Adam Chrzanowski,Lechia Gdańsk,526,7,27.02.2018,Bruk-Bet
Adam Kokoszka,Śląsk Wrocław,522,6,17.03.2017,Bruk-Bet
Steven Vitoria,Lechia Gdańsk,518,5,13.04.2018,Arka
Elhadji Pape Diaw,Korona Kielce,510,6,16.02.2018,Sandecja
Niko Datković,Cracovia,495,6,-,-
Joona Toivio,Bruk-Bet Termalica,368,5,27.02.2018,Lechia
Martin Konczkowski,Piast Gliwice,368,4,27.04.2018,Arka
Zoran Arsenić,Wisła Kraków,368,4,29.04.2018,Jagiellonia
Rafał Grzelak,Bruk-Bet Termalica,331,3,29.04.2018,Cracovia
Mateusz Wieteska,Górnik Zabrze,325,3,28.04.2018,Lech
David Niepsuj,Pogoń Szczecin,316,3,10.12.2017,Zagłębie
Piotr Celeban,Śląsk Wrocław,310,3,04.05.2018,Cracovia
Jakub Wójcicki,Jagiellonia Białystok,309,6,17.03.2018,Arka
Krystian Miś,Korona Kielce,287,8,-,-
Achilleas Poungouras,Arka Gdynia,270,3,-,-
Konrad Poprawa,Śląsk Wrocław,254,3,-,-
Damian Byrtek,Wisła Płock,232,5,10.03.2018,Korona
Michał Nalepa,Lechia Gdańsk,225,2,08.05.2018,Piast
Paweł Bochniewicz,Górnik Zabrze,212,2,09.05.2018,Korona
Kamil Sylwestrzak,Wisła Płock,196,2,20.05.2017,Zagłębie
Alan Uryga,Wisła Płock,191,2,09.05.2018,Legia
Sebastian Walukiewicz,Pogoń Szczecin,189,3,-,-
Vernon De Marco,Lech Poznań,155,2,-,-
Michał Helik,Cracovia,151,1,12.05.2018,Sandecja
Igor Łasicki,Wisła Płock,139,2,24.02.2018,Pogoń
Ricardo Nunes,Pogoń Szczecin,138,1,28.04.2018,Sandecja
Mauricio,Legia Warszawa,111,2,-,-
Bartosz Kwiecień,Jagiellonia Białystok,107,1,13.05.2018,Zagłębie
Bodvar Bodvarsson,Jagiellonia Białystok,97,3,-,-
Bartłomiej Olszewski,Górnik Zabrze,92,8,-,-
Rafał Kobryń,Lechia Gdańsk,90,1,-,-
Ivan Runje,Jagiellonia Białystok,46,0,20.05.2018,Wisła P.
Michał Dziubek,Korona Kielce,15,1,-,-
