,GÓR,JAG,KOR,LPO,LEG,WIS,WPŁ,ZAG,D,ŚRD,ŚRW,17943,11896,14619,14522,23179,13744,17007,8383,,
GÓR,X,X,15261,X,X,24563,14891,X,54715,18238
JAG,11098,X,X,X,18763,15534,20086,X,65481,16370
KOR,X,7510,X,X,X,7867,X,6268,21645,7215
LPO,28629,24288,20054,X,27617,X,X,X,100588,25147
LEG,25918,X,16844,X,X,X,16043,13079,71884,17971
WIS,X,X,X,20823,23156,X,X,7064,51043,17014
WPŁ,X,X,6315,10021,X,7012,X,7119,30467,7617
ZAG,6125,3890,X,12721,X,X,X,X,22736,7579
W,71770,35688,58474,43565,69536,54976,51020,33530,,
