KOL,GOSP,GOŚĆ,ST GOSP,ST GOŚĆ,ST C GOSP,ST C GOŚĆ,G GOSP,G GOŚĆ,expG gosp,expG gość,expG/s1,expG/s2
27,Pogoń,Cracovia,18,12,3,6,0,2,"0,96","1,26","0,053","0,105"
27,Wisła P,Korona,9,14,4,0,2,0,"0,84","1,18","0,094","0,084"
27,Lech,Jagiellonia,24,10,10,2,5,1,"3,08","1,32","0,128","0,132"
27,Lechia,Legia,13,16,4,11,1,3,"1,49","1,73","0,115","0,108"
27,Arka,Bruk-Bet,13,17,8,3,4,0,"1,51","0,90","0,116","0,053"
28,Piast,Zagłębie,20,7,4,2,0,0,"1,07","0,38","0,054","0,055"
28,Lech,Lechia,12,7,7,3,3,0,"1,07","0,65","0,089","0,093"
28,Bruk-Bet,Pogoń,11,12,7,7,2,4,"1,64","1,21","0,149","0,101"
28,Jagiellonia,Arka,25,8,10,4,3,2,"2,91","1,02","0,116","0,127"
28,Korona,Górnik,8,19,3,4,2,2,"1,56","1,41","0,196","0,074"
28,Cracovia,Sandecja,17,8,7,1,2,1,"1,66","0,75","0,098","0,093"
28,Śląsk,Wisła P,9,8,2,4,1,1,"1,45","1,32","0,161","0,165"
28,Legia,Wisła K,17,8,7,3,0,2,"1,04","1,51","0,061","0,189"
29,Bruk-Bet,Cracovia,8,6,2,0,2,0,"0,57","0,36","0,071","0,061"
29,Górnik,Sandecja,18,13,3,5,2,2,"1,64","1,61","0,091","0,124"
29,Korona,Lechia,11,5,6,0,1,0,"1,71","0,61","0,155","0,122"
29,Arka,Legia,14,5,2,0,1,0,"0,74","0,20","0,053","0,040"
29,Wisła P,Piast,13,6,5,3,1,0,"1,62","0,47","0,125","0,079"
29,Zagłębie,Jagiellonia,12,15,6,5,1,0,"0,82","1,65","0,068","0,110"
29,Pogoń,Śląsk,13,11,7,3,3,2,"1,23","1,34","0,094","0,122"
29,Wisła K,Lech,7,15,4,7,1,3,"0,32","2,13","0,046","0,142"
30,Cracovia,Zagłębie,12,11,7,6,2,2,"2,58","0,41","0,215","0,037"
30,Jagiellonia,Wisła P,12,10,3,6,1,3,"0,81","0,90","0,067","0,090"
30,Lech,Górnik,13,8,8,3,3,1,"0,91","1,12","0,070","0,139"
30,Lechia,Arka,9,12,6,5,4,2,"1,76","0,76","0,196","0,064"
30,Legia,Pogoń,9,8,4,4,3,0,"1,40","0,41","0,156","0,051"
30,Piast,Bruk-Bet,9,14,3,3,1,1,"0,63","1,06","0,070","0,076"
30,Sandecja,Wisła K,8,9,4,2,0,0,"0,60","0,32","0,074","0,036"
30,Śląsk,Korona,10,10,5,4,1,1,"1,46","0,63","0,146","0,063"
31,Arka,Lechia,14,6,6,5,1,2,"1,66","0,46","0,119","0,076"
31,Lech,Korona,19,6,7,3,0,1,"2,45","0,52","0,129","0,087"
31,Cracovia,Piast,11,10,5,3,2,1,"1,83","0,93","0,167","0,093"
