KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"1,30","1,24",52%,"13,46","4,62","5,65","3,19","34,34%","9,04%","4,89","2,38","2,86","13,65","2,19","0,05",ARK
Bruk-Bet,"1,78","1,05",51%,"13,16","4,84","5,62","2,70","36,76%","13,35%","5,24","2,32","2,70","12,03","1,73","0,03",BBT
Cracovia,"1,41","1,38",54%,"14,05","4,49","5,92","3,65","31,92%","9,81%","5,59","1,54","3,00","17,65","2,76","0,14",CRA
Górnik Zabrze,"1,46","1,84",55%,"13,54","4,54","5,78","3,22","33,53%","10,38%","5,65","2,08","3,41","16,03","2,46","0,19",GÓR
Jagiellonia,"1,11","1,49",49%,"10,95","3,54","5,03","2,38","32,35%","9,38%","4,03","2,78","3,08","13,84","2,08","0,14",JAG
Korona Kielce,"1,46","1,32",48%,"11,05","4,08","4,14","2,84","36,92%","12,47%","4,70","2,46","3,43","16,30","2,35","0,05",KOR
Lech Poznań,"0,92","1,43",46%,"9,38","3,19","3,97","2,22","34,01%","8,65%","3,59","1,65","3,49","16,78","2,49","0,03",LPO
Lechia Gdańsk,"1,57","1,24",47%,"11,73","4,54","4,57","2,62","38,71%","13,13%","5,24","2,05","2,51","15,92","2,51","0,08",LGD
Legia Warszawa,"0,95","1,49",46%,"11,54","4,11","4,76","2,68","35,60%","7,96%","5,59","3,86","3,16","14,78","2,11","0,08",LEG
Piast Gliwice,"1,30","1,08",51%,"12,11","4,11","5,41","2,59","33,93%","10,04%","4,59","1,65","2,89","14,54","1,68","0,11",PIA
Pogoń Szczecin,"1,46","1,24",45%,"10,35","3,78","4,24","2,32","36,55%","13,32%","4,62","2,03","3,59","14,92","2,14","0,08",POG
Sandecja,"1,46","0,92",55%,"14,22","4,97","6,11","3,14","34,98%","9,89%","5,78","1,84","2,24","15,81","1,89","0,08",SAN
Śląsk Wrocław,"1,46","1,35",52%,"13,49","4,92","6,30","2,27","36,47%","10,82%","5,49","1,70","2,54","15,68","2,27","0,11",ŚLĄ
Wisła Kraków,"1,14","1,38",48%,"14,19","4,51","6,00","3,68","31,81%","7,62%","5,70","2,22","2,81","13,86","2,32","0,11",WIS
Wisła Płock,"1,22","1,43",51%,"10,84","3,65","4,73","2,46","33,67%","11,22%","4,30","1,62","3,08","15,54","2,24","0,14",WPŁ
Zagłębie Lubin,"1,14","1,22",48%,"12,32","4,27","5,51","2,54","34,65%","9,21%","4,22","0,95","3,00","15,35","1,92","0,08",ZAG
