KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Arka Gdynia,10,7,2,1,6,1,1,4
Bruk-Bet,9,6,2,1,9,1,2,6
Cracovia,9,4,5,0,9,3,2,4
Górnik Zabrze,12,7,5,0,5,1,2,2
Jagiellonia,7,6,1,0,10,4,1,5
Korona Kielce,7,6,1,0,10,3,1,6
Lech Poznań,12,11,1,0,5,1,1,3
Lechia Gdańsk,6,4,2,0,11,0,4,7
Legia Warszawa,15,14,1,0,4,0,0,4
Piast Gliwice,6,4,2,0,7,0,1,6
Pogoń Szczecin,8,7,1,0,8,0,2,6
Sandecja,6,3,2,1,9,1,3,5
Śląsk Wrocław,13,10,3,0,5,1,2,2
Wisła Kraków,9,6,1,2,8,2,2,4
Wisła Płock,10,8,0,2,8,2,2,4
Zagłębie Lubin,9,6,2,1,5,1,0,4
