KLUB,MECZE,"over 0,5","over 1,5","over 2,5","over 3,5","over 4,5","over 5,5","over 6,5","over 7,5",Średnia goli w meczach z udziałem
Arka Gdynia,37,32,26,17,10,7,2,0,0,"2,54"
Bruk-Bet,37,36,29,21,10,5,4,0,0,"2,84"
Cracovia,37,35,28,20,10,6,4,0,0,"2,78"
Górnik Zabrze,37,36,31,24,18,7,4,0,0,"3,30"
Jagiellonia,37,34,24,17,11,7,3,0,0,"2,59"
Korona Kielce,37,33,27,19,12,8,4,0,0,"2,78"
Lech Poznań,37,30,24,15,9,4,4,0,0,"2,35"
Lechia Gdańsk,37,34,28,19,13,7,3,0,0,"2,81"
Legia Warszawa,37,35,24,16,10,4,0,0,0,"2,43"
Piast Gliwice,37,32,25,16,9,2,2,0,0,"2,38"
Pogoń Szczecin,37,31,27,22,11,7,2,0,0,"2,70"
Sandecja,37,32,23,17,11,4,1,0,0,"2,38"
Śląsk Wrocław,37,36,31,20,11,5,1,0,0,"2,81"
Wisła Kraków,37,34,27,17,9,5,1,0,0,"2,51"
Wisła Płock,37,36,27,19,11,4,1,0,0,"2,65"
Zagłębie Lubin,37,32,23,17,9,4,2,0,0,"2,35"
