KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"1,72","1,06",53%,"15,33","5,61","6,22","3,50","36,59%","10,51%","5,67","2,39","3,00","13,00","1,94","0,11",ARK
Bruk-Bet,"2,05","0,79",50%,"14,47","5,79","6,11","2,58","40,00%","14,18%","5,42","2,16","2,84","12,37","1,63","0,00",BBT
Cracovia,"1,06","1,00",57%,"14,94","4,28","6,06","4,61","28,62%","7,06%","6,44","1,44","2,61","17,83","2,11","0,11",CRA
Górnik Zabrze,"1,63","1,74",57%,"13,21","4,89","5,21","3,11","37,05%","12,35%","6,16","2,26","3,84","16,26","2,42","0,21",GÓR
Jagiellonia,"1,22","1,44",51%,"11,89","3,78","6,00","2,11","31,78%","9,35%","4,56","2,94","2,61","13,50","1,50","0,11",JAG
Korona Kielce,"1,58","1,32",50%,"11,74","4,47","3,74","3,53","38,12%","13,00%","5,21","2,26","2,89","16,26","2,47","0,11",KOR
Lech Poznań,"0,89","0,89",48%,"9,89","3,22","4,22","2,44","32,58%","7,30%","3,61","1,50","2,56","17,11","2,67","0,06",LPO
Lechia Gdańsk,"1,37","1,05",49%,"12,21","4,74","4,79","2,68","38,79%","11,21%","5,37","2,32","2,68","15,68","2,84","0,05",LGD
Legia Warszawa,"1,11","1,22",47%,"11,50","3,61","5,11","2,78","31,40%","9,66%","5,78","3,61","2,61","15,56","2,22","0,06",LEG
Piast Gliwice,"1,58","1,32",52%,"13,11","4,63","5,53","2,95","35,34%","12,05%","5,21","1,84","2,79","14,74","1,58","0,11",PIA
Pogoń Szczecin,"1,56","1,00",47%,"11,06","4,28","4,28","2,50","38,69%","14,07%","5,17","2,44","3,28","15,06","1,89","0,00",POG
Sandecja,"1,74","0,84",57%,"16,58","5,89","6,95","3,74","35,56%","9,84%","6,05","1,95","1,74","15,32","1,74","0,05",SAN
Śląsk Wrocław,"2,11","1,11",53%,"14,67","6,22","5,89","2,56","42,42%","14,39%","5,72","1,78","2,06","15,50","2,22","0,11",ŚLĄ
Wisła Kraków,"1,26","1,37",51%,"14,32","4,47","6,42","3,42","31,25%","8,09%","6,26","2,47","2,53","13,00","1,84","0,00",WIS
Wisła Płock,"1,50","1,28",51%,"12,22","4,06","5,50","2,67","33,18%","12,27%","4,33","1,28","3,11","16,28","2,39","0,11",WPŁ
Zagłębie Lubin,"1,26","1,11",48%,"12,42","4,58","5,16","2,68","36,86%","10,17%","4,05","0,89","2,84","15,95","1,74","0,11",ZAG
