KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Legia Warszawa,19,43,14,1,4,33,15,18,"2,26","1,74","0,79"
Lech Poznań,19,39,12,3,4,37,18,19,"2,05","1,95","0,95"
Śląsk Wrocław,19,39,11,6,2,30,16,14,"2,05","1,58","0,84"
Jagiellonia,19,34,10,4,5,29,19,10,"1,79","1,53","1,00"
Górnik Zabrze,18,32,8,8,2,35,23,12,"1,78","1,94","1,28"
Wisła Płock,19,33,10,3,6,30,18,12,"1,74","1,58","0,95"
Korona Kielce,18,30,9,3,6,24,24,0,"1,67","1,33","1,33"
Arka Gdynia,19,30,8,6,5,27,17,10,"1,58","1,42","0,89"
Wisła Kraków,18,28,8,4,6,25,18,7,"1,56","1,39","1,00"
Cracovia,19,29,7,8,4,33,33,0,"1,53","1,74","1,74"
Zagłębie Lubin,18,27,7,6,5,24,18,6,"1,50","1,33","1,00"
Pogoń Szczecin,19,27,7,6,6,28,26,2,"1,42","1,47","1,37"
Bruk-Bet,18,25,7,4,7,24,27,-3,"1,39","1,33","1,50"
Sandecja,18,20,4,8,6,18,21,-3,"1,11","1,00","1,17"
Lechia Gdańsk,18,19,4,7,7,26,32,-6,"1,06","1,44","1,78"
Piast Gliwice,18,19,4,7,7,15,18,-3,"1,06","0,83","1,00"
