DRUŻYNA,MNP,Z,%
Arka Gdynia,18,11,"61,11%"
Bruk-Bet,16,9,"56,25%"
Cracovia,23,13,"56,52%"
Górnik Zabrze,26,15,"57,69%"
Jagiellonia,24,20,"83,33%"
Korona Kielce,16,12,"75,00%"
Lech Poznań,20,16,"80,00%"
Lechia Gdańsk,16,9,"56,25%"
Legia Warszawa,25,21,"84,00%"
Piast Gliwice,13,8,"61,54%"
Pogoń Szczecin,17,12,"70,59%"
Sandecja,14,6,"42,86%"
Śląsk Wrocław,20,13,"65,00%"
Wisła Kraków,24,15,"62,50%"
Wisła Płock,23,17,"73,91%"
Zagłębie Lubin,18,13,"72,22%"
