DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,RAZEM,DR/KOL,RAZEM,344,366,467,393,518,420,515,331,485,378,396,507,365,310,417,463,244,327,418,286,351,412,386,302,349,324,298,467,557,460,360,363,357,419,12558,RAZEM
CRA,66,61,53,0,0,30,0,62,0,0,69,0,17,X,23,13,0,73,0,76,5,0,0,X,22,9,12,71,82,0,0,0,0,53,797,CRA
GÓR,0,39,62,45,29,90,0,0,0,33,0,0,0,X,72,74,0,0,26,X,0,14,0,4,3,0,0,39,79,46,54,46,6,X,761,GÓR
JAG,61,0,0,51,0,1,45,0,58,67,42,0,0,21,12,0,1,7,0,32,X,35,5,45,3,47,6,43,32,81,0,7,44,0,746,JAG
KOR,0,0,63,68,0,0,55,0,0,29,0,0,0,0,61,0,0,0,60,0,53,0,23,1,X,78,49,1,4,31,54,0,0,85,715,KOR
LPO,0,9,0,0,0,71,85,10,42,37,X,78,29,X,0,39,1,X,73,70,0,0,65,0,12,19,56,18,0,0,68,58,57,61,958,LPO
LGD,0,1,42,0,0,0,0,X,42,0,23,6,0,72,17,17,0,37,0,X,0,0,0,42,0,X,0,0,0,0,24,X,1,39,363,LGD
LEG,11,65,0,43,60,0,16,7,0,34,X,67,0,7,60,3,X,66,53,0,14,59,52,41,45,75,0,34,0,77,0,42,0,46,977,LEG
MIE,27,20,0,0,0,37,85,23,26,42,0,0,0,0,5,49,56,X,0,12,29,0,0,0,0,0,54,33,0,24,0,16,0,X,538,MIE
PIA,0,0,0,0,20,67,0,24,78,0,0,0,43,0,0,0,47,0,0,77,0,43,10,26,67,78,8,70,68,X,75,35,18,0,854,PIA
POG,19,0,82,68,40,0,64,85,12,3,51,5,0,0,55,0,18,55,0,0,69,1,0,1,X,2,39,8,85,X,40,25,0,56,883,POG
RAD,0,15,0,1,86,14,0,0,71,0,0,0,1,22,0,88,0,X,66,X,X,69,0,38,0,16,X,0,75,81,0,67,46,0,756,RAD
RCZ,11,1,60,0,82,35,77,0,60,45,X,88,84,27,19,87,72,0,50,X,80,15,51,54,31,0,X,81,55,45,0,0,5,0,1215,RCZ
STM,76,0,0,47,45,0,0,66,0,0,70,45,85,71,0,34,24,X,0,X,10,0,0,0,0,0,38,0,0,18,X,X,0,45,674,STM
ŚLĄ,X,61,0,X,64,0,0,0,1,6,0,79,0,8,24,0,X,0,42,19,0,56,45,0,3,X,0,8,0,0,22,35,52,31,556,ŚLĄ
WAR,0,0,31,0,54,0,3,X,5,0,80,0,26,X,69,59,0,32,0,0,0,82,78,X,64,X,0,61,23,0,0,0,0,0,667,WAR
WID,26,18,0,X,0,1,85,0,86,37,X,63,57,82,0,0,1,0,12,X,1,0,0,0,2,0,0,0,0,0,3,19,0,0,493,WID
WPŁ,47,76,45,62,0,74,0,28,0,17,2,31,23,0,0,0,24,0,36,0,23,0,0,50,44,0,36,0,44,0,X,6,71,0,739,WPŁ
ZAG,X,0,29,8,38,0,0,26,4,28,59,45,0,0,0,0,0,57,0,0,67,38,57,0,53,X,0,0,10,57,20,7,57,3,663,ZAG
